Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000004561							15												ENSBTAT00000005994	ENSBTAE00000047771	ENSBTAE00000047771_SE_0/ENSBTAE00000519112_SE_0	12_0	62560203	62560118
gorilla_gorilla	ENSGGOG00000010246	ENSGGOT00000010287	ENSGGOE00000359080	ENSGGOE00000188955_SE_14/ENSGGOE00000359080_SE_14	5_0	31863629	31863620	11																	
gorilla_gorilla	ENSGGOG00000010246	ENSGGOT00000057402	ENSGGOE00000359080	ENSGGOE00000188955_SE_14/ENSGGOE00000359080_SE_14	5_0	31863629	31863620	11																	
gorilla_gorilla	ENSGGOG00000010246	ENSGGOT00000062474	ENSGGOE00000359080	ENSGGOE00000188955_SE_14/ENSGGOE00000359080_SE_14	5_0	31863629	31863620	11																	
gorilla_gorilla	ENSGGOG00000010246	ENSGGOT00000054407	ENSGGOE00000323733	ENSGGOE00000323733_SE_8	5_5	31852581	31852566	11																	
gorilla_gorilla	ENSGGOG00000010246	ENSGGOT00000057402	ENSGGOE00000319605	ENSGGOE00000105036_SE_3/ENSGGOE00000319605_SE_3	2_1	31850740	31850689	11																	
gorilla_gorilla	ENSGGOG00000010246							11												ENSGGOT00000010287	ENSGGOE00000361674	ENSGGOE00000361674_SE_1_0	1_0	31847209	31846814
gorilla_gorilla	ENSGGOG00000010246							11												ENSGGOT00000054407	ENSGGOE00000361674	ENSGGOE00000361674_SE_1_0	1_0	31847209	31846814
gorilla_gorilla	ENSGGOG00000010246							11												ENSGGOT00000062474	ENSGGOE00000361674	ENSGGOE00000361674_SE_1_0	1_0	31847209	31846814
gorilla_gorilla	ENSGGOG00000010246							11												ENSGGOT00000054407	ENSGGOE00000323733	ENSGGOE00000323733_SE_8	5_5	31852581	31852566
gorilla_gorilla	ENSGGOG00000010246							11												ENSGGOT00000057402	ENSGGOE00000334757	ENSGGOE00000334757_SE_12	9_2	31859915	31859902
gorilla_gorilla	ENSGGOG00000010246							11												ENSGGOT00000057402	ENSGGOE00000338603	ENSGGOE00000313356_SE_1/ENSGGOE00000338603_SE_1	12_0	31847209	31847124
homo_sapiens	ENSG00000007372							11												ENST00000638629	ENSE00002194708	ENSE00002194708_SE_0/ENSE00003801686_SE_0	12_0	31790019	31789934
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023620	ENSMMUE00000392457	ENSMMUE00000392457_SE_0	0_1	34098629	34098638	14																	
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023620	ENSMMUE00000163072	ENSMMUE00000163072_SE_2	9_1	34102230	34102360	14																	
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023620	ENSMMUE00000163104	ENSMMUE00000163104_SE_3	5_1	34103150	34103191	14																	
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023620	ENSMMUE00000163076	ENSMMUE00000163076_SE_4	3_0	34103286	34103501	14																	
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023626	ENSMMUE00000163076	ENSMMUE00000163076_SE_4	3_0	34103286	34103501	14																	
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023620	ENSMMUE00000163078	ENSMMUE00000163078_SE_5	5_4	34104256	34104367	14																	
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023626	ENSMMUE00000163078	ENSMMUE00000163078_SE_5	5_4	34104256	34104367	14																	
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023620	ENSMMUE00000163084	ENSMMUE00000163084_SE_6	6_0	34110357	34110515	14																	
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023626	ENSMMUE00000163084	ENSMMUE00000163084_SE_6	6_0	34110357	34110515	14																	
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023620	ENSMMUE00000163086	ENSMMUE00000163086_SE_7	13_0	34111007	34111089	14																	
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023626	ENSMMUE00000163086	ENSMMUE00000163086_SE_7	13_0	34111007	34111089	14																	
macaca_mulatta	ENSMMUG00000016810	ENSMMUT00000023620	ENSMMUE00000163090	ENSMMUE00000163090_SE_8	7_0	34111313	34111463	14																	
