Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000364294	ENSGGOE00000085154_SE_2/ENSGGOE00000364294_SE_2	4_1	109280146.0	109280271.0	12.0	109280272.0	109284777.0	1.0	1.0	3.0	0.0	1.0	3.0	SRR306806,SRR306807,SRR649366	1,1,1	0,0,0	ENSGGOT00000008355	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778.0	109284893.0	1.4139978748356762e-07	0.0
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000364294	ENSGGOE00000085154_SE_2/ENSGGOE00000364294_SE_2	4_1	109280146.0	109280271.0	12.0	109280272.0	109284777.0	1.0	1.0	3.0	0.0	1.0	3.0	SRR306806,SRR306807,SRR649366	1,1,1	0,0,0	ENSGGOT00000027259	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778.0	109284893.0	1.4139978748356762e-07	0.0
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000027259	ENSGGOE00000085154	ENSGGOE00000085154_SE_2/ENSGGOE00000364294_SE_2	4_1	109280146.0	109280271.0	12.0	109280272.0	109284777.0	1.0	1.0	3.0	0.0	1.0	3.0	SRR306806,SRR306807,SRR649366	1,1,1	0,0,0	ENSGGOT00000008355	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778.0	109284893.0	1.4139978748356762e-07	0.0
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000027259	ENSGGOE00000085154	ENSGGOE00000085154_SE_2/ENSGGOE00000364294_SE_2	4_1	109280146.0	109280271.0	12.0	109280272.0	109284777.0	1.0	1.0	3.0	0.0	1.0	3.0	SRR306806,SRR306807,SRR649366	1,1,1	0,0,0	ENSGGOT00000027259	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778.0	109284893.0	1.4139978748356762e-07	0.0
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778.0	109284893.0	12.0	109284894.0	109287769.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR649367	1	0	ENSGGOT00000008355	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770.0	109287968.0	1.7495291186115485e-08	0.0
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778.0	109284893.0	12.0	109284894.0	109287769.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR649367	1	0	ENSGGOT00000027259	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770.0	109287968.0	1.7495291186115485e-08	0.0
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000027259	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778.0	109284893.0	12.0	109284894.0	109287769.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR649367	1	0	ENSGGOT00000008355	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770.0	109287968.0	1.7495291186115485e-08	0.0
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000027259	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778.0	109284893.0	12.0	109284894.0	109287769.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR649367	1	0	ENSGGOT00000027259	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770.0	109287968.0	1.7495291186115485e-08	0.0
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770.0	109287968.0	12.0	109287969.0	109289092.0	1.0	1.0	2.0	0.0	1.0	2.0	SRR306810,SRR649367	1,1	0,0	ENSGGOT00000008355	ENSGGOE00000085164	ENSGGOE00000085164_SE_5	22_0	109289093.0	109289173.0	9.172343539566333e-08	0.0
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770.0	109287968.0	12.0	109287969.0	109289092.0	1.0	1.0	2.0	0.0	1.0	2.0	SRR306810,SRR649367	1,1	0,0	ENSGGOT00000027259	ENSGGOE00000085164	ENSGGOE00000085164_SE_5	22_0	109289093.0	109289173.0	9.172343539566333e-08	0.0
