Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122727	ENSBTAE00000122727_SE_0	3_0	56560667	56561065	19	56561066	56562989	1	1	2	0	1.0	2	SRR594476,SRR594478	1,1	0,0						
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122727	ENSBTAE00000122727_SE_0	3_0	56560667	56561065	19	56561066	56563428	1	1	67	0	9.571428571428571	7	SRR594473,SRR594475,SRR594476,SRR594480,SRR594485,SRR594497,SRR636935	12,1,9,1,2,1,41	0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122728	ENSBTAE00000122728_SE_1	2_0	56563429	56564027
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122728	ENSBTAE00000122728_SE_1	2_0	56563429	56564027	19	56564028	56564359	1	1	34	0	3.0909090909090913	11	SRR594473,SRR594475,SRR594476,SRR594478,SRR594485,SRR594486,SRR594494,SRR636889,SRR636890,SRR636934,SRR636935	2,1,5,1,5,1,2,3,1,1,12	0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122730	ENSBTAE00000122730_SE_2	12_0	56564360	56564474
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122730	ENSBTAE00000122730_SE_2	12_0	56564360	56564474	19	56564475	56565433	1	1	73	0	6.083333333333332	12	SRR594473,SRR594475,SRR594476,SRR594478,SRR594485,SRR594491,SRR594494,SRR594496,SRR636889,SRR636890,SRR636934,SRR636935	14,1,12,4,5,1,5,1,1,2,1,26	0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122731	ENSBTAE00000122731_SE_3	6_0	56565434	56565645
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122731	ENSBTAE00000122731_SE_3	6_0	56565434	56565645	19	56565646	56565804	1	1	11	0	1.8333333333333328	6	SRR594473,SRR594475,SRR594477,SRR636889,SRR636934,SRR636935	3,1,2,1,1,3	0,0,0,0,0,0						
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122731	ENSBTAE00000122731_SE_3	6_0	56565434	56565645	19	56565646	56565807	1	1	61	0	4.357142857142857	14	SRR594473,SRR594475,SRR594476,SRR594479,SRR594480,SRR594485,SRR594486,SRR594487,SRR594494,SRR594496,SRR636889,SRR636890,SRR636934,SRR636935	8,3,8,1,1,4,1,2,3,1,3,4,3,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122732	ENSBTAE00000122732_SE_4	8_0	56565808	56565970
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122732	ENSBTAE00000122732_SE_4	8_0	56565808	56565970	19	56565971	56566256	1	1	140	0	9.33333333333333	15	SRR594473,SRR594474,SRR594475,SRR594476,SRR594478,SRR594480,SRR594481,SRR594482,SRR594485,SRR594489,SRR594491,SRR594494,SRR636889,SRR636890,SRR636935	17,3,5,17,3,16,3,1,9,1,1,5,5,3,51	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000451473	ENSBTAE00000451473_SE_5	10_0	56566257	56566410
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000451473	ENSBTAE00000451473_SE_5	10_0	56566257	56566410	19	56566411	56566642	1	1	4	0	2.0	2	SRR594476,SRR636935	1,3	0,0						
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000451473	ENSBTAE00000451473_SE_5	10_0	56566257	56566410	19	56566411	56566712	1	1	66	0	5.0769230769230775	13	SRR594473,SRR594476,SRR594477,SRR594478,SRR594480,SRR594485,SRR594486,SRR594489,SRR594494,SRR636889,SRR636890,SRR636934,SRR636935	9,12,2,3,7,2,1,1,2,4,2,4,17	0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122736	ENSBTAE00000122736_SE_6	11_0	56566713	56566838
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000451473	ENSBTAE00000451473_SE_5	10_0	56566257	56566410	19	56566411	56566714	1	1	2	0	2.0	1	SRR636935	2	0						
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122736	ENSBTAE00000122736_SE_6	11_0	56566713	56566838	19	56566839	56567193	1	1	82	0	5.466666666666666	15	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594480,SRR594485,SRR594488,SRR594490,SRR594494,SRR594496,SRR636889,SRR636890,SRR636934,SRR636935	13,1,2,2,2,10,10,1,2,3,1,4,4,1,26	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122739	ENSBTAE00000122739_SE_7	5_0	56567194	56567423
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122739	ENSBTAE00000122739_SE_7	5_0	56567194	56567423	19	56567424	56567791	1	1	106	0	7.571428571428571	14	SRR594473,SRR594475,SRR594476,SRR594478,SRR594481,SRR594485,SRR594489,SRR594491,SRR594494,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	15,3,27,2,2,9,2,1,2,1,5,6,1,30	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122741	ENSBTAE00000122741_SE_8	9_0	56567792	56567952
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122739	ENSBTAE00000122739_SE_7	5_0	56567194	56567423	19	56567424	56567797	1	1	2	0	2.0	1	SRR594476	2	0						
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122741	ENSBTAE00000122741_SE_8	9_0	56567792	56567952	19	56567953	56568438	1	1	78	0	5.2	15	SRR594473,SRR594475,SRR594476,SRR594477,SRR594479,SRR594480,SRR594481,SRR594485,SRR594488,SRR594494,SRR594498,SRR636889,SRR636890,SRR636934,SRR636935	13,2,8,2,1,6,2,5,1,1,2,3,4,2,26	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000255301	ENSBTAE00000255301_SE_9	7_0	56568439	56568626
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000255301	ENSBTAE00000255301_SE_9	7_0	56568439	56568626	19	56568627	56569713	1	1	80	0	6.666666666666665	12	SRR594473,SRR594474,SRR594476,SRR594478,SRR594480,SRR594482,SRR594496,SRR594498,SRR636889,SRR636890,SRR636934,SRR636935	10,6,8,6,12,2,1,3,1,2,1,28	0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000397484	ENSBTAE00000397484_SE_10	4_0	56569714	56569835
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000397484	ENSBTAE00000397484_SE_10	4_1	56569836	56569946	19	56569947	56570373	1	1	38	0	3.4545454545454537	11	SRR594473,SRR594475,SRR594476,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594494,SRR636890,SRR636935	8,1,6,1,1,1,1,2,2,1,14	0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000405955	ENSBTAE00000405955_SE_11	1_0	56570374	56570787
bos_taurus	ENSBTAG00000040042							19	56556188	56563428	1	1	2	0	2.0	1	SRR594476	2	0	ENSBTAT00000015137	ENSBTAE00000122728	ENSBTAE00000122728_SE_1	2_0	56563429	56564027
bos_taurus	ENSBTAG00000040042							19	56564486	56565433	1	1	7	0	7.0	1	SRR594473	7	0	ENSBTAT00000015137	ENSBTAE00000122731	ENSBTAE00000122731_SE_3	6_0	56565434	56565645
bos_taurus	ENSBTAG00000040042							19	56565938	56566256	1	1	3	0	1.5	2	SRR594475,SRR636935	2,1	0,0	ENSBTAT00000015137	ENSBTAE00000451473	ENSBTAE00000451473_SE_5	10_0	56566257	56566410
bos_taurus	ENSBTAG00000040042							19	56568020	56568438	1	1	2	0	1.0	2	SRR594478,SRR594496	1,1	0,0	ENSBTAT00000015137	ENSBTAE00000255301	ENSBTAE00000255301_SE_9	7_0	56568439	56568626
bos_taurus	ENSBTAG00000040042							19	56570151	56570373	1	1	1	0	1.0	1	SRR594476	1	0	ENSBTAT00000015137	ENSBTAE00000405955	ENSBTAE00000405955_SE_11	1_0	56570374	56570787
gorilla_gorilla									8193970	8194901	1	1	0	1	0.0	1	SRR306803	0	1						
gorilla_gorilla									8196194	8196289	1	1	1	0	1.0	1	SRR306802	1	0						
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055753	ENSMMUE00000055753_SE_13	3_0	68531363	68530965	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000324560	ENSMMUE00000324560_SE_12	2_0	68528952	68528354	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055758	ENSMMUE00000055758_SE_11	12_0	68528032	68527918	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055760	ENSMMUE00000055760_SE_10	6_0	68527024	68526813	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055762	ENSMMUE00000055762_SE_9	8_0	68526627	68526462	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055765	ENSMMUE00000055765_SE_8	10_0	68526189	68526036	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055770	ENSMMUE00000055770_SE_7	11_0	68524212	68524087	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055772	ENSMMUE00000055772_SE_6	5_0	68523798	68523569	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055774	ENSMMUE00000055774_SE_5	9_0	68523188	68523028	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055775	ENSMMUE00000055775_SE_4	7_0	68522523	68522336	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055776	ENSMMUE00000055776_SE_3	4_0	68520807	68520686	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055778	ENSMMUE00000055778_SE_2	1_0	68519851	68519420	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000420267	ENSMMUE00000420267_SE_1	1_2	68519361	68519114	16																	
macaca_mulatta	ENSMMUG00000005744	ENSMMUT00000008067	ENSMMUE00000055780	ENSMMUE00000055780_SE_0	1_4	68519058	68518701	16																	
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055753	ENSMMUE00000055753_SE_13	3_0	68531363	68530965
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000324560	ENSMMUE00000324560_SE_12	2_0	68528952	68528354
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055758	ENSMMUE00000055758_SE_11	12_0	68528032	68527918
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055760	ENSMMUE00000055760_SE_10	6_0	68527024	68526813
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055762	ENSMMUE00000055762_SE_9	8_0	68526627	68526462
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055765	ENSMMUE00000055765_SE_8	10_0	68526189	68526036
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055770	ENSMMUE00000055770_SE_7	11_0	68524212	68524087
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055772	ENSMMUE00000055772_SE_6	5_0	68523798	68523569
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055774	ENSMMUE00000055774_SE_5	9_0	68523188	68523028
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055775	ENSMMUE00000055775_SE_4	7_0	68522523	68522336
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055776	ENSMMUE00000055776_SE_3	4_1	68520685	68520575
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055778	ENSMMUE00000055778_SE_2	1_1	68519419	68519374
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000420267	ENSMMUE00000420267_SE_1	1_3	68519113	68519106
macaca_mulatta	ENSMMUG00000005744							16												ENSMMUT00000008067	ENSMMUE00000055780	ENSMMUE00000055780_SE_0	1_4	68519058	68518701
monodelphis_domestica									214761820	214764416	1	1	46	0	7.666666666666669	6	SRR306745,SRR306746,SRR306755,SRR649377,SRR649379,SRR943346	18,22,1,3,1,1	0,0,0,0,0,0						
monodelphis_domestica									214761820	214764459	1	1	9	0	2.25	4	SRR306745,SRR306746,SRR649377,SRR943346	2,5,1,1	0,0,0,0						
monodelphis_domestica									214761820	214764526	1	1	4	0	2.0	2	SRR306745,SRR306746	2,2	0,0						
monodelphis_domestica									214783915	214784163	1	1	1	0	1.0	1	SRR306746	1	0						
sus_scrofa	ENSSSCG00000023151	ENSSSCT00000026855	ENSSSCE00000149863	ENSSSCE00000149863_SE_0	3_0	6388823	6389221	12	6389222	6392007	1	1	37	0	18.5	2	SRR636973,SRR653846	36,1	0,0	ENSSSCT00000026855	ENSSSCE00000239875	ENSSSCE00000239875_SE_1	2_0	6392008	6392606
sus_scrofa	ENSSSCG00000023151	ENSSSCT00000026855	ENSSSCE00000239875	ENSSSCE00000239875_SE_1	2_0	6392008	6392606	12	6392607	6392904	1	1	34	0	34.0	1	SRR636973	34	0	ENSSSCT00000026855	ENSSSCE00000200652	ENSSSCE00000200652_SE_2	12_0	6392905	6393019
sus_scrofa	ENSSSCG00000023151	ENSSSCT00000026855	ENSSSCE00000200652	ENSSSCE00000200652_SE_2	12_0	6392905	6393019	12	6393020	6393997	1	1	23	1	23.0	1	SRR636973	23	1	ENSSSCT00000026855	ENSSSCE00000247036	ENSSSCE00000247036_SE_3	6_0	6393998	6394209
