Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000007887	ENSBTAT00000010376	ENSBTAE00000492373	ENSBTAE00000492373_SE_19	0_1	8687352	8687347	25																	
bos_taurus	ENSBTAG00000007887	ENSBTAT00000010376	ENSBTAE00000486876	ENSBTAE00000486876_SE_18	16_0	8687295	8687233	25																	
bos_taurus	ENSBTAG00000007887	ENSBTAT00000010376	ENSBTAE00000529907	ENSBTAE00000489712_SE_12/ENSBTAE00000523030_SE_12/ENSBTAE00000529907_SE_12	2_1	8683698	8683642	25																	
bos_taurus	ENSBTAG00000007887	ENSBTAT00000075975	ENSBTAE00000534839	ENSBTAE00000534839_SE_17	11_0	8686824	8686688	25																	
bos_taurus	ENSBTAG00000007887	ENSBTAT00000075975	ENSBTAE00000489712	ENSBTAE00000489712_SE_13/ENSBTAE00000523030_SE_13	2_0	8683747	8683699	25																	
bos_taurus	ENSBTAG00000007887	ENSBTAT00000078028	ENSBTAE00000489712	ENSBTAE00000489712_SE_13/ENSBTAE00000523030_SE_13	2_0	8683747	8683699	25																	
bos_taurus	ENSBTAG00000007887	ENSBTAT00000075975	ENSBTAE00000532358	ENSBTAE00000084368_SE_0/ENSBTAE00000532358_SE_0	1_6	8497097	8496962	25																	
bos_taurus	ENSBTAG00000007887	ENSBTAT00000078028	ENSBTAE00000525825	ENSBTAE00000525825_SE_15	18_0	8685681	8685626	25																	
bos_taurus	ENSBTAG00000007887	ENSBTAT00000085184	ENSBTAE00000523123	ENSBTAE00000523123_SE_16	0_2	8686165	8686158	25																	
bos_taurus	ENSBTAG00000007887	ENSBTAT00000085184	ENSBTAE00000523030	ENSBTAE00000523030_SE_14	0_3	8683762	8683748	25																	
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000010376	ENSBTAE00000492373	ENSBTAE00000492373_SE_19	0_1	8687352	8687347
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000010376	ENSBTAE00000486876	ENSBTAE00000486876_SE_18	16_0	8687295	8687233
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000010376	ENSBTAE00000084368	ENSBTAE00000084368_SE_0/ENSBTAE00000532358_SE_0	1_6	8497097	8496962
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000078028	ENSBTAE00000084368	ENSBTAE00000084368_SE_0/ENSBTAE00000532358_SE_0	1_6	8497097	8496962
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000085184	ENSBTAE00000084368	ENSBTAE00000084368_SE_0/ENSBTAE00000532358_SE_0	1_6	8497097	8496962
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000075975	ENSBTAE00000534839	ENSBTAE00000534839_SE_17	11_0	8686824	8686688
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000075975	ENSBTAE00000484398	ENSBTAE00000084368_SE_2/ENSBTAE00000484398_SE_2	1_4	8497165	8497131
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000075975	ENSBTAE00000532358	ENSBTAE00000084368_SE_0/ENSBTAE00000532358_SE_0	1_6	8497097	8496962
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000078028	ENSBTAE00000525825	ENSBTAE00000525825_SE_15	18_0	8685681	8685626
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000085184	ENSBTAE00000523123	ENSBTAE00000523123_SE_16	0_2	8686165	8686158
gorilla_gorilla	ENSGGOG00000008796	ENSGGOT00000008839	ENSGGOE00000090228	ENSGGOE00000090228_SE_15	3_0	10487891	10487484	16																	
gorilla_gorilla	ENSGGOG00000008796							16												ENSGGOT00000008839	ENSGGOE00000090300	ENSGGOE00000090300_SE_0/ENSGGOE00000310084_SE_0	1_6	10068100	10067966
homo_sapiens	ENSG00000183454	ENST00000637393	ENSE00003798867	ENSE00001525515_SE_15/ENSE00003798867_SE_15	3_1	10180003	10179998	16																	
macaca_mulatta	ENSMMUG00000010142	ENSMMUT00000014163	ENSMMUE00000098325	ENSMMUE00000098325_SE_11	6_0	9870405	9870200	20																	
macaca_mulatta	ENSMMUG00000010142	ENSMMUT00000078789	ENSMMUE00000098325	ENSMMUE00000098325_SE_11	6_0	9870405	9870200	20																	
macaca_mulatta	ENSMMUG00000010142	ENSMMUT00000014163	ENSMMUE00000098326	ENSMMUE00000098326_SE_10	8_0	9861784	9861616	20																	
macaca_mulatta	ENSMMUG00000010142	ENSMMUT00000078789	ENSMMUE00000098326	ENSMMUE00000098326_SE_10	8_0	9861784	9861616	20																	
