Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAE00000507234	ENSBTAE00000507234_SE_17/ENSBTAE00000540916_SE_17	20_0	27335525.0	27335445.0	19.0																		0.0	0.0
bos_taurus	ENSBTAG00000005462	ENSBTAT00000075605	ENSBTAE00000540916	ENSBTAE00000507234_SE_17/ENSBTAE00000540916_SE_17	20_0	27335525.0	27335445.0	19.0																		0.0	0.0
bos_taurus	ENSBTAG00000005462							19.0												ENSBTAT00000007185	ENSBTAE00000497836	ENSBTAE00000497836_SE_0	0_1	27322300.0	27322295.0	0.0	0.0
bos_taurus	ENSBTAG00000005462							19.0												ENSBTAT00000075605	ENSBTAE00000531831	ENSBTAE00000531831_SE_1	12_1	27323055.0	27322960.0	0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000381328/ENSDARE00001000699	ENSDARE00000381328_SE_0	20_0	22718795.0	22718845.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000381328/ENSDARE00001000699	ENSDARE00000381328_SE_0	20_0	22718795.0	22718845.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000965422	ENSDARE00000965422_SE_1	21_0	22721226.0	22721278.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000965422	ENSDARE00000965422_SE_1	21_0	22721226.0	22721278.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000906449	ENSDARE00000906449_SE_2	16_0	22723692.0	22723785.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000906449	ENSDARE00000906449_SE_2	16_0	22723692.0	22723785.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000896391	ENSDARE00000896391_SE_3	10_2	22726614.0	22726631.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000896391	ENSDARE00000896391_SE_3	10_2	22726614.0	22726631.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000906635	ENSDARE00000906635_SE_4	9_0	22731960.0	22732108.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000906635	ENSDARE00000906635_SE_4	9_0	22731960.0	22732108.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000937886	ENSDARE00000937886_SE_5	15_0	22732555.0	22732648.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000937886	ENSDARE00000937886_SE_5	15_0	22732555.0	22732648.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000918999	ENSDARE00000918999_SE_6	11_0	22732741.0	22732857.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000918999	ENSDARE00000918999_SE_6	11_0	22732741.0	22732857.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000947400	ENSDARE00000947400_SE_7	6_0	22735269.0	22735439.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000947400	ENSDARE00000947400_SE_7	6_0	22735269.0	22735439.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000916060	ENSDARE00000916060_SE_8	19_0	22735542.0	22735620.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000916060	ENSDARE00000916060_SE_8	19_0	22735542.0	22735620.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000915770	ENSDARE00000915770_SE_9	8_0	22735783.0	22735940.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000915770	ENSDARE00000915770_SE_9	8_0	22735783.0	22735940.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000893221	ENSDARE00000893221_SE_10	18_0	22736143.0	22736229.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000893221	ENSDARE00000893221_SE_10	18_0	22736143.0	22736229.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000966397	ENSDARE00000966397_SE_11	1_0	22738901.0	22739120.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000966397	ENSDARE00000966397_SE_11	1_0	22738901.0	22739120.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000922962	ENSDARE00000922962_SE_12_13	5_0	22747903.0	22748082.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000922962	ENSDARE00000922962_SE_12_13	5_0	22747903.0	22748082.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000892147	ENSDARE00000892147_SE_14	3_0	22751545.0	22751748.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000143341	ENSDARE00000892147	ENSDARE00000892147_SE_14	3_0	22751545.0	22751748.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000896914	ENSDARE00000896914_SE_15	14_0	22758173.0	22758271.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000027718	ENSDARE00000940821	ENSDARE00000940821_SE_16	13_0	22758817.0	22758908.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000173609	ENSDARE00001232932	ENSDARE00001232932_SE_13	7_0	22747915.0	22748082.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000173609	ENSDARE00001232922	ENSDARE00001232922_SE_14	2_0	22751545.0	22751748.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260	ENSDART00000173609	ENSDARE00001232321	ENSDARE00001232321_SE_16	17_0	22758817.0	22758908.0	7.0																		0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000027718	ENSDARE00000965422	ENSDARE00000965422_SE_1	21_0	22721226.0	22721278.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000143341	ENSDARE00000965422	ENSDARE00000965422_SE_1	21_0	22721226.0	22721278.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000027718	ENSDARE00000906449	ENSDARE00000906449_SE_2	16_0	22723692.0	22723785.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000143341	ENSDARE00000906449	ENSDARE00000906449_SE_2	16_0	22723692.0	22723785.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000027718	ENSDARE00000896391	ENSDARE00000896391_SE_3	10_1	22726560.0	22726613.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000143341	ENSDARE00000896391	ENSDARE00000896391_SE_3	10_1	22726560.0	22726613.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000027718	ENSDARE00000906635	ENSDARE00000906635_SE_4	9_0	22731960.0	22732108.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000143341	ENSDARE00000906635	ENSDARE00000906635_SE_4	9_0	22731960.0	22732108.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000027718	ENSDARE00000937886	ENSDARE00000937886_SE_5	15_0	22732555.0	22732648.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000143341	ENSDARE00000937886	ENSDARE00000937886_SE_5	15_0	22732555.0	22732648.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000027718	ENSDARE00000918999	ENSDARE00000918999_SE_6	11_0	22732741.0	22732857.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000143341	ENSDARE00000918999	ENSDARE00000918999_SE_6	11_0	22732741.0	22732857.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000027718	ENSDARE00000947400	ENSDARE00000947400_SE_7	6_0	22735269.0	22735439.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000143341	ENSDARE00000947400	ENSDARE00000947400_SE_7	6_0	22735269.0	22735439.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000027718	ENSDARE00000916060	ENSDARE00000916060_SE_8	19_0	22735542.0	22735620.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000143341	ENSDARE00000916060	ENSDARE00000916060_SE_8	19_0	22735542.0	22735620.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000027718	ENSDARE00000915770	ENSDARE00000915770_SE_9	8_0	22735783.0	22735940.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000143341	ENSDARE00000915770	ENSDARE00000915770_SE_9	8_0	22735783.0	22735940.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000027718	ENSDARE00000893221	ENSDARE00000893221_SE_10	18_0	22736143.0	22736229.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000143341	ENSDARE00000893221	ENSDARE00000893221_SE_10	18_0	22736143.0	22736229.0	0.0	0.0
danio_rerio	ENSDARG00000016260							7.0												ENSDART00000027718	ENSDARE00000966397	ENSDARE00000966397_SE_11	1_0	22738901.0	22739120.0	0.0	0.0
