gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
DNM2	10_0	I	9_0,10_0,21_0	9_0,21_0	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	[0.0003044686658029294, 3.9476118638186975e-05, 0.0001892186981354006, 3.230689417599865e-05, 3.9671295010363035e-05, 0.0005523668191728716, 8.492055166913905e-05]	[1.7407449513095402e-07, 6.214621883870962e-07, 3.172969879031406e-07]	ENSBTAT00000036123,ENSBTAT00000068572,ENSBTAT00000072449,ENSBTAT00000073794,ENSBTAT00000086349,ENST00000355667,ENST00000359692,ENST00000408974,ENST00000585892,ENSGGOT00000006001,ENSGGOT00000016901,ENSGGOT00000028262,ENSGGOT00000053713,ENSGGOT00000054155,ENSGGOT00000064389,ENSMMUT00000020580,ENSMMUT00000020581,ENSMMUT00000038755,ENSMMUT00000038756,ENSMODT00000007667,ENSMUST00000072362,ENSMUST00000091087,ENSMUST00000165766,ENSMUST00000173397,ENSOANT00000021097,ENSRNOT00000010947,ENSRNOT00000065028,ENSRNOT00000066007,ENSSSCT00000014885,ENSSSCT00000039073,ENSSSCT00000042928,ENSSSCT00000060743,ENSSSCT00000063719	
DNM2	1_0	I	22_0,1_0,12_1	22_0,12_1	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	[0.0003159785472081594, 0.0001389452084835359, 3.8611435179455195e-05, 1.4598067352327003e-05, 0.00020224471380114772, 6.962572429300667e-05]	[0.0001160743461758087, 9.204485866954373e-06, 0.000372285632025134, 5.8207779350408204e-05, 1.6410872487338704e-05, 2.4608508613646966e-05, 0.0003483854827650941, 3.0004044633453752e-05]	ENSBTAT00000086349,ENST00000355667,ENST00000585892,ENSGGOT00000028262,ENSGGOT00000053713,ENSMMUT00000020581,ENSMUST00000072362,ENSMUST00000165766,ENSMUST00000173397,ENSRNOT00000010947,ENSRNOT00000065028,ENSRNOT00000066007,ENSSSCT00000014885,ENSSSCT00000047677	ENSBTAT00000036123,ENSBTAT00000072449,ENST00000359692,ENST00000408974,ENSGGOT00000006001,ENSGGOT00000016901,ENSGGOT00000064389,ENSMMUT00000020580,ENSMMUT00000038755,ENSMUST00000091087,ENSSSCT00000039073,ENSSSCT00000042928,ENSSSCT00000060743,ENSSSCT00000063719,ENSXETT00000020631
DNM2	8_0	I	20_0,8_0,3_0	20_0,3_0	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,mus_musculus	[0.00027584053791232597, 0.00020853226872096677, 3.175104415650769e-05, 3.950250797722208e-05, 0.0004225852778507263, 0.00010018567267853857]	[5.330483247458863e-07, 3.429971735553713e-07]	ENSBTAT00000036123,ENSBTAT00000068572,ENSBTAT00000073794,ENSBTAT00000086349,ENST00000355667,ENST00000359692,ENST00000408974,ENST00000585892,ENSGGOT00000006001,ENSGGOT00000016901,ENSGGOT00000028262,ENSGGOT00000053713,ENSGGOT00000054155,ENSGGOT00000064389,ENSMMUT00000020580,ENSMMUT00000020581,ENSMMUT00000038755,ENSMMUT00000038756,ENSMODT00000007667,ENSMUST00000072362,ENSMUST00000091087,ENSMUST00000165766,ENSMUST00000173397,ENSOANT00000021097,ENSRNOT00000010947,ENSRNOT00000065028,ENSRNOT00000066007,ENSSSCT00000014885,ENSSSCT00000039073,ENSSSCT00000042928,ENSSSCT00000060743	
DNM2	8_0	E	6_0,8_0,3_0	6_0,20_0,3_0	bos_taurus,rattus_norvegicus,sus_scrofa,mus_musculus	homo_sapiens,mus_musculus	[0.00012094362556307451, 6.2760091449957e-05, 2.3431770180860107e-05, 0.00015055545414881417]	[0.00015615821743449193, 0.00010007195340374362]		
DNM2	20_0	I	6_0,20_0,8_0	6_0,8_0	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	sus_scrofa,rattus_norvegicus,bos_taurus,mus_musculus	[0.00022729268639055537, 0.00014690543329886653, 1.7796551800978273e-05, 3.14140708535083e-05, 0.0003236195642103641, 6.37030354872737e-05]	[3.396597075652909e-07, 9.785105812755855e-07, 8.438621033221605e-07, 4.2142956201553325e-06]	ENSBTAT00000036123,ENSBTAT00000068572,ENSBTAT00000073794,ENSBTAT00000086349,ENST00000355667,ENST00000359692,ENST00000408974,ENST00000585892,ENSGGOT00000006001,ENSGGOT00000016901,ENSGGOT00000028262,ENSGGOT00000053713,ENSGGOT00000054155,ENSGGOT00000064389,ENSMMUT00000020580,ENSMMUT00000020581,ENSMMUT00000038756,ENSMODT00000007667,ENSMUST00000072362,ENSMUST00000091087,ENSMUST00000165766,ENSMUST00000173397,ENSRNOT00000010947,ENSRNOT00000065028,ENSRNOT00000066007,ENSSSCT00000014885,ENSSSCT00000039073,ENSSSCT00000042928,ENSSSCT00000060743	
DNM2	20_0	E	6_0,20_0,3_0	6_0,8_0,3_0	homo_sapiens,mus_musculus	bos_taurus,rattus_norvegicus,sus_scrofa,mus_musculus	[0.00015615821743449193, 0.00010007195340374362]	[0.00012094362556307451, 6.2760091449957e-05, 2.3431770180860107e-05, 0.00015055545414881417]		
DNM2	18_2	I	16_0,18_2,22_0	16_0,22_0	bos_taurus,sus_scrofa	gorilla_gorilla,sus_scrofa,mus_musculus,homo_sapiens,bos_taurus,rattus_norvegicus	[7.538613528729997e-06, 1.1765255645951923e-06]	[6.003119557417737e-05, 4.8887252858072725e-05, 0.0005751304477614044, 0.0006194574368090634, 0.0003054726002841592, 0.00016410948315094282]	ENSBTAT00000072449,ENSSSCT00000063719	ENSBTAT00000036123,ENSBTAT00000073794,ENSBTAT00000086349,ENST00000355667,ENST00000359692,ENST00000408974,ENST00000585892,ENSGGOT00000006001,ENSGGOT00000016901,ENSGGOT00000028262,ENSGGOT00000053713,ENSGGOT00000064389,ENSMMUT00000020580,ENSMMUT00000020581,ENSMMUT00000038755,ENSMMUT00000038756,ENSMUST00000072362,ENSMUST00000091087,ENSMUST00000165766,ENSMUST00000173397,ENSOANT00000021097,ENSRNOT00000010947,ENSRNOT00000065028,ENSRNOT00000066007,ENSSSCT00000014885,ENSSSCT00000039073,ENSSSCT00000042928,ENSSSCT00000047677,ENSSSCT00000060743
DNM2	22_0	I	16_0,22_0,1_0,12_1	16_0,12_1	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,rattus_norvegicus	[0.00040236251405924105, 0.00019445433908374366, 4.575135531102926e-05, 2.602779585424224e-05, 0.000341315621470453, 0.00010112031057898539]	[5.761239030417845e-07, 1.3190762821475966e-07]	ENSBTAT00000086349,ENST00000355667,ENST00000585892,ENSGGOT00000028262,ENSGGOT00000053713,ENSMMUT00000020581,ENSMUST00000072362,ENSMUST00000165766,ENSMUST00000173397,ENSRNOT00000010947,ENSRNOT00000065028,ENSRNOT00000066007,ENSSSCT00000014885,ENSSSCT00000047677	
DNM2	22_0	I	16_0,22_0,12_1	16_0,12_1	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,rattus_norvegicus	[0.00034560239696860656, 0.0001818401898172837, 3.822103403075804e-05, 3.6747880735859845e-05, 0.00048392145978707875, 9.705676389219829e-05]	[5.761239030417845e-07, 1.3190762821475966e-07]	ENSBTAT00000036123,ENST00000359692,ENST00000408974,ENSGGOT00000006001,ENSGGOT00000016901,ENSGGOT00000064389,ENSMMUT00000020580,ENSMMUT00000038755,ENSMUST00000091087,ENSSSCT00000039073,ENSSSCT00000042928,ENSSSCT00000060743	
DNM2	11_3	I	11_2,11_3,11_4,18_0	11_2,18_0	gorilla_gorilla,homo_sapiens,mus_musculus	gorilla_gorilla,sus_scrofa,mus_musculus,homo_sapiens,bos_taurus,rattus_norvegicus	[1.6773409600261427e-05, 0.00012699718919616677, 0.00011119441161300962]	[1.1180236789700443e-05, 1.4213771764538864e-05, 0.0002970274039022655, 0.00023815653373450112, 0.00013396902580818198, 0.00014326159386451604]		ENSBTAT00000036123,ENSBTAT00000068572,ENSBTAT00000072449,ENSBTAT00000086349,ENST00000355667,ENST00000359692,ENST00000585892,ENSGGOT00000016901,ENSGGOT00000053713,ENSGGOT00000054155,ENSGGOT00000064389,ENSMMUT00000020581,ENSMMUT00000038756,ENSMODT00000007667,ENSMUST00000091087,ENSMUST00000165766,ENSOANT00000021097,ENSRNOT00000010947,ENSRNOT00000065028,ENSRNOT00000066007,ENSSSCT00000042928,ENSSSCT00000060743,ENSSSCT00000063719,ENSXETT00000020631
