Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000016773	ENSBTAT00000022306	ENSBTAE00000182237	ENSBTAE00000182237_SE_0	2_0	5658324.0	5658649.0	7	5658650.0	5662686.0	1.0	1.0	8.0	0.0	4.0	2.0	SRR594478,SRR594490	3,5	0,0	ENSBTAT00000022306	ENSBTAE00000182240	ENSBTAE00000182240_SE_1	1_0	5662687.0	5663017.0	3.020323963840849e-07	0.0
bos_taurus	ENSBTAG00000016773	ENSBTAT00000022306	ENSBTAE00000182240	ENSBTAE00000182240_SE_1	1_0	5662687.0	5663017.0	7																		0.0	0.0
bos_taurus	ENSBTAG00000016773							7												ENSBTAT00000022306	ENSBTAE00000182237	ENSBTAE00000182237_SE_0	2_0	5658324.0	5658649.0	0.0	0.0
danio_rerio	ENSDARG00000052035	ENSDART00000143829	ENSDARE00001019948	ENSDARE00001019948_SE_1	2_0	58008736.0	58008411.0	1																		0.0	0.0
danio_rerio	ENSDARG00000052035							1												ENSDART00000143829	ENSDARE00001071386	ENSDARE00001071386_SE_0	1_0	58006818.0	58006497.0	0.0	0.0
gorilla_gorilla	ENSGGOG00000002347	ENSGGOT00000002359	ENSGGOE00000024595	ENSGGOE00000024595_SE_2	2_0	17303676.0	17303351.0	19																		0.0	0.0
gorilla_gorilla	ENSGGOG00000002347	ENSGGOT00000002359	ENSGGOE00000234973	ENSGGOE00000234973_SE_1	1_0	17298761.0	17298623.0	19																		0.0	0.0
gorilla_gorilla	ENSGGOG00000002347	ENSGGOT00000002359	ENSGGOE00000353335	ENSGGOE00000353335_SE_0	3_0	17294619.0	17294383.0	19																		0.0	0.0
gorilla_gorilla	ENSGGOG00000002347							19												ENSGGOT00000002359	ENSGGOE00000024595	ENSGGOE00000024595_SE_2	2_0	17303676.0	17303351.0	0.0	0.0
gorilla_gorilla	ENSGGOG00000002347							19												ENSGGOT00000002359	ENSGGOE00000234973	ENSGGOE00000234973_SE_1	1_0	17298761.0	17298623.0	0.0	0.0
gorilla_gorilla	ENSGGOG00000002347							19												ENSGGOT00000002359	ENSGGOE00000353335	ENSGGOE00000353335_SE_0	3_0	17294619.0	17294383.0	0.0	0.0
homo_sapiens	ENSG00000171773	ENST00000301944	ENSE00001128044	ENSE00001128044_SE_1	2_0	17460869.0	17460544.0	19																		0.0	0.0
homo_sapiens	ENSG00000171773							19												ENST00000301944	ENSE00001255300	ENSE00001255300_SE_0	1_0	17455959.0	17455647.0	0.0	0.0
monodelphis_domestica	ENSMODG00000004441							3												ENSMODT00000005590	ENSMODE00000299632	ENSMODE00000299632_SE_0	4_0	431752254.0	431752181.0	0.0	0.0
mus_musculus	ENSMUSG00000034829	ENSMUST00000048243/ENSMUST00000163659	ENSMUSE00000330668	ENSMUSE00000330668_SE_1	2_0	71566579.0	71566254.0	8																		0.0	0.0
mus_musculus	ENSMUSG00000034829							8												ENSMUST00000048243/ENSMUST00000163659	ENSMUSE00000914521	ENSMUSE00000914521_SE_0	1_0	71562936.0	71562609.0	0.0	0.0
rattus_norvegicus	ENSRNOG00000042658	ENSRNOT00000024434	ENSRNOE00000174832	ENSRNOE00000174832_SE_2/ENSRNOE00000530796_SE_2	2_0	19996716.0	19996391.0	16																		0.0	0.0
rattus_norvegicus	ENSRNOG00000042658	ENSRNOT00000080706	ENSRNOE00000530796	ENSRNOE00000174832_SE_2/ENSRNOE00000530796_SE_2	2_0	19996716.0	19996391.0	16																		0.0	0.0
rattus_norvegicus	ENSRNOG00000042658							16												ENSRNOT00000024434	ENSRNOE00000174874	ENSRNOE00000174874_SE_0	1_0	19993311.0	19992984.0	0.0	0.0
rattus_norvegicus	ENSRNOG00000042658							16												ENSRNOT00000080706	ENSRNOE00000561141	ENSRNOE00000561141_SE_1	0_1	19995042.0	19995030.0	0.0	0.0
xenopus_tropicalis	ENSXETG00000020568	ENSXETT00000044438	ENSXETE00000249349	ENSXETE00000249349_SE_0	2_0	2261956.0	2262284.0	GL172785.1	2262285.0	2266158.0	1.0	1.0	23.0	0.0	2.555555555555556	9.0	SRR489453,SRR489454,SRR489469,SRR489474,SRR489475,SRR489476,SRR489477,SRR489478,SRR943353	4,5,1,1,2,1,5,2,2	0,0,0,0,0,0,0,0,0	ENSXETT00000044438	ENSXETE00000249350	ENSXETE00000249350_SE_1	1_0	2266159.0	2266477.0	2.2362706076948193e-06	0.0
xenopus_tropicalis	ENSXETG00000020568	ENSXETT00000044438	ENSXETE00000249349	ENSXETE00000249349_SE_0	2_0	2261956.0	2262284.0	GL172785.1	2262285.0	2266213.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR489477	1	0							1.1315144540222114e-07	0.0
xenopus_tropicalis	ENSXETG00000020568							GL172785.1	2262318.0	2266158.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR489454	1	0	ENSXETT00000044438	ENSXETE00000249350	ENSXETE00000249350_SE_1	1_0	2266159.0	2266477.0	8.570749523187777e-08	0.0
