gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
SNAP-25	2_0	I	3_6,2_0,1_1	3_6,1_1	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens	gorilla_gorilla,mus_musculus,ornithorhynchus_anatinus,homo_sapiens,bos_taurus	[0.002375351770026918, 0.0005659879109476535, 0.00041791536689416147, 0.00021918274659078014, 0.00036829353270987773, 0.0010951062813883195]	[1.322978410712209e-07, 7.593224480640186e-07, 3.2826262482186537e-07, 5.178550281557489e-07, 1.338723265244574e-07]	ENSBTAT00000010961,ENSBTAT00000071478,ENST00000254976,ENSGGOT00000012308,ENSMMUT00000015467,ENSMMUT00000065548,ENSMUST00000028727,ENSOANT00000013387,ENSSSCT00000030392/ENSSSCT00000053460/ENSSSCT00000061808,ENSSSCT00000038949	
SNAP-25	2_0	I	3_0,2_0,1_1	3_0,1_1	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	monodelphis_domestica,mus_musculus	[0.001360772772771823, 0.0005563789414714417, 0.000827124106823063, 0.0003114091569656838, 0.0002259116345945654, 0.00011280675543418441, 0.0005998932393469627, 0.0005159413626880285]	[2.700192432960161e-07, 1.9874191317119912e-07]	ENSBTAT00000068441,ENST00000304886,ENSGGOT00000046263,ENSGGOT00000056463,ENSMMUT00000015468,ENSMODT00000006033,ENSMUST00000110098,ENSRNOT00000008734,ENSSSCT00000045585,ENSXETT00000033038	
SNAP-25	2_0	E	3_0,2_0,1_1	3_0,3_1,3_2,3_3,3_5,3_6,1_1	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	gorilla_gorilla,homo_sapiens,bos_taurus,mus_musculus	[0.001360772772771823, 0.0005563789414714417, 0.000827124106823063, 0.0003114091569656838, 0.0002259116345945654, 0.00011280675543418441, 0.0005998932393469627, 0.0005159413626880285]	[2.517992673925509e-07, 5.744127814666661e-07, 1.4592537495725352e-07, 6.521113214781695e-07]	ENSBTAT00000068441,ENST00000304886,ENSGGOT00000046263,ENSGGOT00000056463,ENSMMUT00000015468,ENSMODT00000006033,ENSMUST00000110098,ENSRNOT00000008734,ENSSSCT00000045585,ENSXETT00000033038	
SNAP-25	2_0	E	6_0,2_0,1_1	6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	gorilla_gorilla,homo_sapiens,bos_taurus,mus_musculus	[0.0002122450846217843, 0.0005407314413848771, 0.000554680372894668]	[1.0911411163177301e-05, 0.0001152171461146399, 1.7895675107859136e-05, 7.042851382020654e-05]		
SNAP-25	2_0	E	6_0,2_0,1_1	6_0,3_1,3_2,3_3,3_5,3_6,1_1	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	mus_musculus,bos_taurus,gorilla_gorilla,ornithorhynchus_anatinus,homo_sapiens	[0.0002122450846217843, 0.0005407314413848771, 0.000554680372894668]	[0.0017118142890274511, 0.0003872159406323417, 0.0002245064826437697, 0.0002349681088905482, 0.0016829531430366384]		
SNAP-25	2_0	E	7_0,2_0,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	homo_sapiens,ornithorhynchus_anatinus	gorilla_gorilla,homo_sapiens,bos_taurus,mus_musculus	[0.0005406346470471681, 0.00022444662943008834]	[0.0001398153307948165, 0.0007426680218400811, 0.00011803252871829306, 0.0008045595092740647]		
SNAP-25	2_0	E	7_0,2_0,1_1	7_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	homo_sapiens,ornithorhynchus_anatinus	homo_sapiens,bos_taurus	[0.0005406346470471681, 0.00022444662943008834]	[4.776769882217526e-07, 3.02010348296154e-07]		
SNAP-25	2_0	E	7_0,2_0,1_1	7_0,6_0,3_1,3_2,3_3,3_5,3_6,1_1	homo_sapiens,ornithorhynchus_anatinus	mus_musculus,bos_taurus,gorilla_gorilla,ornithorhynchus_anatinus,homo_sapiens	[0.0005406346470471681, 0.00022444662943008834]	[0.002143527024563514, 0.00039762499027142607, 0.00032518001832575785, 0.0003729783566073734, 0.001996975645029894]		
SNAP-25	3_1	I	3_0,3_1,3_2,3_3,3_5,3_6,2_0	3_0,2_0	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	[0.0011077894477854507, 0.00027527903819372083, 0.00020598528486610483, 0.00011512711805679525, 0.0005549875625119563]	[0.00018587600086581883, 0.00041938941249544616, 0.0005455705485522638, 4.12425900001123e-05, 2.759180443930365e-05, 1.7232006245531328e-05, 0.00011891807040642149, 0.0004205629726261778]		ENSBTAT00000068441,ENST00000304886,ENSGGOT00000046263,ENSGGOT00000056463,ENSMMUT00000015468,ENSMODT00000006033,ENSMUST00000110098,ENSRNOT00000008734,ENSSSCT00000045585,ENSXETT00000033038
SNAP-25	3_1	I	6_0,3_1,3_2,3_3,3_5,3_6,2_0	6_0,2_0	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	[0.0028189516254914235, 0.0006623490534511053, 0.00043023996824248197, 0.00022746000184530282, 0.0003787412944169209, 0.002237366292767128]	[2.58704493741469e-07, 5.944744822504698e-07, 6.830806954738388e-07]	ENSBTAT00000010961,ENSBTAT00000071478,ENST00000254976,ENSGGOT00000012308,ENSMMUT00000015467,ENSMMUT00000065548,ENSMUST00000028727,ENSOANT00000013387,ENSSSCT00000030392/ENSSSCT00000053460/ENSSSCT00000061808,ENSSSCT00000038949	
