Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000001332	ENSBTAT00000029554	ENSBTAE00000529320	ENSBTAE00000529320_SE_32	2_0	22612934.0	22612755.0	19.0																		0.0	0.0
bos_taurus	ENSBTAG00000001332	ENSBTAT00000029555	ENSBTAE00000345788/ENSBTAE00000515071	ENSBTAE00000345788_SE_35	22_0	22620294.0	22620220.0	19.0																		0.0	0.0
bos_taurus	ENSBTAG00000001332	ENSBTAT00000085502	ENSBTAE00000345788/ENSBTAE00000515071	ENSBTAE00000345788_SE_35	22_0	22620294.0	22620220.0	19.0																		0.0	0.0
bos_taurus	ENSBTAG00000001332	ENSBTAT00000084801	ENSBTAE00000491445	ENSBTAE00000491445_SE_34	31_0	22615059.0	22615009.0	19.0																		0.0	0.0
bos_taurus	ENSBTAG00000001332	ENSBTAT00000084966	ENSBTAE00000506738	ENSBTAE00000506738_SE_33	4_0	22614160.0	22614152.0	19.0																		0.0	0.0
bos_taurus	ENSBTAG00000001332							19.0												ENSBTAT00000029554	ENSBTAE00000381250/ENSBTAE00000518576	ENSBTAE00000381250_SE_0/ENSBTAE00000532520_SE_0	2_5	22597452.0	22597426.0	0.0	0.0
bos_taurus	ENSBTAG00000001332							19.0												ENSBTAT00000029555	ENSBTAE00000381250/ENSBTAE00000518576	ENSBTAE00000381250_SE_0/ENSBTAE00000532520_SE_0	2_5	22597452.0	22597426.0	0.0	0.0
bos_taurus	ENSBTAG00000001332							19.0												ENSBTAT00000084966	ENSBTAE00000381250/ENSBTAE00000518576	ENSBTAE00000381250_SE_0/ENSBTAE00000532520_SE_0	2_5	22597452.0	22597426.0	0.0	0.0
bos_taurus	ENSBTAG00000001332							19.0												ENSBTAT00000085502	ENSBTAE00000381250/ENSBTAE00000518576	ENSBTAE00000381250_SE_0/ENSBTAE00000532520_SE_0	2_5	22597452.0	22597426.0	0.0	0.0
bos_taurus	ENSBTAG00000001332							19.0												ENSBTAT00000084801	ENSBTAE00000532520	ENSBTAE00000381250_SE_0/ENSBTAE00000532520_SE_0	2_5	22597452.0	22597426.0	0.0	0.0
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00001286109	ENSDARE00001286109_SE_1	11_0	28303161.0	28303178.0	15.0																		0.0	0.0
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00000716998	ENSDARE00000716998_SE_4/ENSDARE00001105357_SE_4	2_3	28321600.0	28321728.0	15.0																		0.0	0.0
danio_rerio	ENSDARG00000061579	ENSDART00000175860	ENSDARE00000716998	ENSDARE00000716998_SE_4/ENSDARE00001105357_SE_4	2_3	28321600.0	28321728.0	15.0																		0.0	0.0
danio_rerio	ENSDARG00000061579	ENSDART00000188550	ENSDARE00000716998	ENSDARE00000716998_SE_4/ENSDARE00001105357_SE_4	2_3	28321600.0	28321728.0	15.0																		0.0	0.0
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00000716995	ENSDARE00000716995_SE_5	12_0	28322826.0	28322941.0	15.0																		0.0	0.0
danio_rerio	ENSDARG00000061579	ENSDART00000152777	ENSDARE00000716995	ENSDARE00000716995_SE_5	12_0	28322826.0	28322941.0	15.0																		0.0	0.0
danio_rerio	ENSDARG00000061579	ENSDART00000175860	ENSDARE00000716995	ENSDARE00000716995_SE_5	12_0	28322826.0	28322941.0	15.0																		0.0	0.0
danio_rerio	ENSDARG00000061579	ENSDART00000188550	ENSDARE00000716995	ENSDARE00000716995_SE_5	12_0	28322826.0	28322941.0	15.0																		0.0	0.0
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00000642244	ENSDARE00000642244_SE_6	3_0	28326503.0	28326701.0	15.0																		0.0	0.0
danio_rerio	ENSDARG00000061579	ENSDART00000152777	ENSDARE00000642244	ENSDARE00000642244_SE_6	3_0	28326503.0	28326701.0	15.0																		0.0	0.0
danio_rerio	ENSDARG00000061579	ENSDART00000175860	ENSDARE00000642244	ENSDARE00000642244_SE_6	3_0	28326503.0	28326701.0	15.0																		0.0	0.0
