Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000044035	ENSBTAT00000061410	ENSBTAE00000435229	ENSBTAE00000435229_SE_0	1_0	38073091.0	38070323.0	7.0																		0.0	0.0
bos_taurus	ENSBTAG00000044035							7.0												ENSBTAT00000061410	ENSBTAE00000435229	ENSBTAE00000435229_SE_0	1_0	38073091.0	38070323.0	0.0	0.0
gorilla_gorilla	ENSGGOG00000024915	ENSGGOT00000030071	ENSGGOE00000189606	ENSGGOE00000189606_SE_0	1_0	160691161.0	160688183.0	5.0																		0.0	0.0
gorilla_gorilla	ENSGGOG00000024915							5.0												ENSGGOT00000030071	ENSGGOE00000189606	ENSGGOE00000189606_SE_0	1_0	160691161.0	160688183.0	0.0	0.0
macaca_mulatta	ENSMMUG00000013284	ENSMMUT00000018649	ENSMMUE00000128553	ENSMMUE00000128553_SE_0	1_0	175066331.0	175063290.0	6.0																		0.0	0.0
macaca_mulatta	ENSMMUG00000013284							6.0												ENSMMUT00000018649	ENSMMUE00000128553	ENSMMUE00000128553_SE_0	1_0	175066331.0	175063290.0	0.0	0.0
monodelphis_domestica	ENSMODG00000005102	ENSMODT00000006412	ENSMODE00000054313	ENSMODE00000054313_SE_1	2_0	381853419.0	381852406.0	1.0																		0.0	0.0
monodelphis_domestica	ENSMODG00000005102	ENSMODT00000006412	ENSMODE00000054318	ENSMODE00000054318_SE_0	1_0	381851907.0	381851050.0	1.0																		0.0	0.0
monodelphis_domestica	ENSMODG00000005102							1.0												ENSMODT00000006412	ENSMODE00000054313	ENSMODE00000054313_SE_1	2_0	381853419.0	381852406.0	0.0	0.0
monodelphis_domestica	ENSMODG00000005102							1.0												ENSMODT00000006412	ENSMODE00000054318	ENSMODE00000054318_SE_0	1_0	381851907.0	381851050.0	0.0	0.0
sus_scrofa	ENSSSCG00000014054	ENSSSCT00000015353	ENSSSCE00000122667	ENSSSCE00000122667_SE_0	1_0	81315368.0	81318382.0	2.0																		0.0	0.0
sus_scrofa	ENSSSCG00000014054							2.0												ENSSSCT00000015353	ENSSSCE00000122667	ENSSSCE00000122667_SE_0	1_0	81315368.0	81318382.0	0.0	0.0
sus_scrofa									81316037.0	81316417.0	1.0	1.0	2.0	0.0	2.0	1.0	SRR636974	2	0							8.258445747296845e-08	0.0
gorilla_gorilla									160690856.0	160691008.0	2.0	4.0	3.0	0.0	1.0	3.0	SRR306800,SRR306801,SRR649365	1,1,1	0,0,0							1.6223962945408124e-07	0.0
homo_sapiens									176599056.0	176599151.0	2.0	2.0	0.0	4.0	0.0	1.0	SRR649361	0	4							0.0	1.2362640249517641e-07
homo_sapiens									176599529.0	176599681.0	2.0	4.0	9.0	0.0	1.2857142857142858	7.0	ERR030903,SRR1721308,SRR306838,SRR306844,SRR306845,SRR306846,SRR649361	1,1,2,2,1,1,1	0,0,0,0,0,0,0							3.62504046307748e-07	0.0
mus_musculus									54737152.0	54737191.0	2.0	2.0	1.0	0.0	1.0	1.0	SRR652247	1	0							1.402678327299923e-08	0.0
mus_musculus									54737208.0	54737341.0	2.0	4.0	3.0	0.0	1.5	2.0	ERR032233,SRR649371	2,1	0,0							9.970748667098914e-08	0.0
mus_musculus									54738222.0	54749460.0	2.0	4.0	0.0	1.0	0.0	1.0	SRR496224	0	1							0.0	5.0138600640681065e-08
mus_musculus									54738261.0	54748733.0	2.0	2.0	0.0	2.0	0.0	2.0	SRR306759,SRR306762	0,0	1,1							0.0	9.071281664815372e-08
mus_musculus									54738990.0	54740120.0	2.0	4.0	27.0	0.0	13.5	2.0	SRR579545,SRR579546	12,15	0,0							4.861842272416606e-07	0.0
