Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
danio_rerio	ENSDARG00000043010	ENSDART00000056466	ENSDARE00000932724/ENSDARE00001029020/ENSDARE00001192206	ENSDARE00000932724_SE_0	11_0	57725961	57726022	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000142259	ENSDARE00000932724/ENSDARE00001029020/ENSDARE00001192206	ENSDARE00000932724_SE_0	11_0	57725961	57726022	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000166198	ENSDARE00000932724/ENSDARE00001029020/ENSDARE00001192206	ENSDARE00000932724_SE_0	11_0	57725961	57726022	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000056466	ENSDARE00000699955	ENSDARE00000699955_SE_1	4_0	57726515	57726609	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000142259	ENSDARE00000699955	ENSDARE00000699955_SE_1	4_0	57726515	57726609	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000166198	ENSDARE00000699955	ENSDARE00000699955_SE_1	4_0	57726515	57726609	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000056466	ENSDARE00000949582	ENSDARE00000949582_SE_2	15_0	57785844	57785903	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000142259	ENSDARE00000949582	ENSDARE00000949582_SE_2	15_0	57785844	57785903	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000166198	ENSDARE00000949582	ENSDARE00000949582_SE_2	15_0	57785844	57785903	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000056466	ENSDARE00000295244	ENSDARE00000295244_SE_3	16_0	57795957	57796011	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000142259	ENSDARE00000295244	ENSDARE00000295244_SE_3	16_0	57795957	57796011	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000166198	ENSDARE00000295244	ENSDARE00000295244_SE_3	16_0	57795957	57796011	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000056466	ENSDARE00000472787	ENSDARE00000472787_SE_4	12_0	57800727	57800792	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000142259	ENSDARE00000472787	ENSDARE00000472787_SE_4	12_0	57800727	57800792	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000166198	ENSDARE00000472787	ENSDARE00000472787_SE_4	12_0	57800727	57800792	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000056466	ENSDARE00000990713	ENSDARE00000990713_SE_5	10_0	57811968	57812040	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000056466	ENSDARE00000921203	ENSDARE00000921203_SE_7	3_0	57831612	57831714	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000142259	ENSDARE00000921203	ENSDARE00000921203_SE_7	3_0	57831612	57831714	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000166198	ENSDARE00000921203	ENSDARE00000921203_SE_7	3_0	57831612	57831714	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000056466	ENSDARE00000925106	ENSDARE00000925106_SE_8	7_0	57834328	57834411	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000142259	ENSDARE00000925106	ENSDARE00000925106_SE_8	7_0	57834328	57834411	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000166198	ENSDARE00000925106	ENSDARE00000925106_SE_8	7_0	57834328	57834411	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000056466	ENSDARE00000885927	ENSDARE00000885927_SE_10/ENSDARE00000984938_SE_10	6_1	57836841	57836927	7																	
danio_rerio	ENSDARG00000043010	ENSDART00000142259	ENSDARE00000885927	ENSDARE00000885927_SE_10/ENSDARE00000984938_SE_10	6_1	57836841	57836927	7																	
