gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
CAMK2G	10_1	I	19_1,10_1,12_0	19_1,12_0	gorilla_gorilla,rattus_norvegicus	gorilla_gorilla,rattus_norvegicus	[1.618775637407407e-05, 2.7345892574545538e-05]	[2.6545412189581008e-05, 8.253894461338983e-05]	ENSGGOT00000006260,ENSMMUT00000030115,ENSMMUT00000030116,ENSMMUT00000068869,ENSRNOT00000065644	ENSGGOT00000027295,ENSGGOT00000058286,ENSGGOT00000059652,ENSGGOT00000064102,ENSMMUT00000003465,ENSMMUT00000030117,ENSMMUT00000030118,ENSMMUT00000042849,ENSMMUT00000057717,ENSRNOT00000066163
CAMK2G	10_1	I	19_1,10_1,12_1	19_1,12_1	monodelphis_domestica,sus_scrofa,mus_musculus,bos_taurus	sus_scrofa,mus_musculus,monodelphis_domestica,homo_sapiens,xenopus_tropicalis,bos_taurus	[2.4700877210461426e-05, 2.4937689004535726e-05, 4.682957307295923e-05, 4.233185264825251e-05]	[9.086299143314607e-06, 0.0002033990041643752, 2.1534928875549005e-05, 0.00047348868732881966, 0.00030591737574627216, 6.268883794300492e-05]	ENSBTAT00000068749,ENSBTAT00000071596,ENSBTAT00000071649,ENSBTAT00000075797,ENSBTAT00000078262,ENSMUST00000226630,ENSSSCT00000011285,ENSSSCT00000011286,ENSSSCT00000049619,ENSSSCT00000054416,ENSSSCT00000055835,ENSSSCT00000058449,ENSSSCT00000064663	ENSBTAT00000016830,ENSBTAT00000031316,ENSBTAT00000071058,ENSBTAT00000080860,ENST00000322635,ENST00000394762,ENST00000433289,ENSMUST00000071816,ENSMUST00000080440,ENSMUST00000100837,ENSSSCT00000011284,ENSXETT00000014163
CAMK2G	14_0	I	15_0,14_0,8_0	15_0,8_0	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	monodelphis_domestica,rattus_norvegicus,homo_sapiens,mus_musculus	[0.00017189734761812402, 4.1414308156893225e-05, 0.0003363760500483666, 4.9021357450455307e-05, 1.8686515912516657e-05, 2.9170148697688006e-05, 0.00032863705630384516, 4.891446218432636e-05]	[1.2129587270415412e-07, 4.395410374179588e-07, 1.873940827504209e-06, 1.6611006618447934e-06]	ENSBTAT00000016830,ENSBTAT00000031316,ENSBTAT00000071058,ENSBTAT00000071596,ENSBTAT00000071649,ENSBTAT00000075797,ENSBTAT00000077892,ENSBTAT00000078262,ENSBTAT00000080860,ENST00000322635,ENST00000394762,ENST00000433289,ENSGGOT00000006260,ENSGGOT00000027295,ENSGGOT00000058286,ENSGGOT00000059652,ENSGGOT00000064102,ENSMMUT00000003465,ENSMMUT00000030115,ENSMMUT00000030116,ENSMMUT00000030117,ENSMMUT00000030118,ENSMMUT00000042849,ENSMMUT00000057717,ENSMMUT00000068869,ENSMODT00000000664,ENSMUST00000071816,ENSMUST00000080440,ENSMUST00000100837,ENSMUST00000226630,ENSRNOT00000065644,ENSRNOT00000066163,ENSSSCT00000011284,ENSSSCT00000011285,ENSSSCT00000011286,ENSSSCT00000049619,ENSSSCT00000054416,ENSSSCT00000055835,ENSSSCT00000064663,ENSXETT00000014163,ENSXETT00000014164	
CAMK2G	20_1	I	10_0,20_1,20_2,18_1	10_0,18_1	gorilla_gorilla,rattus_norvegicus	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	[1.6781115889608396e-05, 2.0483862053773885e-05]	[0.0001597635690459567, 3.576976434331973e-05, 3.962611255774339e-05, 5.732490690818454e-05, 2.2521773133749675e-05, 2.6365350249129568e-05, 0.0002726808408837931, 4.395859383753798e-05]	ENSBTAT00000071596,ENSBTAT00000071649,ENSBTAT00000075797,ENST00000322635,ENST00000394762,ENSGGOT00000027295,ENSGGOT00000058286,ENSGGOT00000064102,ENSMMUT00000030115,ENSRNOT00000066163,ENSSSCT00000011285,ENSSSCT00000054416,ENSSSCT00000064663	ENSBTAT00000068749,ENSBTAT00000071058,ENSBTAT00000078262,ENSBTAT00000080860,ENST00000433289,ENSGGOT00000006260,ENSGGOT00000059652,ENSMMUT00000030116,ENSMMUT00000030117,ENSMMUT00000068869,ENSMODT00000000664,ENSMUST00000071816,ENSMUST00000080440,ENSMUST00000100837,ENSMUST00000226630,ENSRNOT00000065644,ENSSSCT00000011284,ENSSSCT00000011286,ENSSSCT00000049619,ENSSSCT00000055835,ENSSSCT00000058449
CAMK2G	25_0	I	24_1,25_0,22_0,17_0	24_1,17_0	gorilla_gorilla,rattus_norvegicus,homo_sapiens	gorilla_gorilla,homo_sapiens	[4.791569280040744e-05, 9.874939930850771e-05, 0.0004820802319697864]	[3.5431144364443997e-07, 3.5379813174954246e-06]	ENSBTAT00000016830,ENSBTAT00000068749,ENSBTAT00000071058,ENSBTAT00000071596,ENSBTAT00000071649,ENSBTAT00000075797,ENSBTAT00000078262,ENSBTAT00000080860,ENST00000322635,ENST00000394762,ENST00000433289,ENSGGOT00000006260,ENSGGOT00000027295,ENSGGOT00000058286,ENSGGOT00000059652,ENSGGOT00000064102,ENSMMUT00000003465,ENSMMUT00000030115,ENSMMUT00000030116,ENSMMUT00000030117,ENSMMUT00000030118,ENSMMUT00000042849,ENSMMUT00000057717,ENSMMUT00000068869,ENSMODT00000000664,ENSMUST00000071816,ENSMUST00000080440,ENSMUST00000100837,ENSMUST00000226630,ENSRNOT00000065644,ENSRNOT00000066163,ENSSSCT00000011284,ENSSSCT00000011285,ENSSSCT00000049619,ENSSSCT00000054416,ENSSSCT00000055835,ENSSSCT00000058449,ENSSSCT00000064663,ENSXETT00000014163,ENSXETT00000014164	
CAMK2G	25_0	I	24_1,25_0,22_0	24_1,22_0	gorilla_gorilla,rattus_norvegicus,homo_sapiens	gorilla_gorilla,rattus_norvegicus,homo_sapiens	[4.211346657130318e-05, 9.711158016087117e-05, 0.0004935504136676907]	[8.847656939798165e-07, 1.8090343101311288e-07, 6.272246445331248e-06]	ENSBTAT00000016830,ENSBTAT00000031316,ENSBTAT00000068749,ENSBTAT00000071058,ENSBTAT00000071596,ENSBTAT00000071649,ENSBTAT00000075797,ENSBTAT00000077892,ENSBTAT00000078262,ENSBTAT00000080860,ENST00000322635,ENST00000394762,ENST00000433289,ENSGGOT00000006260,ENSGGOT00000027295,ENSGGOT00000058286,ENSGGOT00000059652,ENSGGOT00000064102,ENSMMUT00000003465,ENSMMUT00000030115,ENSMMUT00000030116,ENSMMUT00000030117,ENSMMUT00000030118,ENSMMUT00000042849,ENSMMUT00000057717,ENSMMUT00000068869,ENSMODT00000000664,ENSMUST00000071816,ENSMUST00000080440,ENSMUST00000100837,ENSMUST00000226630,ENSRNOT00000065644,ENSRNOT00000066163,ENSSSCT00000011284,ENSSSCT00000011285,ENSSSCT00000049619,ENSSSCT00000054416,ENSSSCT00000055835,ENSSSCT00000058449,ENSSSCT00000064663,ENSXETT00000014163,ENSXETT00000014164	
CAMK2G	21_0	I	18_2,21_0,4_3	18_2,4_3	gorilla_gorilla,rattus_norvegicus	gorilla_gorilla,rattus_norvegicus	[1.3676325181992843e-05, 2.4700994820108778e-05]	[2.2343701426814537e-06, 3.2726748011517985e-06]	ENSBTAT00000068749,ENSBTAT00000071649,ENSBTAT00000078262,ENSBTAT00000080860,ENST00000394762,ENST00000433289,ENSGGOT00000006260,ENSGGOT00000027295,ENSMODT00000000664,ENSMUST00000080440,ENSSSCT00000011284,ENSSSCT00000049619,ENSSSCT00000058449,ENSSSCT00000064663,ENSXETT00000014163,ENSXETT00000014164	ENSBTAT00000071058,ENSBTAT00000075797,ENSGGOT00000058286,ENSMUST00000100837,ENSSSCT00000011286,ENSSSCT00000054416
CAMK2G	21_0	I	5_5,21_0,4_3	5_5,4_3	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	gorilla_gorilla,sus_scrofa,mus_musculus,homo_sapiens,bos_taurus,rattus_norvegicus	[7.257018939075505e-05, 2.4392966411813872e-05, 1.0713500532582697e-05, 6.214370358043919e-06, 0.00010317040407094362, 2.3663028506571192e-05]	[1.4838148457217715e-05, 5.834731016775701e-06, 5.540836753177421e-05, 0.00010475177112546001, 1.4370194047443549e-05, 2.5816267351460897e-05]	ENSBTAT00000071596,ENSGGOT00000059652,ENSMMUT00000068869,ENSMUST00000071816,ENSMUST00000226630,ENSRNOT00000065644,ENSSSCT00000011285	ENST00000322635,ENSGGOT00000064102,ENSMMUT00000030117,ENSRNOT00000066163,ENSSSCT00000055835
CAMK2G	21_0	I	5_5,21_0,4_3,19_1	5_5,19_1	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	gorilla_gorilla,homo_sapiens	[0.00014361789128330382, 4.780108036376421e-05, 2.0129339445583465e-05, 1.608801365422199e-05, 0.00024573301179958614, 4.967355202605445e-05]	[6.185728959385166e-07, 1.194881968159575e-06]	ENSBTAT00000071596,ENSGGOT00000059652,ENSMMUT00000068869,ENSMUST00000071816,ENSMUST00000226630,ENSRNOT00000065644,ENSSSCT00000011285	
CAMK2G	21_0	E	18_2,21_0,4_3	18_2,5_5,4_3	gorilla_gorilla,rattus_norvegicus	gorilla_gorilla,rattus_norvegicus	[1.3676325181992843e-05, 2.4700994820108778e-05]	[1.78240948046087e-05, 2.7741671165590882e-05]	ENSBTAT00000068749,ENSBTAT00000071649,ENSBTAT00000078262,ENSBTAT00000080860,ENST00000394762,ENST00000433289,ENSGGOT00000006260,ENSGGOT00000027295,ENSMODT00000000664,ENSMUST00000080440,ENSSSCT00000011284,ENSSSCT00000049619,ENSSSCT00000058449,ENSSSCT00000064663,ENSXETT00000014163,ENSXETT00000014164	ENST00000322635,ENSGGOT00000064102,ENSMMUT00000030117,ENSRNOT00000066163,ENSSSCT00000055835
