Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAE00000535893	ENSBTAE00000354780_SE_27/ENSBTAE00000535893_SE_27	15_0	22213988	22213908	13																	
bos_taurus	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAE00000535893	ENSBTAE00000354780_SE_27/ENSBTAE00000535893_SE_27	15_0	22213988	22213908	13																	
bos_taurus	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAE00000535893	ENSBTAE00000354780_SE_27/ENSBTAE00000535893_SE_27	15_0	22213988	22213908	13																	
bos_taurus	ENSBTAG00000013339							13												ENSBTAT00000061339	ENSBTAE00000438064	ENSBTAE00000438064_SE_0	2_2	22100382	22100371
bos_taurus	ENSBTAG00000013339							13												ENSBTAT00000067562	ENSBTAE00000438064	ENSBTAE00000438064_SE_0	2_2	22100382	22100371
bos_taurus	ENSBTAG00000013339							13												ENSBTAT00000075769	ENSBTAE00000438064	ENSBTAE00000438064_SE_0	2_2	22100382	22100371
bos_taurus	ENSBTAG00000013339							13												ENSBTAT00000085898	ENSBTAE00000438064	ENSBTAE00000438064_SE_0	2_2	22100382	22100371
gorilla_gorilla	ENSGGOG00000005437	ENSGGOT00000049274	ENSGGOE00000347691	ENSGGOE00000347691_SE_29	18_0	23979043	23978975	10																	
gorilla_gorilla	ENSGGOG00000005437							10												ENSGGOT00000005469	ENSGGOE00000318985	ENSGGOE00000318985_SE_0	2_2	23588637	23588626
gorilla_gorilla	ENSGGOG00000005437							10												ENSGGOT00000049274	ENSGGOE00000318985	ENSGGOE00000318985_SE_0	2_2	23588637	23588626
homo_sapiens	ENSG00000078114	ENST00000473616	ENSE00001909677	ENSE00001909677_SE_8/ENSE00003476132_SE_8	5_13	20817650	20817600	10																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102708	ENSMMUE00000102708_SE_28	16_0	21111391	21111320	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102708	ENSMMUE00000102708_SE_28	16_0	21111391	21111320	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102711	ENSMMUE00000102711_SE_27	5_2	21104059	21103955	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102711	ENSMMUE00000102711_SE_27	5_2	21104059	21103955	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102713	ENSMMUE00000102713_SE_26	5_3	21102320	21102210	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102713	ENSMMUE00000102713_SE_26	5_3	21102320	21102210	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102716	ENSMMUE00000102716_SE_25	5_4	21094993	21094883	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102716	ENSMMUE00000102716_SE_25	5_4	21094993	21094883	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102719	ENSMMUE00000102719_SE_24	9_0	21083798	21083697	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102719	ENSMMUE00000102719_SE_24	9_0	21083798	21083697	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102722	ENSMMUE00000102722_SE_23	9_1	21082727	21082626	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102722	ENSMMUE00000102722_SE_23	9_1	21082727	21082626	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102725	ENSMMUE00000102725_SE_22	8_0	21073418	21073305	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102725	ENSMMUE00000102725_SE_22	8_0	21073418	21073305	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102727	ENSMMUE00000102727_SE_21	9_2	21071947	21071843	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102727	ENSMMUE00000102727_SE_21	9_2	21071947	21071843	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102729	ENSMMUE00000102729_SE_20	9_3	21067572	21067468	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102729	ENSMMUE00000102729_SE_20	9_3	21067572	21067468	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102731	ENSMMUE00000102731_SE_19	5_8	21065460	21065353	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102731	ENSMMUE00000102731_SE_19	5_8	21065460	21065353	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102734	ENSMMUE00000102734_SE_18	9_4	21060341	21060231	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102734	ENSMMUE00000102734_SE_18	9_4	21060341	21060231	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102738	ENSMMUE00000102738_SE_17	9_5	21055494	21055384	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102738	ENSMMUE00000102738_SE_17	9_5	21055494	21055384	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102744	ENSMMUE00000102744_SE_16	9_6	21051910	21051800	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000043169	ENSMMUE00000102744	ENSMMUE00000102744_SE_16	9_6	21051910	21051800	9																	
macaca_mulatta	ENSMMUG00000010589	ENSMMUT00000014819	ENSMMUE00000102751	ENSMMUE00000102751_SE_15	9_7	21048043	21047933	9																	
