Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000108704	ENSBTAE00000108704_SE_4	7_1	77605748.0	77605814.0	16.0	77605815.0	77607154.0	1.0	1.0	2974.0	118.0	110.14814814814815	27.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594491,SRR594492,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	5,174,15,41,140,466,3,1319,20,12,23,148,372,0,4,31,6,6,64,99,2,3,2,2,10,4,3	0,0,0,0,0,3,0,12,0,2,4,5,68,3,0,3,0,0,8,8,0,0,0,0,2,0,0	ENSBTAT00000013320	ENSBTAE00000108705	ENSBTAE00000108705_SE_5	2_0	77607155.0	77607175.0	8.259853398814107e-05	7.409316462848313e-06
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000108705	ENSBTAE00000108705_SE_5	2_0	77607155.0	77607175.0	16.0	77607176.0	77607306.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594475	1	0							9.67495451973192e-09	0.0
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000108705	ENSBTAE00000108705_SE_5	2_0	77607155.0	77607175.0	16.0	77607176.0	77609279.0	1.0	1.0	2968.0	57.0	102.34482758620692	29.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594491,SRR594492,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	8,178,13,39,133,488,4,1556,18,1,1,8,19,80,2,256,2,20,4,9,45,54,3,4,3,5,6,6,3	0,2,0,0,0,0,0,10,0,0,0,1,3,4,0,32,0,1,0,0,4,0,0,0,0,0,0,0,0	ENSBTAT00000013320	ENSBTAE00000253299	ENSBTAE00000253299_SE_6	5_0	77609280.0	77609486.0	6.796580114391217e-05	3.3821897073089015e-06
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000253299	ENSBTAE00000253299_SE_6	5_0	77609280.0	77609486.0	16.0	77609487.0	77611018.0	1.0	1.0	5103.0	5.0	189.0	27.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594486,SRR594487,SRR594489,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	8,136,18,32,96,433,9,3907,20,5,1,6,15,49,164,11,1,2,9,63,89,5,6,1,13,1,3	0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000013320	ENSBTAE00000108711	ENSBTAE00000108711_SE_7	18_0	77611019.0	77611162.0	8.918416912928312e-05	1.9132224560518967e-07
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000108711	ENSBTAE00000108711_SE_7	18_0	77611019.0	77611162.0	16.0	77611163.0	77611506.0	1.0	1.0	8.0	0.0	2.666666666666666	3.0	SRR594477,SRR594480,SRR594489	1,6,1	0,0,0							1.6643810674919314e-07	0.0
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000108711	ENSBTAE00000108711_SE_7	18_0	77611019.0	77611162.0	16.0	77611163.0	77612628.0	1.0	1.0	3713.0	0.0	142.80769230769232	26.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934	2,60,7,15,40,325,8,2855,15,1,4,15,48,1,156,10,1,4,11,43,77,3,1,2,4,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000013320	ENSBTAE00000108715	ENSBTAE00000108715_SE_8	15_0	77612629.0	77612772.0	6.851255698300929e-05	0.0
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000108715	ENSBTAE00000108715_SE_8	15_0	77612629.0	77612772.0	16.0	77612773.0	77615956.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594480	1	0							1.2911956121454455e-08	0.0
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000108715	ENSBTAE00000108715_SE_8	15_0	77612629.0	77612772.0	16.0	77612773.0	77616194.0	1.0	1.0	5559.0	0.0	222.36	25.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594486,SRR594487,SRR594489,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934	9,53,4,28,46,269,4547,7,1,13,8,16,78,265,19,1,11,12,46,92,9,5,4,12,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000013320	ENSBTAE00000253298	ENSBTAE00000253298_SE_9	3_1	77616195.0	77616304.0	0.00010475431038195485	0.0
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000253298	ENSBTAE00000253298_SE_9	3_2	77616305.0	77616314.0	16.0	77616315.0	77617897.0	1.0	1.0	18.0	0.0	4.5	4.0	SRR594474,SRR594477,SRR594478,SRR594480	1,1,2,14	0,0,0,0							2.313329257176726e-07	0.0
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000253298	ENSBTAE00000253298_SE_9	3_2	77616305.0	77616314.0	16.0	77616315.0	77618514.0	1.0	1.0	7578.0	0.0	244.4516129032257	31.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	9,255,9,45,86,495,13,5820,35,2,12,9,21,111,340,4,6,23,2,7,25,83,2,111,3,9,11,3,17,8,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000013320	ENSBTAE00000108724	ENSBTAE00000108724_SE_10	13_0	77618515.0	77618673.0	0.0001418439796565497	0.0
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000108724	ENSBTAE00000108724_SE_10	13_0	77618515.0	77618673.0	16.0	77618674.0	77618868.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594480	1	0							1.2911956121454455e-08	0.0
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000108724	ENSBTAE00000108724_SE_10	13_0	77618515.0	77618673.0	16.0	77618674.0	77620404.0	1.0	1.0	6977.0	2.0	225.06451612903226	31.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	12,267,4,46,129,574,5055,16,3,13,16,24,113,1,315,6,6,19,2,5,23,79,1,196,3,10,3,5,22,4,5	0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000013320	ENSBTAE00000108727	ENSBTAE00000108727_SE_11	6_1	77620405.0	77620454.0	0.00013648246209764533	2.582391224290891e-08
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000108727	ENSBTAE00000108727_SE_11	6_3	77620587.0	77620613.0	16.0	77620614.0	77621207.0	1.0	1.0	15.0	0.0	15.0	1.0	SRR594480	15	0							1.9367934182181685e-07	0.0
bos_taurus	ENSBTAG00000023144	ENSBTAT00000013320	ENSBTAE00000108727	ENSBTAE00000108727_SE_11	6_3	77620587.0	77620613.0	16.0	77620614.0	77624097.0	1.0	1.0	5.0	0.0	5.0	1.0	SRR594480	5	0							6.455978060727228e-08	0.0
