Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000494886	56555365	56556187	1					-1	-1	56556188	56560651	1	1	18	0	6.0	3	SRR594473,SRR594476,SRR636935	3,1,14	0,0,0	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122727	56560652	56561065	2	839	1237	56560667	56561065	-1	0	19
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000494886	56555365	56556187	1					-1	-1	56556188	56563428	1	1	2	0	2.0	1	SRR594476	2	0	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122728	56563429	56564027	3	1238	1836	56563429	56564027	0	2	19
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122727	56560652	56561065	2	839	1237	56560667	56561065	-1	0	56561066	56562989	1	1	2	0	1.0	2	SRR594476,SRR594478	1,1	0,0															19
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122727	56560652	56561065	2	839	1237	56560667	56561065	-1	0	56561066	56563428	1	1	67	0	9.571428571428573	7	SRR594473,SRR594475,SRR594476,SRR594480,SRR594485,SRR594497,SRR636935	12,1,9,1,2,1,41	0,0,0,0,0,0,0	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122728	56563429	56564027	3	1238	1836	56563429	56564027	0	2	19
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122728	56563429	56564027	3	1238	1836	56563429	56564027	0	2	56564028	56564359	1	1	34	0	3.090909090909091	11	SRR594473,SRR594475,SRR594476,SRR594478,SRR594485,SRR594486,SRR594494,SRR636889,SRR636890,SRR636934,SRR636935	2,1,5,1,5,1,2,3,1,1,12	0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122730	56564360	56564474	4	1837	1951	56564360	56564474	2	0	19
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122730	56564360	56564474	4	1837	1951	56564360	56564474	2	0	56564475	56565433	1	1	73	0	6.083333333333333	12	SRR594473,SRR594475,SRR594476,SRR594478,SRR594485,SRR594491,SRR594494,SRR594496,SRR636889,SRR636890,SRR636934,SRR636935	14,1,12,4,5,1,5,1,1,2,1,26	0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122731	56565434	56565645	5	1952	2163	56565434	56565645	0	2	19
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122731	56565434	56565645	5	1952	2163	56565434	56565645	0	2	56565646	56565804	1	1	11	0	1.8333333333333328	6	SRR594473,SRR594475,SRR594477,SRR636889,SRR636934,SRR636935	3,1,2,1,1,3	0,0,0,0,0,0															19
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122731	56565434	56565645	5	1952	2163	56565434	56565645	0	2	56565646	56565807	1	1	61	0	4.357142857142857	14	SRR594473,SRR594475,SRR594476,SRR594479,SRR594480,SRR594485,SRR594486,SRR594487,SRR594494,SRR594496,SRR636889,SRR636890,SRR636934,SRR636935	8,3,8,1,1,4,1,2,3,1,3,4,3,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122732	56565808	56565970	6	2164	2326	56565808	56565970	2	0	19
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000122732	56565808	56565970	6	2164	2326	56565808	56565970	2	0	56565971	56566256	1	1	140	0	9.33333333333333	15	SRR594473,SRR594474,SRR594475,SRR594476,SRR594478,SRR594480,SRR594481,SRR594482,SRR594485,SRR594489,SRR594491,SRR594494,SRR636889,SRR636890,SRR636935	17,3,5,17,3,16,3,1,9,1,1,5,5,3,51	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000451473	56566257	56566410	7	2327	2480	56566257	56566410	0	1	19
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAP00000015137	1	ENSBTAE00000451473	56566257	56566410	7	2327	2480	56566257	56566410	0	1	56566411	56566642	1	1	4	0	2.0	2	SRR594476,SRR636935	1,3	0,0															19
