gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
FXR1	11_0	I	1_0,11_0,12_0	1_0,12_0	homo_sapiens,xenopus_tropicalis	gorilla_gorilla,homo_sapiens,xenopus_tropicalis,mus_musculus	[0.0006039017292593433, 0.0006414836953787486]	[1.6326912125328656e-07, 6.598757268552131e-06, 1.9923787527948093e-07, 2.53922784943433e-07]		ENST00000491062,ENSGGOT00000010001,ENSMMUT00000016949
FXR1	14_0	I	4_0,14_0,9_0	4_0,9_0	mus_musculus,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,ornithorhynchus_anatinus,homo_sapiens,rattus_norvegicus	homo_sapiens,bos_taurus	[0.0007881899853885278, 0.0003752724257449954, 0.00025214506828207276, 3.30133186708798e-05, 7.096492580118723e-05, 7.535127530440715e-05, 0.0014167003519125053, 0.0001244105964955163]	[4.933905708097321e-07, 1.203160653186917e-07]	ENSBTAT00000016666,ENSBTAT00000021880,ENSBTAT00000075091,ENSBTAT00000077507,ENSDART00000104478,ENST00000357559,ENST00000445140,ENST00000468861,ENST00000480918,ENST00000491062,ENSGGOT00000010001,ENSGGOT00000022213,ENSGGOT00000045588,ENSGGOT00000049450,ENSGGOT00000055761,ENSGGOT00000058649,ENSGGOT00000060124,ENSMMUT00000016949,ENSMMUT00000016950,ENSMMUT00000045729,ENSMMUT00000045731,ENSMUST00000200392,ENSOANT00000017501,ENSRNOT00000088442,ENSSSCT00000012881,ENSSSCT00000027021,ENSSSCT00000027605,ENSSSCT00000053011,ENSSSCT00000056528,ENSXETT00000042145,ENSXETT00000042154	
FXR1	6_0	I	12_2,6_0,10_0,8_0	12_2,8_0	mus_musculus,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,xenopus_tropicalis	[0.0007075461266054781, 0.0005824588255034743, 0.0001210141496775338, 4.7808476765397656e-05, 4.57731353676856e-05, 0.0011880025882292586, 0.00016360671898335382]	[1.3234286645457823e-07, 1.241019825415813e-07]	ENSBTAT00000016666,ENSBTAT00000021880,ENSBTAT00000075091,ENSBTAT00000077507,ENSDART00000104478,ENST00000357559,ENST00000445140,ENST00000468861,ENST00000480918,ENST00000491062,ENSGGOT00000010001,ENSGGOT00000022213,ENSGGOT00000045588,ENSGGOT00000049450,ENSGGOT00000055761,ENSGGOT00000058649,ENSGGOT00000060124,ENSMMUT00000016949,ENSMMUT00000016950,ENSMMUT00000045729,ENSMMUT00000045731,ENSMUST00000200392,ENSRNOT00000088442,ENSSSCT00000027021,ENSSSCT00000027605,ENSSSCT00000053011,ENSSSCT00000056528,ENSXETT00000042145,ENSXETT00000042154	
FXR1	7_0	I	2_4,7_0,12_3	2_4,12_3	gorilla_gorilla,sus_scrofa	gorilla_gorilla,homo_sapiens,sus_scrofa,ornithorhynchus_anatinus	[2.9103844880905713e-06, 1.4893532694356698e-05]	[2.447760727344837e-05, 0.0001672838996811835, 1.6628962724571867e-05, 3.1425540616082755e-05]	ENSGGOT00000058649,ENSSSCT00000027021,ENSSSCT00000053011	ENST00000357559,ENST00000480918,ENSGGOT00000022213,ENSGGOT00000049450,ENSGGOT00000055761,ENSOANT00000017501,ENSSSCT00000012881
FXR1	7_0	I	2_4,7_0,12_3,1_2	2_4,1_2	gorilla_gorilla,sus_scrofa	gorilla_gorilla,homo_sapiens,sus_scrofa,mus_musculus	[1.3959604563872076e-05, 2.3905834081586898e-05]	[2.4390684258976396e-05, 0.00027861128266144184, 4.039865258639274e-05, 0.00030149824862102766]		ENST00000445140,ENST00000468861,ENST00000491062,ENSGGOT00000010001,ENSGGOT00000060124,ENSMUST00000200392,ENSSSCT00000027605
FXR1	7_0	I	2_4,7_0,12_3,5_0	2_4,5_0	gorilla_gorilla,sus_scrofa	gorilla_gorilla,homo_sapiens,sus_scrofa	[1.3959604563872076e-05, 2.3905834081586898e-05]	[2.4390684258976396e-05, 0.00027861128266144184, 4.039865258639274e-05]	ENSGGOT00000058649,ENSSSCT00000027021,ENSSSCT00000053011	
FXR1	12_3	I	2_4,12_3,1_2	2_4,1_2	gorilla_gorilla,homo_sapiens,sus_scrofa	gorilla_gorilla,homo_sapiens,sus_scrofa,mus_musculus	[3.026782599444173e-05, 0.0007265713456905651, 2.927969979030958e-05]	[2.4390684258976396e-05, 0.00027861128266144184, 4.039865258639274e-05, 0.00030149824862102766]		ENST00000445140,ENST00000468861,ENST00000491062,ENSGGOT00000010001,ENSGGOT00000060124,ENSMUST00000200392,ENSSSCT00000027605
FXR1	12_3	I	2_4,12_3,5_0	2_4,5_0	gorilla_gorilla,homo_sapiens,sus_scrofa,ornithorhynchus_anatinus	gorilla_gorilla,homo_sapiens,sus_scrofa	[3.026782599444173e-05, 0.0007265713456905651, 2.927969979030958e-05, 4.2992490001452145e-05]	[2.4390684258976396e-05, 0.00027861128266144184, 4.039865258639274e-05]	ENST00000357559,ENST00000480918,ENSGGOT00000022213,ENSGGOT00000049450,ENSGGOT00000055761,ENSOANT00000017501,ENSSSCT00000012881	
FXR1	16_1	I	1_0,16_1,16_2,11_0,12_0	1_0,12_0	gorilla_gorilla,homo_sapiens,sus_scrofa,mus_musculus	gorilla_gorilla,homo_sapiens,xenopus_tropicalis,mus_musculus	[2.4231670661201225e-05, 0.0011281915380411576, 4.966712190459916e-05, 0.0004273335455733105]	[1.6326912125328656e-07, 6.598757268552131e-06, 1.9923787527948093e-07, 2.53922784943433e-07]	ENSBTAT00000016666,ENSBTAT00000075091,ENSBTAT00000077507,ENSDART00000104478,ENST00000357559,ENST00000445140,ENSGGOT00000049450,ENSGGOT00000055761,ENSGGOT00000060124,ENSMMUT00000016950,ENSMMUT00000045729,ENSMMUT00000045731,ENSMUST00000200392,ENSRNOT00000088442,ENSSSCT00000012881,ENSSSCT00000027021,ENSSSCT00000027605,ENSSSCT00000053011,ENSSSCT00000056528,ENSXETT00000042145,ENSXETT00000042154	ENST00000491062,ENSGGOT00000010001,ENSMMUT00000016949
FXR1	16_1	I	1_0,16_1,16_2,11_0	1_0,11_0	gorilla_gorilla,homo_sapiens,sus_scrofa,mus_musculus	homo_sapiens,xenopus_tropicalis	[2.162554004960052e-05, 0.0010891889446501054, 5.037956248315848e-05, 0.00041446581669619227]	[1.606733695424482e-06, 1.3825143766740304e-06]	ENSBTAT00000016666,ENSBTAT00000075091,ENSBTAT00000077507,ENSDART00000104478,ENST00000357559,ENST00000445140,ENSGGOT00000049450,ENSGGOT00000055761,ENSGGOT00000060124,ENSMMUT00000016950,ENSMMUT00000045729,ENSMMUT00000045731,ENSMUST00000200392,ENSRNOT00000088442,ENSSSCT00000012881,ENSSSCT00000027021,ENSSSCT00000027605,ENSSSCT00000053011,ENSSSCT00000056528,ENSXETT00000042145,ENSXETT00000042154	
