Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000015527	ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	ENSBTAE00000425410_SE_0	18_0	17331131	17331225	19	17331226	17433736	1	1	6	0	3.0	2	SRR594476,SRR594478	3,3	0,0						
bos_taurus	ENSBTAG00000015527	ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	ENSBTAE00000425410_SE_0	18_0	17331131	17331225	19	17331226	17433736	1	1	6	0	3.0	2	SRR594476,SRR594478	3,3	0,0						
bos_taurus	ENSBTAG00000015527	ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	ENSBTAE00000425410_SE_0	18_0	17331131	17331225	19	17331226	17433767	1	1	1796	51	57.935483870967744	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	53,591,16,396,33,302,29,7,19,2,38,2,31,4,40,2,4,3,4,48,3,23,2,40,3,5,5,15,45,23,8	2,21,0,14,3,2,0,0,2,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0	ENSBTAT00000020634	ENSBTAE00000426684	ENSBTAE00000426684_SE_1	2_0	17433768	17433768
bos_taurus	ENSBTAG00000015527	ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	ENSBTAE00000425410_SE_0	18_0	17331131	17331225	19	17331226	17433767	1	1	1796	51	57.935483870967744	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	53,591,16,396,33,302,29,7,19,2,38,2,31,4,40,2,4,3,4,48,3,23,2,40,3,5,5,15,45,23,8	2,21,0,14,3,2,0,0,2,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0	ENSBTAT00000077630	ENSBTAE00000426684	ENSBTAE00000426684_SE_1	2_0	17433768	17433768
bos_taurus	ENSBTAG00000015527	ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	ENSBTAE00000425410_SE_0	18_0	17331131	17331225	19	17331226	17433767	1	1	1796	51	57.935483870967744	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	53,591,16,396,33,302,29,7,19,2,38,2,31,4,40,2,4,3,4,48,3,23,2,40,3,5,5,15,45,23,8	2,21,0,14,3,2,0,0,2,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0	ENSBTAT00000020634	ENSBTAE00000426684	ENSBTAE00000426684_SE_1	2_0	17433768	17433768
bos_taurus	ENSBTAG00000015527	ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	ENSBTAE00000425410_SE_0	18_0	17331131	17331225	19	17331226	17433767	1	1	1796	51	57.935483870967744	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	53,591,16,396,33,302,29,7,19,2,38,2,31,4,40,2,4,3,4,48,3,23,2,40,3,5,5,15,45,23,8	2,21,0,14,3,2,0,0,2,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0	ENSBTAT00000077630	ENSBTAE00000426684	ENSBTAE00000426684_SE_1	2_0	17433768	17433768
bos_taurus	ENSBTAG00000015527	ENSBTAT00000020634	ENSBTAE00000426684	ENSBTAE00000426684_SE_1	2_2	17433937	17433976	19	17433977	17435076	1	1	1	0	1.0	1	SRR636935	1	0						
bos_taurus	ENSBTAG00000015527	ENSBTAT00000077630	ENSBTAE00000426684	ENSBTAE00000426684_SE_1	2_2	17433937	17433976	19	17433977	17435076	1	1	1	0	1.0	1	SRR636935	1	0						
bos_taurus	ENSBTAG00000015527	ENSBTAT00000020634	ENSBTAE00000426684	ENSBTAE00000426684_SE_1	2_2	17433937	17433976	19	17433977	17436506	1	1	1907	0	61.516129032258064	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	49,492,14,398,38,303,6,23,20,15,82,10,45,9,38,2,2,5,16,127,3,35,6,50,3,20,8,16,49,19,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000020634	ENSBTAE00000168721	ENSBTAE00000168721_SE_2	21_0	17436507	17436600
bos_taurus	ENSBTAG00000015527	ENSBTAT00000020634	ENSBTAE00000426684	ENSBTAE00000426684_SE_1	2_2	17433937	17433976	19	17433977	17436506	1	1	1907	0	61.516129032258064	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	49,492,14,398,38,303,6,23,20,15,82,10,45,9,38,2,2,5,16,127,3,35,6,50,3,20,8,16,49,19,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000077630	ENSBTAE00000168721	ENSBTAE00000168721_SE_2	21_0	17436507	17436600
