Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000507190	ENSBTAE00000507190_SE_0	0_1	50958102	50958104	10	50958105	51059103	1	1	869	0	28.032258064516128	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	47,142,84,231,29,99,35,18,11,2,4,3,28,17,2,10,1,3,5,18,1,23,4,1,3,3,4,8,18,8,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000061089	ENSBTAE00000234401	ENSBTAE00000234401_SE_1	9_0	51059104	51059118
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000507190	ENSBTAE00000507190_SE_0	0_1	50958102	50958104	10	50958105	51072391	1	1	3	0	3.0	1	SRR594474	3	0	ENSBTAT00000061089	ENSBTAE00000234403	ENSBTAE00000234403_SE_4	22_0	51072392	51072486
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000507190	ENSBTAE00000507190_SE_0	0_1	50958102	50958104	10	50958105	51072391	1	1	3	0	3.0	1	SRR594474	3	0	ENSBTAT00000076532	ENSBTAE00000234403	ENSBTAE00000234403_SE_4	22_0	51072392	51072486
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000234401	ENSBTAE00000234401_SE_2/ENSBTAE00000499157_SE_2	9_2	51059170	51059247	10	51059248	51069188	1	1	673	0	21.70967741935484	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000061089	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189	51069278
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000234401	ENSBTAE00000234401_SE_2/ENSBTAE00000499157_SE_2	9_2	51059170	51059247	10	51059248	51069188	1	1	673	0	21.70967741935484	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000076532	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189	51069278
bos_taurus	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAE00000499157	ENSBTAE00000234401_SE_2/ENSBTAE00000499157_SE_2	9_2	51059170	51059247	10	51059248	51069188	1	1	673	0	21.70967741935484	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000061089	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189	51069278
bos_taurus	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAE00000499157	ENSBTAE00000234401_SE_2/ENSBTAE00000499157_SE_2	9_2	51059170	51059247	10	51059248	51069188	1	1	673	0	21.70967741935484	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000076532	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189	51069278
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189	51069278	10	51069279	51069852	1	1	1	0	1.0	1	SRR594480	1	0						
bos_taurus	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189	51069278	10	51069279	51069852	1	1	1	0	1.0	1	SRR594480	1	0						
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189	51069278	10	51069279	51072391	1	1	820	0	24.84848484848485	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	18,67,70,181,14,120,37,58,17,10,29,11,22,7,12,3,9,4,5,17,6,13,5,24,2,1,2,3,3,8,24,11,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000061089	ENSBTAE00000234403	ENSBTAE00000234403_SE_4	22_0	51072392	51072486
