Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000001332	ENSBTAT00000029554	ENSBTAE00000529320	ENSBTAE00000529320_SE_32	2_0	22612934	22612755	19																	
bos_taurus	ENSBTAG00000001332	ENSBTAT00000084801	ENSBTAE00000491445	ENSBTAE00000491445_SE_34	31_0	22615059	22615009	19																	
bos_taurus	ENSBTAG00000001332							19												ENSBTAT00000084801	ENSBTAE00000532520	ENSBTAE00000381250_SE_0/ENSBTAE00000532520_SE_0	2_5	22597452	22597426
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00001286109	ENSDARE00001286109_SE_1	11_0	28303161	28303178	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00000716998	ENSDARE00000716998_SE_4/ENSDARE00001105357_SE_4	2_3	28321600	28321728	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000175860	ENSDARE00000716998	ENSDARE00000716998_SE_4/ENSDARE00001105357_SE_4	2_3	28321600	28321728	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000188550	ENSDARE00000716998	ENSDARE00000716998_SE_4/ENSDARE00001105357_SE_4	2_3	28321600	28321728	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00000716995	ENSDARE00000716995_SE_5	12_0	28322826	28322941	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000152777	ENSDARE00000716995	ENSDARE00000716995_SE_5	12_0	28322826	28322941	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000175860	ENSDARE00000716995	ENSDARE00000716995_SE_5	12_0	28322826	28322941	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000188550	ENSDARE00000716995	ENSDARE00000716995_SE_5	12_0	28322826	28322941	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00000642244	ENSDARE00000642244_SE_6	3_0	28326503	28326701	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000152777	ENSDARE00000642244	ENSDARE00000642244_SE_6	3_0	28326503	28326701	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000175860	ENSDARE00000642244	ENSDARE00000642244_SE_6	3_0	28326503	28326701	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000188550	ENSDARE00000642244	ENSDARE00000642244_SE_6	3_0	28326503	28326701	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00000887689	ENSDARE00000887689_SE_7	27_0	28327142	28327222	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000152777	ENSDARE00000887689	ENSDARE00000887689_SE_7	27_0	28327142	28327222	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000175860	ENSDARE00000887689	ENSDARE00000887689_SE_7	27_0	28327142	28327222	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000188550	ENSDARE00000887689	ENSDARE00000887689_SE_7	27_0	28327142	28327222	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00000642211	ENSDARE00000642211_SE_8	1_0	28329291	28329470	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000152777	ENSDARE00000642211	ENSDARE00000642211_SE_8	1_0	28329291	28329470	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000175860	ENSDARE00000642211	ENSDARE00000642211_SE_8	1_0	28329291	28329470	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000188550	ENSDARE00000642211	ENSDARE00000642211_SE_8	1_0	28329291	28329470	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00000642199	ENSDARE00000642199_SE_9	1_2	28330793	28330891	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000152777	ENSDARE00000642199	ENSDARE00000642199_SE_9	1_2	28330793	28330891	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000175860	ENSDARE00000642199	ENSDARE00000642199_SE_9	1_2	28330793	28330891	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000188550	ENSDARE00000642199	ENSDARE00000642199_SE_9	1_2	28330793	28330891	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000087926	ENSDARE00000642184	ENSDARE00000642184_SE_10	5_0	28331519	28331632	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000152777	ENSDARE00000642184	ENSDARE00000642184_SE_10	5_0	28331519	28331632	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000175860	ENSDARE00000642184	ENSDARE00000642184_SE_10	5_0	28331519	28331632	15																	
danio_rerio	ENSDARG00000061579	ENSDART00000188550	ENSDARE00000642184	ENSDARE00000642184_SE_10	5_0	28331519	28331632	15																	
