Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000450321	ENSBTAE00000450321_SE_0	3_0	95970070.0	95970480.0	5	95970481.0	95980889.0	1.0	1.0	3.0	0.0	3.0	1.0	SRR594481	3	0							3.660281334347752e-08	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000450321	ENSBTAE00000450321_SE_0	3_0	95970070.0	95970480.0	5	95970481.0	95985537.0	1.0	1.0	8.0	0.0	4.0	2.0	SRR594473,SRR594481	3,5	0,0							1.0116638686313308e-07	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000450321	ENSBTAE00000450321_SE_0	3_0	95970070.0	95970480.0	5	95970481.0	95989748.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594481	1	0							1.2200937781159173e-08	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000450321	ENSBTAE00000450321_SE_0	3_0	95970070.0	95970480.0	5	95970481.0	96027911.0	1.0	1.0	2.0	0.0	2.0	1.0	SRR594481	2	0							2.4401875562318345e-08	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000450321	ENSBTAE00000450321_SE_0	3_0	95970070.0	95970480.0	5	95970481.0	96031197.0	1.0	1.0	11.0	0.0	5.5	2.0	SRR594481,SRR594490	6,5	0,0							3.35599540827468e-07	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000450321	ENSBTAE00000450321_SE_0	3_0	95970070.0	95970480.0	5	95970481.0	96092138.0	1.0	1.0	93.0	0.0	13.285714285714285	7.0	SRR594473,SRR594481,SRR594490,SRR594491,SRR594499,SRR636934,SRR636935	41,38,3,4,1,3,3	0,0,0,0,0,0,0	ENSBTAT00000000263	ENSBTAE00000002042	ENSBTAE00000002042_SE_1	2_0	96092139.0	96092737.0	1.9618569792565507e-06	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000002042	ENSBTAE00000002042_SE_1	2_0	96092139.0	96092737.0	5	96092738.0	96162148.0	1.0	1.0	4.0	0.0	4.0	1.0	SRR594481	4	0							4.880375112463669e-08	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000002042	ENSBTAE00000002042_SE_1	2_0	96092139.0	96092737.0	5	96092738.0	96182826.0	1.0	1.0	123.0	3.0	13.666666666666664	9.0	SRR594473,SRR594480,SRR594481,SRR594482,SRR594490,SRR594491,SRR594499,SRR636934,SRR636935	44,2,64,3,1,2,2,1,4	0,0,0,0,0,3,0,0,0	ENSBTAT00000000263	ENSBTAE00000002044	ENSBTAE00000002044_SE_2	13_0	96182827.0	96182941.0	2.379361912150967e-06	1.9993342217041725e-07
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000002044	ENSBTAE00000002044_SE_2	13_0	96182827.0	96182941.0	5	96182942.0	96197985.0	1.0	1.0	2.0	0.0	2.0	1.0	SRR594481	2	0							2.4401875562318345e-08	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000002044	ENSBTAE00000002044_SE_2	13_0	96182827.0	96182941.0	5	96182942.0	96250377.0	1.0	1.0	150.0	0.0	15.0	10.0	SRR594473,SRR594476,SRR594481,SRR594482,SRR594490,SRR594491,SRR594494,SRR594499,SRR636934,SRR636935	56,4,66,2,1,10,2,7,1,1	0,0,0,0,0,0,0,0,0,0	ENSBTAT00000000263	ENSBTAE00000002045	ENSBTAE00000002045_SE_3	6_0	96250378.0	96250580.0	3.3286757964072364e-06	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000002045	ENSBTAE00000002045_SE_3	6_0	96250378.0	96250580.0	5	96250581.0	96251294.0	1.0	1.0	91.0	1.0	10.111111111111107	9.0	SRR594473,SRR594481,SRR594482,SRR594490,SRR594491,SRR594499,SRR636890,SRR636934,SRR636935	37,23,2,12,3,8,1,1,4	1,0,0,0,0,0,0,0,0	ENSBTAT00000000263	ENSBTAE00000002047	ENSBTAE00000002047_SE_4	8_0	96251295.0	96251466.0	2.8943756439251883e-06	1.338723265244574e-08
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000002047	ENSBTAE00000002047_SE_4	8_0	96251295.0	96251466.0	5	96251467.0	96252502.0	1.0	1.0	85.0	4.0	9.444444444444443	9.0	SRR594473,SRR594476,SRR594481,SRR594482,SRR594485,SRR594490,SRR594491,SRR636934,SRR636935	43,1,21,4,2,3,4,2,5	3,0,0,0,0,0,1,0,0	ENSBTAT00000000263	ENSBTAE00000483291	ENSBTAE00000483291_SE_5	10_0	96252503.0	96252562.0	2.232544133012309e-06	1.0680617201414296e-07
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000483291	ENSBTAE00000483291_SE_5	10_1	96252563.0	96252656.0	5	96252657.0	96257719.0	1.0	1.0	94.0	0.0	10.444444444444443	9.0	SRR594473,SRR594481,SRR594482,SRR594485,SRR594490,SRR594491,SRR594499,SRR636934,SRR636935	51,27,1,1,3,3,3,2,3	0,0,0,0,0,0,0,0,0	ENSBTAT00000000263	ENSBTAE00000002050	ENSBTAE00000002050_SE_6	11_0	96257720.0	96257845.0	2.1373503095233305e-06	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000002050	ENSBTAE00000002050_SE_6	11_0	96257720.0	96257845.0	5	96257846.0	96260463.0	1.0	1.0	101.0	0.0	12.625	8.0	SRR594473,SRR594481,SRR594482,SRR594490,SRR594491,SRR594499,SRR636934,SRR636935	51,30,1,6,3,4,2,4	0,0,0,0,0,0,0,0	ENSBTAT00000000263	ENSBTAE00000002051	ENSBTAE00000002051_SE_7	4_0	96260464.0	96260693.0	2.4499610961541805e-06	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000002051	ENSBTAE00000002051_SE_7	4_0	96260464.0	96260693.0	5	96260694.0	96288664.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594481	1	0							1.2200937781159173e-08	0.0
bos_taurus	ENSBTAG00000000219	ENSBTAT00000000263	ENSBTAE00000002051	ENSBTAE00000002051_SE_7	4_0	96260464.0	96260693.0	5	96260694.0	96294992.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594473	1	0							1.338723265244574e-08	0.0
