Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000044035	ENSBTAT00000061410	ENSBTAE00000435229	ENSBTAE00000435229_SE_0	1_0	38073091	38070323	7																	
bos_taurus	ENSBTAG00000044035							7												ENSBTAT00000061410	ENSBTAE00000435229	ENSBTAE00000435229_SE_0	1_0	38073091	38070323
gorilla_gorilla	ENSGGOG00000024915	ENSGGOT00000030071	ENSGGOE00000189606	ENSGGOE00000189606_SE_0	1_0	160691161	160688183	5																	
gorilla_gorilla	ENSGGOG00000024915							5												ENSGGOT00000030071	ENSGGOE00000189606	ENSGGOE00000189606_SE_0	1_0	160691161	160688183
macaca_mulatta	ENSMMUG00000013284	ENSMMUT00000018649	ENSMMUE00000128553	ENSMMUE00000128553_SE_0	1_0	175066331	175063290	6																	
macaca_mulatta	ENSMMUG00000013284							6												ENSMMUT00000018649	ENSMMUE00000128553	ENSMMUE00000128553_SE_0	1_0	175066331	175063290
monodelphis_domestica	ENSMODG00000005102	ENSMODT00000006412	ENSMODE00000054313	ENSMODE00000054313_SE_1	2_0	381853419	381852406	1																	
monodelphis_domestica	ENSMODG00000005102	ENSMODT00000006412	ENSMODE00000054318	ENSMODE00000054318_SE_0	1_0	381851907	381851050	1																	
monodelphis_domestica	ENSMODG00000005102							1												ENSMODT00000006412	ENSMODE00000054313	ENSMODE00000054313_SE_1	2_0	381853419	381852406
monodelphis_domestica	ENSMODG00000005102							1												ENSMODT00000006412	ENSMODE00000054318	ENSMODE00000054318_SE_0	1_0	381851907	381851050
sus_scrofa	ENSSSCG00000014054	ENSSSCT00000015353	ENSSSCE00000122667	ENSSSCE00000122667_SE_0	1_0	81315368	81318382	2																	
sus_scrofa	ENSSSCG00000014054							2												ENSSSCT00000015353	ENSSSCE00000122667	ENSSSCE00000122667_SE_0	1_0	81315368	81318382
sus_scrofa									81316037	81316417	1	1	2	0	2.0	1	SRR636974	2	0						
gorilla_gorilla									160690856	160691008	2	4	3	0	1.0	3	SRR306800,SRR306801,SRR649365	1,1,1	0,0,0						
homo_sapiens									176599056	176599151	2	2	0	4	0.0	1	SRR649361	0	4						
homo_sapiens									176599529	176599681	2	4	9	0	1.2857142857142858	7	ERR030903,SRR1721308,SRR306838,SRR306844,SRR306845,SRR306846,SRR649361	1,1,2,2,1,1,1	0,0,0,0,0,0,0						
mus_musculus									54737152	54737191	2	2	1	0	1.0	1	SRR652247	1	0						
mus_musculus									54737208	54737341	2	4	3	0	1.5	2	ERR032233,SRR649371	2,1	0,0						
mus_musculus									54738222	54749460	2	4	0	1	0.0	1	SRR496224	0	1						
mus_musculus									54738261	54748733	2	2	0	2	0.0	2	SRR306759,SRR306762	0,0	1,1						
mus_musculus									54738990	54740120	2	4	27	0	13.5	2	SRR579545,SRR579546	12,15	0,0						
