TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000015730	ENSBTAE00000127886	1_1	ENSBTAT00000015730	ENSBTAE00000127896	10_0	bos_taurus	32	GSE43013						5.3642520237177185e-08																													0.0														7.360288468924702e-08												
ENSBTAT00000015730	ENSBTAE00000127886	1_1	ENSBTAT00000015730	ENSBTAE00000127896	10_0	bos_taurus	32	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000015730	ENSBTAE00000127896	10_0	ENSBTAT00000015730	ENSBTAE00000127908	9_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015730	ENSBTAE00000127896	10_0	ENSBTAT00000015730	ENSBTAE00000127908	9_0	bos_taurus	33	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000015730	ENSBTAE00000127896	10_0	ENSBTAT00000015730	ENSBTAE00000127921	8_0	bos_taurus	1	GSE41637																																				0.0																									
ENSBTAT00000015730	ENSBTAE00000127908	9_0	ENSBTAT00000015730	ENSBTAE00000127921	8_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015730	ENSBTAE00000127908	9_0	ENSBTAT00000015730	ENSBTAE00000127921	8_0	bos_taurus	33	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000015730	ENSBTAE00000127921	8_2	ENSBTAT00000015730	ENSBTAE00000404092	6_0	bos_taurus	31	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015730	ENSBTAE00000127921	8_2	ENSBTAT00000015730	ENSBTAE00000404092	6_0	bos_taurus	31	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	2.151992686909076e-08				0.0				
ENSBTAT00000015730	ENSBTAE00000404092	6_0	ENSBTAT00000015730	ENSBTAE00000428504	4_0	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015730	ENSBTAE00000404092	6_0	ENSBTAT00000015730	ENSBTAE00000428504	4_0	bos_taurus	32	GSE41637						0.0						0.0				0.0													0.0						0.0	4.404275804841325e-09																0.0	0.0				0.0				
ENSBTAT00000015730	ENSBTAE00000404092	6_0				bos_taurus	18	GSE43013																																			0.0														0.0												
ENSBTAT00000015730	ENSBTAE00000404092	6_0				bos_taurus	18	GSE41637						0.0						0.0				0.0													0.0						0.0	6.606413707261987e-09																0.0	0.0				0.0				
ENSBTAT00000015730	ENSBTAE00000404092	6_0	ENSBTAT00000015730	ENSBTAE00000479374	3_0	bos_taurus	7	GSE41637																0.0													0.0							0.0																	0.0								
ENSBTAT00000015730	ENSBTAE00000404092	6_0	ENSBTAT00000015730	ENSBTAE00000474907	7_0	bos_taurus	1	GSE41637																																																					0.0								
ENSBTAT00000015730	ENSBTAE00000428504	4_1				bos_taurus	1	GSE41637																																																									0.0				
ENSBTAT00000015730	ENSBTAE00000428504	4_1	ENSBTAT00000015730	ENSBTAE00000479374	3_0	bos_taurus	33	GSE43013						0.0																													0.0														4.801675900129367e-08												
ENSBTAT00000015730	ENSBTAE00000428504	4_1	ENSBTAT00000015730	ENSBTAE00000479374	3_0	bos_taurus	33	GSE41637						3.870408385521533e-09						1.3508789497411718e-07				0.0													0.0						0.0	2.8406949126585207e-08																0.0	0.0				4.539734493443893e-08				
ENSBTAT00000015730	ENSBTAE00000479374	3_3	ENSBTAT00000015730	ENSBTAE00000127939	11_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015730	ENSBTAE00000479374	3_3	ENSBTAT00000015730	ENSBTAE00000127939	11_0	bos_taurus	33	GSE41637						0.0						0.0				0.0													0.0						0.0	4.404275804841325e-09																0.0	0.0				0.0				
ENSBTAT00000015730	ENSBTAE00000127939	11_0	ENSBTAT00000015730	ENSBTAE00000127943	5_0	bos_taurus	33	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000015730	ENSBTAE00000127939	11_0	ENSBTAT00000015730	ENSBTAE00000127943	5_0	bos_taurus	33	GSE41637						0.0						0.0				7.644469192139377e-09													0.0						0.0	4.404275804841325e-09																0.0	3.8735868364363366e-08				0.0				
ENSBTAT00000015730	ENSBTAE00000127943	5_0				bos_taurus	2	GSE41637																																																				0.0	0.0								
ENSBTAT00000015730	ENSBTAE00000127943	5_0				bos_taurus	1	GSE41637																																																					0.0								
ENSBTAT00000015730	ENSBTAE00000127943	5_0	ENSBTAT00000015730	ENSBTAE00000474907	7_0	bos_taurus	33	GSE43013						0.0																													0.0														5.1172251375906704e-08												
ENSBTAT00000015730	ENSBTAE00000127943	5_0	ENSBTAT00000015730	ENSBTAE00000474907	7_0	bos_taurus	33	GSE41637						0.0						2.6677235569750495e-08				0.0													0.0						0.0	4.328378432989458e-08																0.0	7.747173672872673e-08				0.0				
ENSBTAT00000015730	ENSBTAE00000474907	7_0	ENSBTAT00000015730	ENSBTAE00000354577	2_0	bos_taurus	33	GSE43013						2.6821260118588592e-08																													7.704719520064476e-08														4.801675900129367e-08												
ENSBTAT00000015730	ENSBTAE00000474907	7_0	ENSBTAT00000015730	ENSBTAE00000354577	2_0	bos_taurus	33	GSE41637						6.00515362338513e-08						2.659986592934708e-07				2.6755642172487817e-08													5.6782001956721804e-08						8.448787600035493e-09	1.6554890628891426e-07																7.691576105088158e-08	4.221006378197467e-07				5.532075152066702e-08				
			ENSBTAT00000015730	ENSBTAE00000404092	6_0	bos_taurus	1	GSE41637																																																									0.0				
			ENSBTAT00000015730	ENSBTAE00000479374	3_0	bos_taurus	3	GSE41637						0.0						0.0																																													0.0				
			ENSBTAT00000015730	ENSBTAE00000479374	3_0	bos_taurus	24	GSE43013						0.0																													0.0														0.0												
			ENSBTAT00000015730	ENSBTAE00000479374	3_0	bos_taurus	24	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
			ENSBTAT00000015730	ENSBTAE00000479374	3_0	bos_taurus	2	GSE41637																																			0.0																		0.0								
			ENSBTAT00000015730	ENSBTAE00000127939	11_0	bos_taurus	1	GSE41637																																																					0.0								
			ENSBTAT00000015730	ENSBTAE00000474907	7_0	bos_taurus	1	GSE41637																																																				0.0									
			ENSBTAT00000015730	ENSBTAE00000474907	7_0	bos_taurus	1	GSE41637																0.0																																													
			ENSBTAT00000015730	ENSBTAE00000474907	7_0	bos_taurus	1	GSE41637																																				0.0																									
			ENSBTAT00000015730	ENSBTAE00000354577	2_0	bos_taurus	2	GSE41637						0.0																																																			0.0				
			ENSBTAT00000015730	ENSBTAE00000354577	2_0	bos_taurus	1	GSE41637																																			0.0																										
						bos_taurus	1	GSE41637																0.0																																													
						macaca_mulatta	76	GSE30352						0.0						0.0		0.0															0.0						0.0														0.0								0.0				
						macaca_mulatta	76	GSE43520												0.0																																													0.0				
						macaca_mulatta	76	GSE41637						4.364259154526738e-09						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
						macaca_mulatta	76	GSE53690		0.0																																											0.0						0.0										
						macaca_mulatta	2	GSE41637												0.0				0.0																																													
						macaca_mulatta	10	GSE30352						0.0																																																							
						macaca_mulatta	10	GSE43520												0.0																																																	
						macaca_mulatta	10	GSE41637						0.0						0.0				0.0																			0.0	0.0																									
						macaca_mulatta	10	GSE53690																																													0.0																
						macaca_mulatta	12	GSE30352						0.0																																																							
						macaca_mulatta	12	GSE43520												0.0																																																	
						macaca_mulatta	12	GSE41637						0.0										0.0													0.0						0.0	0.0																0.0									
						macaca_mulatta	12	GSE53690																																																			0.0										
						macaca_mulatta	2	GSE41637						0.0																														0.0																									
						macaca_mulatta	2	GSE53690																																																			0.0										
						macaca_mulatta	2	GSE41637						0.0																																																							
						macaca_mulatta	1	GSE41637						0.0																																																							
						macaca_mulatta	14	GSE30352												0.0		0.0																																			0.0												
						macaca_mulatta	14	GSE43520												0.0																																																	
						macaca_mulatta	14	GSE41637						0.0						0.0				0.0													0.0							0.0																0.0									
						macaca_mulatta	14	GSE53690																																													0.0																
						macaca_mulatta	1	GSE41637																																				0.0																									
						macaca_mulatta	78	GSE30352						4.947477578031616e-08						4.8683159482525276e-08		0.0															0.0						0.0														0.0								0.0				
						macaca_mulatta	78	GSE43520												5.048995706788461e-08																																													0.0				
						macaca_mulatta	78	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
						macaca_mulatta	78	GSE53690		0.0																																											1.1611440242587387e-08						0.0										
						macaca_mulatta	1	GSE53690																																													0.0																
						macaca_mulatta	12	GSE30352																																																	0.0												
						macaca_mulatta	12	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0									
						macaca_mulatta	12	GSE53690																																													0.0																
						macaca_mulatta	2	GSE41637																0.0													0.0																																
						macaca_mulatta	7	GSE41637						0.0						0.0				0.0													0.0							0.0																0.0									
						macaca_mulatta	1	GSE30352												0.0																																																	
						macaca_mulatta	2	GSE41637																0.0																				0.0																									
						macaca_mulatta	1	GSE41637																																																									0.0				
						macaca_mulatta	10	GSE30352														0.0																																															
						macaca_mulatta	10	GSE43520												0.0																																																	
						macaca_mulatta	10	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																	0.0				0.0				
						macaca_mulatta	2	GSE41637																																				0.0																0.0									
						macaca_mulatta	79	GSE30352						0.0						0.0		0.0															0.0						0.0														0.0												
						macaca_mulatta	79	GSE43520												0.0																																													0.0				
						macaca_mulatta	79	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
						macaca_mulatta	79	GSE53690		0.0																																											0.0						0.0										
