Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000507190	50958102	50958104	1	1	3	50958102	50958104	0	0	50958105	51059103	1	1	869	0	28.032258064516128	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	47,142,84,231,29,99,35,18,11,2,4,3,28,17,2,10,1,3,5,18,1,23,4,1,3,3,4,8,18,8,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000234401	51059104	51059247	2	4	147	51059104	51059247	0	0	10
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000507190	50958102	50958104	1	1	3	50958102	50958104	0	0	50958105	51072391	1	1	3	0	3.0	1	SRR594474	3	0	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000234403	51072392	51072486	4	238	332	51072392	51072486	0	2	10
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000507190	50958102	50958104	1	1	3	50958102	50958104	0	0	50958105	51072391	1	1	3	0	3.0	1	SRR594474	3	0	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAP00000072619	1	ENSBTAE00000234403	51072392	51072486	3	388	482	51072392	51072486	0	2	10
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000234401	51059104	51059247	2	4	147	51059104	51059247	0	0	51059248	51069188	1	1	673	0	21.70967741935484	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000234402	51069189	51069278	3	148	237	51069189	51069278	0	0	10
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000234401	51059104	51059247	2	4	147	51059104	51059247	0	0	51059248	51069188	1	1	673	0	21.70967741935484	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAP00000072619	1	ENSBTAE00000234402	51069189	51069278	2	298	387	51069189	51069278	0	0	10
bos_taurus	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAP00000072619	1	ENSBTAE00000499157	51058951	51059247	1	220	297	51059170	51059247	-1	0	51059248	51069188	1	1	673	0	21.70967741935484	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000234402	51069189	51069278	3	148	237	51069189	51069278	0	0	10
bos_taurus	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAP00000072619	1	ENSBTAE00000499157	51058951	51059247	1	220	297	51059170	51059247	-1	0	51059248	51069188	1	1	673	0	21.70967741935484	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAP00000072619	1	ENSBTAE00000234402	51069189	51069278	2	298	387	51069189	51069278	0	0	10
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000234402	51069189	51069278	3	148	237	51069189	51069278	0	0	51069279	51069852	1	1	1	0	1.0	1	SRR594480	1	0															10
bos_taurus	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAP00000072619	1	ENSBTAE00000234402	51069189	51069278	2	298	387	51069189	51069278	0	0	51069279	51069852	1	1	1	0	1.0	1	SRR594480	1	0															10
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000234402	51069189	51069278	3	148	237	51069189	51069278	0	0	51069279	51072391	1	1	820	0	24.848484848484848	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	18,67,70,181,14,120,37,58,17,10,29,11,22,7,12,3,9,4,5,17,6,13,5,24,2,1,2,3,3,8,24,11,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAP00000053355	1	ENSBTAE00000234403	51072392	51072486	4	238	332	51072392	51072486	0	2	10
