Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000020087	ENSBTAT00000026762	ENSBTAE00000277201/ENSBTAE00000528278	ENSBTAE00000277201_SE_26/ENSBTAE00000490702_SE_26	20_0	61640007.0	61639946.0	7																		0.0	0.0
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAE00000277201/ENSBTAE00000528278	ENSBTAE00000277201_SE_26/ENSBTAE00000490702_SE_26	20_0	61640007.0	61639946.0	7																		0.0	0.0
bos_taurus	ENSBTAG00000020087	ENSBTAT00000066579	ENSBTAE00000490702	ENSBTAE00000277201_SE_26/ENSBTAE00000490702_SE_26	20_0	61640007.0	61639946.0	7																		0.0	0.0
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073457	ENSBTAE00000515345	ENSBTAE00000515345_SE_25	1_0	61627377.0	61627353.0	7																		0.0	0.0
bos_taurus	ENSBTAG00000020087	ENSBTAT00000086523	ENSBTAE00000515345	ENSBTAE00000515345_SE_25	1_0	61627377.0	61627353.0	7																		0.0	0.0
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073457	ENSBTAE00000502818	ENSBTAE00000466282_SE_23/ENSBTAE00000502818_SE_23	13_1	61624060.0	61623971.0	7																		0.0	0.0
bos_taurus	ENSBTAG00000020087	ENSBTAT00000086523	ENSBTAE00000502818	ENSBTAE00000466282_SE_23/ENSBTAE00000502818_SE_23	13_1	61624060.0	61623971.0	7																		0.0	0.0
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000026762	ENSBTAE00000316173/ENSBTAE00000538239	ENSBTAE00000316173_SE_0	0_1	61577518.0	61577515.0	0.0	0.0
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000073084	ENSBTAE00000316173/ENSBTAE00000538239	ENSBTAE00000316173_SE_0	0_2	61577518.0	61577515.0	0.0	0.0
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000066579	ENSBTAE00000518852	ENSBTAE00000518852_SE_13	19_1	61602025.0	61602001.0	0.0	0.0
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000073457	ENSBTAE00000515345	ENSBTAE00000515345_SE_25	1_0	61627377.0	61627353.0	0.0	0.0
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000086523	ENSBTAE00000515345	ENSBTAE00000515345_SE_25	1_0	61627377.0	61627353.0	0.0	0.0
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000977178	ENSDARE00000977178_SE_16	20_0	43952843.0	43952782.0	21																		0.0	0.0
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000948113	ENSDARE00000948113_SE_14	21_0	43931824.0	43931765.0	21																		0.0	0.0
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000976853	ENSDARE00000976853_SE_13	23_0	43931180.0	43931126.0	21																		0.0	0.0
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000713921	ENSDARE00000713921_SE_12	19_0	43929133.0	43929068.0	21																		0.0	0.0
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000895490	ENSDARE00000895490_SE_11	18_0	43926830.0	43926758.0	21																		0.0	0.0
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000713911	ENSDARE00000713911_SE_9	17_1	43923955.0	43923872.0	21																		0.0	0.0
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000890583	ENSDARE00000890583_SE_8	14_0	43920551.0	43920457.0	21																		0.0	0.0
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000541508	ENSDARE00000541508_SE_7	5_2	43920322.0	43920200.0	21																		0.0	0.0
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000541507	ENSDARE00000541507_SE_6	9_0	43916860.0	43916777.0	21																		0.0	0.0
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00001230833	ENSDARE00001230833_SE_5	15_0	43915687.0	43915645.0	21																		0.0	0.0
