Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000001523							24												ENSBTAT00000001995/ENSBTAT00000070883	ENSBTAE00000495670	ENSBTAE00000495670_SE_0	2_0	35595394.0	35595186.0	0.0	0.0
danio_rerio	ENSDARG00000005941	ENSDART00000027090/ENSDART00000178066	ENSDARE00001290328	ENSDARE00001290328_SE_0	1_2	31330890.0	31331169.0	2																		0.0	0.0
danio_rerio	ENSDARG00000005941	ENSDART00000027090/ENSDART00000178066	ENSDARE00000241935	ENSDARE00000241935_SE_1	8_0	31336807.0	31336906.0	2																		0.0	0.0
danio_rerio	ENSDARG00000005941	ENSDART00000027090/ENSDART00000178066	ENSDARE00000268241	ENSDARE00000268241_SE_2	10_0	31338452.0	31338550.0	2																		0.0	0.0
danio_rerio	ENSDARG00000005941	ENSDART00000027090/ENSDART00000178066	ENSDARE00000107327	ENSDARE00000107327_SE_3	9_0	31340619.0	31340722.0	2																		0.0	0.0
danio_rerio	ENSDARG00000005941	ENSDART00000027090/ENSDART00000178066	ENSDARE00000970407	ENSDARE00000970407_SE_4	6_0	31340803.0	31340952.0	2																		0.0	0.0
danio_rerio	ENSDARG00000005941	ENSDART00000027090/ENSDART00000178066	ENSDARE00000451804	ENSDARE00000451804_SE_5	5_1	31345262.0	31345271.0	2																		0.0	0.0
danio_rerio	ENSDARG00000005941	ENSDART00000027090/ENSDART00000178066	ENSDARE00000887419	ENSDARE00000887419_SE_6	3_0	31348353.0	31348532.0	2																		0.0	0.0
danio_rerio	ENSDARG00000005941	ENSDART00000027090/ENSDART00000178066	ENSDARE00000977550	ENSDARE00000977550_SE_7	12_0	31350470.0	31350546.0	2																		0.0	0.0
danio_rerio	ENSDARG00000005941	ENSDART00000027090/ENSDART00000178066	ENSDARE00000895986	ENSDARE00000895986_SE_8	4_0	31352858.0	31353011.0	2																		0.0	0.0
danio_rerio	ENSDARG00000005941	ENSDART00000027090/ENSDART00000178066	ENSDARE00000904966	ENSDARE00000904966_SE_9	7_0	31354960.0	31355091.0	2																		0.0	0.0
danio_rerio	ENSDARG00000005941							2												ENSDART00000027090/ENSDART00000178066	ENSDARE00000241935	ENSDARE00000241935_SE_1	8_0	31336807.0	31336906.0	0.0	0.0
