Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
danio_rerio	ENSDARG00000008434	ENSDART00000012507/ENSDART00000147617	ENSDARE00000277726	ENSDARE00000277726_SE_0	2_0	18954976	18954833	23																	
danio_rerio	ENSDARG00000008434							23												ENSDART00000012507/ENSDART00000147617	ENSDARE00000043240	ENSDARE00000043240_SE_1	1_5	18979281	18979267
gorilla_gorilla	ENSGGOG00000026245	ENSGGOT00000052875	ENSGGOE00000322988	ENSGGOE00000322988_SE_3	3_0	30375186	30375102	20																	
gorilla_gorilla	ENSGGOG00000026245							20												ENSGGOT00000052875	ENSGGOE00000358020	ENSGGOE00000215731_SE_0/ENSGGOE00000358020_SE_0	2_0	30318875	30318738
macaca_mulatta	ENSMMUG00000005985	ENSMMUT00000008370	ENSMMUE00000057934	ENSMMUE00000057934_SE_3/ENSMMUE00000421999_SE_3	1_5	32358268	32358282	10																	
macaca_mulatta	ENSMMUG00000005985	ENSMMUT00000070562	ENSMMUE00000385414	ENSMMUE00000385414_SE_1	3_0	32357804	32357888	10																	
macaca_mulatta	ENSMMUG00000005985	ENSMMUT00000070562	ENSMMUE00000421999	ENSMMUE00000057934_SE_3/ENSMMUE00000421999_SE_3	1_5	32358268	32358282	10																	
macaca_mulatta	ENSMMUG00000005985	ENSMMUT00000070562	ENSMMUE00000057935	ENSMMUE00000057935_SE_4/ENSMMUE00000409970_SE_4	2_0	32416095	32416232	10																	
macaca_mulatta	ENSMMUG00000005985							10												ENSMMUT00000008370	ENSMMUE00000409970	ENSMMUE00000057935_SE_4/ENSMMUE00000409970_SE_4	2_0	32416095	32416232
macaca_mulatta	ENSMMUG00000005985							10												ENSMMUT00000070562	ENSMMUE00000385414	ENSMMUE00000385414_SE_1	3_0	32357804	32357888
macaca_mulatta	ENSMMUG00000005985							10												ENSMMUT00000070562	ENSMMUE00000421999	ENSMMUE00000057934_SE_3/ENSMMUE00000421999_SE_3	1_2	32358068	32358069
macaca_mulatta	ENSMMUG00000005985							10												ENSMMUT00000070562	ENSMMUE00000057935	ENSMMUE00000057935_SE_4/ENSMMUE00000409970_SE_4	2_0	32416095	32416232
macaca_mulatta									32360456	32382532	1	1	1	0	1.0	1	SRR649368	1	0						
macaca_mulatta									32360456	32386327	1	1	260	1	10.4	25	SRR1051537,SRR1051539,SRR1051572,SRR1051637,SRR306777,SRR306778,SRR306779,SRR306780,SRR306781,SRR306782,SRR306787,SRR306788,SRR594446,SRR594450,SRR594453,SRR594455,SRR594457,SRR594458,SRR594459,SRR594460,SRR594462,SRR594463,SRR594464,SRR594471,SRR649368	1,1,3,1,6,1,33,6,11,1,1,3,12,1,1,131,1,2,6,1,5,4,1,2,25	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0						
macaca_mulatta									32369343	32377212	1	1	1	0	1.0	1	SRR306780	1	0						
macaca_mulatta									32370328	32380159	1	1	0	1	0.0	1	SRR306780	0	1						
macaca_mulatta									32375616	32375656	1	1	9	0	3.0	3	SRR306778,SRR306781,SRR649368	1,7,1	0,0,0						
macaca_mulatta									32376688	32376843	1	1	1	4	1.0	1	SRR306780	1	4						
macaca_mulatta									32376787	32376843	1	1	1	5	0.3333333333333333	3	SRR306778,SRR306780,SRR594459	0,0,1	1,4,0						
macaca_mulatta									32376886	32376986	1	1	1	0	1.0	1	SRR306780	1	0						
macaca_mulatta									32376901	32376986	1	1	2	0	2.0	1	SRR594455	2	0						
macaca_mulatta									32376961	32376986	1	1	1	0	1.0	1	SRR306780	1	0						
macaca_mulatta									32376987	32377298	1	1	1	0	1.0	1	SRR306781	1	0						
macaca_mulatta									32377146	32377212	1	1	1	0	1.0	1	SRR306780	1	0						
macaca_mulatta									32377175	32377589	1	1	1	0	1.0	1	SRR306781	1	0						
macaca_mulatta									32377282	32377307	1	1	1	0	1.0	1	SRR306780	1	0						
macaca_mulatta									32377371	32377472	1	1	0	2	0.0	2	SRR594455,SRR649368	0,0	1,1						
macaca_mulatta									32377371	32377538	1	1	0	17	0.0	5	SRR306780,SRR306781,SRR306787,SRR594455,SRR649368	0,0,0,0,0	1,1,1,11,3						
macaca_mulatta									32377371	32377643	1	1	0	1	0.0	1	SRR649368	0	1						
macaca_mulatta									32377371	32377769	1	1	0	1	0.0	1	SRR306780	0	1						
macaca_mulatta									32377419	32377472	1	1	0	2	0.0	2	SRR594455,SRR649368	0,0	1,1						
macaca_mulatta									32377419	32377538	1	1	0	21	0.0	4	SRR306781,SRR306787,SRR594455,SRR649368	0,0,0,0	1,1,16,3						
macaca_mulatta									32377419	32377643	1	1	0	1	0.0	1	SRR649368	0	1						
macaca_mulatta									32377467	32377538	1	1	5	21	1.25	4	SRR306781,SRR306787,SRR594455,SRR649368	0,0,5,0	1,1,16,3						
macaca_mulatta									32377467	32377643	1	1	0	1	0.0	1	SRR649368	0	1						
macaca_mulatta									32377533	32377604	1	1	1	0	1.0	1	SRR306780	1	0						
macaca_mulatta									32377584	32377643	1	1	0	1	0.0	1	SRR649368	0	1						
macaca_mulatta									32377584	32377769	1	1	0	2	0.0	2	SRR306780,SRR594455	0,0	1,1						
macaca_mulatta									32382722	32386327	1	1	1	0	1.0	1	SRR594455	1	0						
macaca_mulatta									32383123	32385298	1	1	1	0	1.0	1	SRR306789	1	0						
macaca_mulatta									32383176	32385200	1	1	1	0	1.0	1	SRR649369	1	0						
macaca_mulatta									32383176	32386327	1	1	5	0	1.6666666666666667	3	SRR1051577,SRR1051578,SRR1051662	1,3,1	0,0,0						
macaca_mulatta									32385457	32386327	1	1	1	0	1.0	1	SRR594463	1	0						
macaca_mulatta									32385858	32386327	1	1	2	0	2.0	1	SRR1051663	2	0						
macaca_mulatta									32386017	32386327	1	1	77	0	2.40625	32	SRR1051538,SRR1051539,SRR1051541,SRR1051542,SRR1051543,SRR1051544,SRR1051545,SRR1051551,SRR1051572,SRR1051573,SRR1051577,SRR1051578,SRR1051602,SRR1051628,SRR1051632,SRR1051637,SRR1051662,SRR306779,SRR306781,SRR306782,SRR306784,SRR594446,SRR594453,SRR594455,SRR594456,SRR594459,SRR594462,SRR594463,SRR594464,SRR594471,SRR649368,SRR649369	2,1,1,1,2,2,1,1,5,3,2,2,1,1,1,2,2,1,1,1,1,2,1,30,1,1,1,3,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0						
macaca_mulatta									32386017	32386525	1	1	3	0	1.5	2	SRR1051545,SRR1051572	1,2	0,0						
macaca_mulatta									32409484	32409822	1	1	2	0	1.0	2	SRR594463,SRR594472	1,1	0,0						
monodelphis_domestica	ENSMODG00000019490	ENSMODT00000024743	ENSMODE00000202460	ENSMODE00000202460_SE_0	1_5	401808501	401808518	1	401808519	401824909	1	1	0	1	0.0	1	SRR306750	0	1						
monodelphis_domestica	ENSMODG00000019490	ENSMODT00000024743	ENSMODE00000202460	ENSMODE00000202460_SE_0	1_5	401808501	401808518	1	401808519	401834588	1	1	66	0	4.125	16	SRR306743,SRR306744,SRR306749,SRR306750,SRR306751,SRR306752,SRR306755,SRR306756,SRR649376,SRR649377,SRR649378,SRR649379,SRR649380,SRR943346,SRR943347,SRR943348	2,1,1,1,1,2,1,9,2,12,9,7,3,5,7,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0						
monodelphis_domestica	ENSMODG00000019490	ENSMODT00000024743	ENSMODE00000202460	ENSMODE00000202460_SE_0	1_5	401808501	401808518	1	401808519	401842840	1	1	3	0	1.0	3	SRR306749,SRR306754,SRR649377	1,1,1	0,0,0						
monodelphis_domestica	ENSMODG00000019490	ENSMODT00000024743	ENSMODE00000202460	ENSMODE00000202460_SE_0	1_5	401808501	401808518	1	401808519	401848770	1	1	1365	5	59.34782608695652	23	SRR306742,SRR306743,SRR306744,SRR306745,SRR306746,SRR306747,SRR306748,SRR306749,SRR306750,SRR306751,SRR306752,SRR306753,SRR306754,SRR306755,SRR306756,SRR649376,SRR649377,SRR649378,SRR649379,SRR649380,SRR943346,SRR943347,SRR943348	14,41,16,25,17,16,42,25,74,33,32,11,4,4,16,111,339,253,30,21,113,65,63	0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0	ENSMODT00000024743	ENSMODE00000238812	ENSMODE00000238812_SE_1	2_0	401848771	401848908
