Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAE00000255311	ENSBTAE00000255311_SE_0	4_1	55093078.0	55093254.0	18	55093255.0	55096655.0	1.0	1.0	102.0	0.0	11.33333333333333	9.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594481,SRR594490,SRR594491,SRR636934,SRR636935	16,1,13,5,60,2,1,2,2	0,0,0,0,0,0,0,0,0	ENSBTAT00000042550	ENSBTAE00000255310	ENSBTAE00000255310_SE_1	3_0	55096656.0	55097275.0	1.6075628061062284e-06	0.0
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAE00000255310	ENSBTAE00000255310_SE_1	3_0	55096656.0	55097275.0	18	55097276.0	55101155.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594481	1	0							1.2200937781159173e-08	0.0
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAE00000255310	ENSBTAE00000255310_SE_1	3_0	55096656.0	55097275.0	18	55097276.0	55101774.0	1.0	1.0	214.0	1.0	13.375	16.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594481,SRR594484,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594499,SRR636890,SRR636934,SRR636935	18,2,15,4,109,3,1,2,19,3,1,7,11,1,11,7	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000042550	ENSBTAE00000255309	ENSBTAE00000255309_SE_2	17_0	55101775.0	55101889.0	5.987996944917144e-06	1.2200937781159173e-08
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAE00000255309	ENSBTAE00000255309_SE_2	17_0	55101775.0	55101889.0	18	55101890.0	55102283.0	1.0	1.0	249.0	1.0	15.5625	16.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594481,SRR594484,SRR594485,SRR594488,SRR594489,SRR594490,SRR594491,SRR594493,SRR594499,SRR636890,SRR636934,SRR636935	16,5,27,2,135,4,2,1,1,25,2,5,11,1,11,1	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000042550	ENSBTAE00000255307	ENSBTAE00000255307_SE_3	11_0	55102284.0	55102495.0	6.036404222497023e-06	1.2200937781159173e-08
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAE00000255309	ENSBTAE00000255309_SE_2	17_0	55101775.0	55101889.0	18	55101890.0	55102355.0	1.0	1.0	4.0	0.0	2.0	2.0	SRR594481,SRR594490	2,2	0,0							1.2935944121852354e-07	0.0
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAE00000255307	ENSBTAE00000255307_SE_3	11_0	55102284.0	55102495.0	18	55102496.0	55102764.0	1.0	1.0	353.0	0.0	25.214285714285715	14.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594478,SRR594481,SRR594482,SRR594490,SRR594491,SRR594493,SRR594497,SRR594499,SRR636934,SRR636935	37,5,25,1,1,133,1,104,1,8,3,11,12,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000042550	ENSBTAE00000255306	ENSBTAE00000255306_SE_4	7_0	55102765.0	55102933.0	1.1167695478842612e-05	0.0
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAE00000255306	ENSBTAE00000255306_SE_4	7_0	55102765.0	55102933.0	18	55102934.0	55103486.0	1.0	1.0	377.0	0.0	23.5625	16.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594481,SRR594482,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594497,SRR594499,SRR636934,SRR636935	40,10,24,8,172,1,2,45,4,1,11,1,5,25,19,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000042550	ENSBTAE00000449826	ENSBTAE00000449826_SE_5	14_0	55103487.0	55103640.0	1.0783390516107663e-05	0.0
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAE00000449826	ENSBTAE00000449826_SE_5	14_0	55103487.0	55103640.0	18	55103641.0	55103728.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594481	1	0							1.2200937781159173e-08	0.0
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAE00000449826	ENSBTAE00000449826_SE_5	14_0	55103487.0	55103640.0	18	55103641.0	55106038.0	1.0	1.0	341.0	0.0	18.944444444444443	18.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594478,SRR594480,SRR594481,SRR594482,SRR594490,SRR594491,SRR594492,SRR594493,SRR594496,SRR594498,SRR594499,SRR636890,SRR636934,SRR636935	35,5,27,5,1,2,186,1,31,2,1,1,2,1,18,1,15,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000042550	ENSBTAE00000255304	ENSBTAE00000255304_SE_6	16_0	55106039.0	55106164.0	8.245801771211548e-06	0.0
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAE00000255304	ENSBTAE00000255304_SE_6	16_0	55106039.0	55106164.0	18	55106165.0	55106365.0	1.0	1.0	242.0	0.0	14.235294117647054	17.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594480,SRR594481,SRR594482,SRR594485,SRR594489,SRR594490,SRR594491,SRR594493,SRR594496,SRR594499,SRR636890,SRR636934,SRR636935	22,3,25,1,1,110,3,1,2,34,3,1,1,7,1,17,10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000042550	ENSBTAE00000255303	ENSBTAE00000255303_SE_7	9_0	55106366.0	55106595.0	6.897478488425247e-06	0.0
