Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000026266	ENSBTAT00000037254	ENSBTAE00000290896	ENSBTAE00000290896_SE_0	1_0	37428288.0	37428468.0	24.0	37428469.0	37431101.0	1.0	1.0	31.0	1.0	4.428571428571429	7.0	SRR594473,SRR594474,SRR594476,SRR594477,SRR594480,SRR594481,SRR594492	1,11,3,2,10,3,1	0,0,0,0,0,0,1							4.2767221701262626e-07	6.224882986205846e-08
bos_taurus	ENSBTAG00000026266	ENSBTAT00000037254	ENSBTAE00000290896	ENSBTAE00000290896_SE_0	1_0	37428288.0	37428468.0	24.0	37428469.0	37433115.0	1.0	1.0	5882.0	548.0	178.24242424242425	33.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	830,1113,85,782,255,325,72,724,510,90,72,3,52,16,25,11,30,38,107,107,37,25,32,51,1,44,51,34,33,99,109,89,30	79,148,2,50,18,21,0,12,109,1,3,0,5,3,0,1,1,3,2,16,0,0,0,0,1,3,1,4,3,18,27,11,6	ENSBTAT00000037254	ENSBTAE00000456974	ENSBTAE00000456974_SE_1	3_0	37433116.0	37433277.0	0.00013525293720083995	1.2547777009007104e-05
bos_taurus	ENSBTAG00000026266	ENSBTAT00000037254	ENSBTAE00000456974	ENSBTAE00000456974_SE_1	3_0	37433116.0	37433277.0	24.0	37433278.0	37434119.0	1.0	1.0	8701.0	6593.0	263.6666666666667	33.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	1178,1877,139,1114,416,474,69,1026,787,103,42,3,88,26,50,11,67,64,123,221,38,47,30,43,11,73,48,48,40,136,152,108,49	31,189,162,233,55,644,139,159,42,60,217,63,214,104,389,210,214,119,131,507,354,98,220,471,173,725,65,50,57,186,212,61,39	ENSBTAT00000037254	ENSBTAE00000407216	ENSBTAE00000407216_SE_2	2_0	37434120.0	37434292.0	0.0001929855834878918	0.00032337392568816307
bos_taurus	ENSBTAG00000026266	ENSBTAT00000037254	ENSBTAE00000456974	ENSBTAE00000456974_SE_1	3_0	37433116.0	37433277.0	24.0	37433278.0	37434130.0	1.0	1.0	0.0	1.0	0.0	1.0	SRR594496	0	1							0.0	5.0574388502539894e-08
bos_taurus	ENSBTAG00000026266							24.0	37417878.0	37433115.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594476	1	0	ENSBTAT00000037254	ENSBTAE00000456974	ENSBTAE00000456974_SE_1	3_0	37433116.0	37433277.0	1.1611225156564598e-08	0.0
bos_taurus	ENSBTAG00000026266							24.0	37432977.0	37433115.0	1.0	1.0	7.0	0.0	2.3333333333333326	3.0	SRR594476,SRR594478,SRR594480	1,5,1	0,0,0	ENSBTAT00000037254	ENSBTAE00000456974	ENSBTAE00000456974_SE_1	3_0	37433116.0	37433277.0	9.058731835063891e-08	0.0
bos_taurus									37418209.0	37425028.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594481	1	0							1.2200937781159173e-08	0.0
bos_taurus									37421639.0	37424919.0	1.0	1.0	3.0	0.0	1.0	3.0	SRR594476,SRR594477,SRR594480	1,1,1	0,0,0							3.7196362678072295e-08	0.0
bos_taurus									37431192.0	37433120.0	1.0	1.0	46.0	0.0	5.1111111111111125	9.0	SRR594473,SRR594474,SRR594476,SRR594477,SRR594480,SRR594481,SRR594486,SRR594495,SRR594496	1,18,8,2,12,2,1,1,1	0,0,0,0,0,0,0,0,0							6.779518927530423e-07	0.0
gorilla_gorilla	ENSGGOG00000004051							18.0												ENSGGOT00000004072/ENSGGOT00000011472/ENSGGOT00000058622	ENSGGOE00000041884	ENSGGOE00000041884_SE_0	2_0	11754382.0	11754210.0	0.0	0.0
