Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAP00000071965	-1	ENSBTAE00000538239	61574371	61577518	19	1734	1737	61577515	61577518	2	-1	61577519	61577763	2	2	10444	2	746.0	14	SRR594473,SRR594474,SRR594475,SRR594476,SRR594479,SRR594481,SRR594482,SRR594485,SRR594488,SRR594491,SRR594493,SRR594497,SRR636934,SRR636935	7721,1,37,3,1379,6,179,1,100,239,6,45,583,144	2,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAP00000071965	-1	ENSBTAE00000136645	61577764	61577992	18	1505	1733	61577764	61577992	1	2	7
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAP00000071965	-1	ENSBTAE00000538239	61574371	61577518	19	1734	1737	61577515	61577518	2	-1	61577519	61577763	2	2	10444	2	746.0	14	SRR594473,SRR594474,SRR594475,SRR594476,SRR594479,SRR594481,SRR594482,SRR594485,SRR594488,SRR594491,SRR594493,SRR594497,SRR636934,SRR636935	7721,1,37,3,1379,6,179,1,100,239,6,45,583,144	2,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000020087	ENSBTAT00000026762	ENSBTAP00000026762	-1	ENSBTAE00000136645	61577764	61577992	17	1266	1494	61577764	61577992	1	2	7
bos_taurus	ENSBTAG00000020087	ENSBTAT00000026762	ENSBTAP00000026762	-1	ENSBTAE00000316173	61576011	61577518	18	1495	1498	61577515	61577518	2	-1	61577519	61577763	2	2	10444	2	746.0	14	SRR594473,SRR594474,SRR594475,SRR594476,SRR594479,SRR594481,SRR594482,SRR594485,SRR594488,SRR594491,SRR594493,SRR594497,SRR636934,SRR636935	7721,1,37,3,1379,6,179,1,100,239,6,45,583,144	2,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAP00000071965	-1	ENSBTAE00000136645	61577764	61577992	18	1505	1733	61577764	61577992	1	2	7
bos_taurus	ENSBTAG00000020087	ENSBTAT00000026762	ENSBTAP00000026762	-1	ENSBTAE00000316173	61576011	61577518	18	1495	1498	61577515	61577518	2	-1	61577519	61577763	2	2	10444	2	746.0	14	SRR594473,SRR594474,SRR594475,SRR594476,SRR594479,SRR594481,SRR594482,SRR594485,SRR594488,SRR594491,SRR594493,SRR594497,SRR636934,SRR636935	7721,1,37,3,1379,6,179,1,100,239,6,45,583,144	2,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000020087	ENSBTAT00000026762	ENSBTAP00000026762	-1	ENSBTAE00000136645	61577764	61577992	17	1266	1494	61577764	61577992	1	2	7
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAP00000071965	-1	ENSBTAE00000136645	61577764	61577992	18	1505	1733	61577764	61577992	1	2	61577993	61581813	2	2	18954	0	861.5454545454545	22	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594485,SRR594487,SRR594488,SRR594490,SRR594491,SRR594493,SRR594497,SRR594499,SRR636840,SRR636934,SRR636935	10323,7,74,3,1,1,1272,2,5,3019,24,1,1,305,2,3080,18,105,1,1,535,174	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAP00000071965	-1	ENSBTAE00000217872	61581814	61581908	17	1410	1504	61581814	61581908	2	1	7
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAP00000071965	-1	ENSBTAE00000136645	61577764	61577992	18	1505	1733	61577764	61577992	1	2	61577993	61581813	2	2	18954	0	861.5454545454545	22	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594485,SRR594487,SRR594488,SRR594490,SRR594491,SRR594493,SRR594497,SRR594499,SRR636840,SRR636934,SRR636935	10323,7,74,3,1,1,1272,2,5,3019,24,1,1,305,2,3080,18,105,1,1,535,174	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000020087	ENSBTAT00000026762	ENSBTAP00000026762	-1	ENSBTAE00000217872	61581814	61581908	16	1171	1265	61581814	61581908	2	1	7
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAP00000071965	-1	ENSBTAE00000136645	61577764	61577992	18	1505	1733	61577764	61577992	1	2	61577993	61581813	2	2	18954	0	861.5454545454545	22	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594485,SRR594487,SRR594488,SRR594490,SRR594491,SRR594493,SRR594497,SRR594499,SRR636840,SRR636934,SRR636935	10323,7,74,3,1,1,1272,2,5,3019,24,1,1,305,2,3080,18,105,1,1,535,174	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000020087	ENSBTAT00000066579	ENSBTAP00000060808	-1	ENSBTAE00000217872	61581814	61581908	14	1089	1183	61581814	61581908	2	1	7
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAP00000071965	-1	ENSBTAE00000136645	61577764	61577992	18	1505	1733	61577764	61577992	1	2	61577993	61581813	2	2	18954	0	861.5454545454545	22	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594485,SRR594487,SRR594488,SRR594490,SRR594491,SRR594493,SRR594497,SRR594499,SRR636840,SRR636934,SRR636935	10323,7,74,3,1,1,1272,2,5,3019,24,1,1,305,2,3080,18,105,1,1,535,174	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000020087	ENSBTAT00000073457	ENSBTAP00000059828	-1	ENSBTAE00000217872	61581814	61581908	14	1059	1153	61581814	61581908	2	1	7
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAP00000071965	-1	ENSBTAE00000136645	61577764	61577992	18	1505	1733	61577764	61577992	1	2	61577993	61581813	2	2	18954	0	861.5454545454545	22	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594485,SRR594487,SRR594488,SRR594490,SRR594491,SRR594493,SRR594497,SRR594499,SRR636840,SRR636934,SRR636935	10323,7,74,3,1,1,1272,2,5,3019,24,1,1,305,2,3080,18,105,1,1,535,174	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000020087	ENSBTAT00000086523	ENSBTAP00000065878	-1	ENSBTAE00000217872	61581814	61581908	13	1005	1099	61581814	61581908	2	1	7
bos_taurus	ENSBTAG00000020087	ENSBTAT00000026762	ENSBTAP00000026762	-1	ENSBTAE00000136645	61577764	61577992	17	1266	1494	61577764	61577992	1	2	61577993	61581813	2	2	18954	0	861.5454545454545	22	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594485,SRR594487,SRR594488,SRR594490,SRR594491,SRR594493,SRR594497,SRR594499,SRR636840,SRR636934,SRR636935	10323,7,74,3,1,1,1272,2,5,3019,24,1,1,305,2,3080,18,105,1,1,535,174	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000020087	ENSBTAT00000073084	ENSBTAP00000071965	-1	ENSBTAE00000217872	61581814	61581908	17	1410	1504	61581814	61581908	2	1	7
