Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125691954	1	1	3	0	1.5	2	SRR594473,SRR594478	1,2	0,0	ENSBTAG00000011784	ENSBTAT00000015646	ENSBTAP00000015646	1	ENSBTAE00000318090	125691955	125692116	1					-1	-1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125696483	1	1	380	0	15.83333333333333	24	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594491,SRR594495,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934	18,24,6,10,46,124,4,46,3,1,1,1,31,2,21,3,1,26,1,1,1,2,4,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000318088	125696484	125696546	2					-1	-1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125696483	1	1	380	0	15.83333333333333	24	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594491,SRR594495,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934	18,24,6,10,46,124,4,46,3,1,1,1,31,2,21,3,1,26,1,1,1,2,4,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000011784	ENSBTAT00000015646	ENSBTAP00000015646	1	ENSBTAE00000318088	125696484	125696546	2					-1	-1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125696483	1	1	380	0	15.83333333333333	24	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594491,SRR594495,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934	18,24,6,10,46,124,4,46,3,1,1,1,31,2,21,3,1,26,1,1,1,2,4,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000011784	ENSBTAT00000078914	ENSBTAP00000069921	1	ENSBTAE00000318088	125696484	125696546	2					-1	-1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125696483	1	1	380	0	15.83333333333333	24	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594491,SRR594495,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934	18,24,6,10,46,124,4,46,3,1,1,1,31,2,21,3,1,26,1,1,1,2,4,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000011784	ENSBTAT00000076250	ENSBTAP00000072306	1	ENSBTAE00000318088	125696484	125696546	2					-1	-1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125698219	1	1	2	0	2.0	1	SRR594473	2	0	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000127115	125698220	125698322	4	598	700	125698220	125698322	1	2	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125698219	1	1	2	0	2.0	1	SRR594473	2	0	ENSBTAG00000011784	ENSBTAT00000015646	ENSBTAP00000015646	1	ENSBTAE00000127115	125698220	125698322	4	456	558	125698220	125698322	1	2	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125698219	1	1	2	0	2.0	1	SRR594473	2	0	ENSBTAG00000011784	ENSBTAT00000078914	ENSBTAP00000069921	1	ENSBTAE00000127115	125698220	125698322	4	1166	1268	125698220	125698322	1	2	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125698219	1	1	2	0	2.0	1	SRR594473	2	0	ENSBTAG00000011784	ENSBTAT00000076250	ENSBTAP00000072306	1	ENSBTAE00000127115	125698220	125698322	4	311	413	125698220	125698322	1	2	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125702728	1	1	3	0	1.0	3	SRR594473,SRR594486,SRR594491	1,1,1	0,0,0	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000127125	125702729	125702832	6	800	903	125702729	125702832	2	1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125702728	1	1	3	0	1.0	3	SRR594473,SRR594486,SRR594491	1,1,1	0,0,0	ENSBTAG00000011784	ENSBTAT00000015646	ENSBTAP00000015646	1	ENSBTAE00000127125	125702729	125702832	6	658	761	125702729	125702832	2	1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125702728	1	1	3	0	1.0	3	SRR594473,SRR594486,SRR594491	1,1,1	0,0,0	ENSBTAG00000011784	ENSBTAT00000078914	ENSBTAP00000069921	1	ENSBTAE00000127125	125702729	125702832	6	1368	1471	125702729	125702832	2	1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000493149	125688547	125688847	1					-1	-1	125688848	125702728	1	1	3	0	1.0	3	SRR594473,SRR594486,SRR594491	1,1,1	0,0,0	ENSBTAG00000011784	ENSBTAT00000076250	ENSBTAP00000072306	1	ENSBTAE00000127125	125702729	125702832	6	513	616	125702729	125702832	2	1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000318088	125696484	125696546	2					-1	-1	125696547	125697513	1	1	773	2	29.730769230769234	26	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	11,68,9,19,61,261,6,180,10,1,6,27,2,36,1,10,1,38,1,17,1,1,2,2,1,1	0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000533111	125697514	125697746	3	378	597	125697527	125697746	-1	1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000318088	125696484	125696546	2					-1	-1	125696547	125697513	1	1	773	2	29.730769230769234	26	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	11,68,9,19,61,261,6,180,10,1,6,27,2,36,1,10,1,38,1,17,1,1,2,2,1,1	0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000011784	ENSBTAT00000076250	ENSBTAP00000072306	1	ENSBTAE00000533111	125697514	125697746	3	91	310	125697527	125697746	-1	1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646	ENSBTAP00000015646	1	ENSBTAE00000318088	125696484	125696546	2					-1	-1	125696547	125697513	1	1	773	2	29.730769230769234	26	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	11,68,9,19,61,261,6,180,10,1,6,27,2,36,1,10,1,38,1,17,1,1,2,2,1,1	0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000533111	125697514	125697746	3	378	597	125697527	125697746	-1	1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646	ENSBTAP00000015646	1	ENSBTAE00000318088	125696484	125696546	2					-1	-1	125696547	125697513	1	1	773	2	29.730769230769234	26	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	11,68,9,19,61,261,6,180,10,1,6,27,2,36,1,10,1,38,1,17,1,1,2,2,1,1	0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000011784	ENSBTAT00000076250	ENSBTAP00000072306	1	ENSBTAE00000533111	125697514	125697746	3	91	310	125697527	125697746	-1	1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000078914	ENSBTAP00000069921	1	ENSBTAE00000318088	125696484	125696546	2					-1	-1	125696547	125697513	1	1	773	2	29.730769230769234	26	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	11,68,9,19,61,261,6,180,10,1,6,27,2,36,1,10,1,38,1,17,1,1,2,2,1,1	0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000533111	125697514	125697746	3	378	597	125697527	125697746	-1	1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000078914	ENSBTAP00000069921	1	ENSBTAE00000318088	125696484	125696546	2					-1	-1	125696547	125697513	1	1	773	2	29.730769230769234	26	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	11,68,9,19,61,261,6,180,10,1,6,27,2,36,1,10,1,38,1,17,1,1,2,2,1,1	0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000011784	ENSBTAT00000076250	ENSBTAP00000072306	1	ENSBTAE00000533111	125697514	125697746	3	91	310	125697527	125697746	-1	1	2
bos_taurus	ENSBTAG00000011784	ENSBTAT00000076250	ENSBTAP00000072306	1	ENSBTAE00000318088	125696484	125696546	2					-1	-1	125696547	125697513	1	1	773	2	29.730769230769234	26	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	11,68,9,19,61,261,6,180,10,1,6,27,2,36,1,10,1,38,1,17,1,1,2,2,1,1	0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000011784	ENSBTAT00000072676	ENSBTAP00000069678	1	ENSBTAE00000533111	125697514	125697746	3	378	597	125697527	125697746	-1	1	2
