Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000502085	66295099	66295928	1	404	830	66295502	66295928	-1	1	66295929	66316993	1	1	1	0	1.0	1	SRR594473	1	0															13
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000502085	66295099	66295928	1	404	830	66295502	66295928	-1	1	66295929	66317007	1	1	508	0	22.086956521739133	23	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594481,SRR594482,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594492,SRR594494,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	107,103,1,100,6,42,46,1,10,1,4,2,28,22,6,4,1,1,1,5,12,4,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0															13
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000502085	66295099	66295928	1	404	830	66295502	66295928	-1	1	66295929	66328154	1	1	29	0	4.142857142857143	7	SRR594473,SRR594474,SRR594476,SRR594478,SRR594481,SRR594496,SRR636890	1,9,5,2,7,3,2	0,0,0,0,0,0,0															13
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000502085	66295099	66295928	1	404	830	66295502	66295928	-1	1	66295929	66329732	1	1	87	1	4.578947368421052	19	SRR594473,SRR594474,SRR594476,SRR594477,SRR594478,SRR594481,SRR594482,SRR594484,SRR594485,SRR594487,SRR594490,SRR594492,SRR594493,SRR594494,SRR594496,SRR594499,SRR636890,SRR636934,SRR636935	19,11,20,1,2,6,2,1,2,3,6,2,1,3,1,1,1,4,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000095456	66329733	66330011	2	831	1109	66329733	66330011	1	1	13
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000502085	66295099	66295928	1	404	830	66295502	66295928	-1	1	66295929	66331651	1	1	2	0	1.0	2	SRR594473,SRR594474	1,1	0,0	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000095457	66331652	66331751	3	1110	1209	66331652	66331751	1	2	13
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000502085	66295099	66295928	1	404	830	66295502	66295928	-1	1	66295929	66339077	1	1	1	0	1.0	1	SRR594473	1	0	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000095458	66339078	66339176	4	1210	1308	66339078	66339176	2	2	13
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000095456	66329733	66330011	2	831	1109	66329733	66330011	1	1	66330012	66331651	1	1	938	0	40.78260869565217	23	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594483,SRR594485,SRR594487,SRR594489,SRR594490,SRR594491,SRR594492,SRR594494,SRR594496,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	191,277,9,139,11,54,10,4,98,9,15,3,5,23,2,27,8,15,2,9,11,10,6	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000095457	66331652	66331751	3	1110	1209	66331652	66331751	1	2	13
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000095457	66331652	66331751	3	1110	1209	66331652	66331751	1	2	66331752	66332696	1	1	156	0	39.0	4	SRR594473,SRR594482,SRR594491,SRR636934	123,11,8,14	0,0,0,0															13
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000095457	66331652	66331751	3	1110	1209	66331652	66331751	1	2	66331752	66336208	1	1	1	0	1.0	1	SRR594476	1	0															13
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000095457	66331652	66331751	3	1110	1209	66331652	66331751	1	2	66331752	66339077	1	1	1095	0	34.21875	32	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	58,325,11,170,6,62,9,20,106,13,51,1,18,1,7,3,5,46,6,71,3,16,2,28,1,2,10,2,13,21,4,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAP00000011767	1	ENSBTAE00000095458	66339078	66339176	4	1210	1308	66339078	66339176	2	2	13
