Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000044035	ENSBTAT00000061410	ENSBTAP00000053673	-1	ENSBTAE00000435229	38070323	38073091	1	1	2769	38070323	38073091	0	0																										7
bos_taurus																										ENSBTAG00000044035	ENSBTAT00000061410	ENSBTAP00000053673	-1	ENSBTAE00000435229	38070323	38073091	1	1	2769	38070323	38073091	0	0	7
homo_sapiens	ENSG00000169258	ENST00000303991	ENSP00000305839	-1	ENSE00001159289	176595802	176599877	2	202	3228	176596808	176599834	-1	-1	176599878	176609853	2	2	1	0	1.0	1	SRR306845	1	0															5
homo_sapiens	ENSG00000169258	ENST00000303991	ENSP00000305839	-1	ENSE00001159289	176595802	176599877	2	202	3228	176596808	176599834	-1	-1	176599878	176609998	2	2	202	1	5.05	40	ERR030856,ERR030857,ERR030858,ERR030859,ERR030860,ERR030861,ERR030862,ERR030863,ERR030864,ERR030865,ERR030866,ERR030867,ERR030868,ERR030869,ERR030870,ERR030871,ERR030880,ERR030882,ERR030888,ERR030890,SRR1721281,SRR1721299,SRR1721311,SRR306838,SRR306839,SRR306840,SRR306841,SRR306843,SRR306844,SRR306845,SRR306846,SRR306853,SRR306857,SRR306858,SRR649360,SRR649361,SRR649364,SRR943339,SRR943357,SRR943358	2,2,2,4,3,3,6,2,2,1,4,3,2,1,1,3,1,16,1,4,1,1,2,7,14,12,6,13,11,16,16,2,1,1,4,10,1,1,17,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	ENSG00000169258	ENST00000303991	ENSP00000305839	-1	ENSE00001221130	176609999	176610156	1					-1	-1	5
homo_sapiens															176599056	176599151	2	2	0	4	0.0	1	SRR649361	0	4															5
homo_sapiens															176599529	176599681	2	4	9	0	1.2857142857142858	7	ERR030903,SRR1721308,SRR306838,SRR306844,SRR306845,SRR306846,SRR649361	1,1,2,2,1,1,1	0,0,0,0,0,0,0															5
homo_sapiens	ENSG00000169258	ENST00000303991	ENSP00000305839	-1	ENSE00001221130	176609999	176610156	1					-1	-1																										5
homo_sapiens																										ENSG00000169258	ENST00000303991	ENSP00000305839	-1	ENSE00001159289	176595802	176599877	2	202	3228	176596808	176599834	-1	-1	5
gorilla_gorilla															160690856	160691008	2	4	3	0	1.0	3	SRR306800,SRR306801,SRR649365	1,1,1	0,0,0															5
gorilla_gorilla	ENSGGOG00000024915	ENSGGOT00000030071	ENSGGOP00000019842	-1	ENSGGOE00000189606	160688183	160691161	1	1	2979	160688183	160691161	0	0																										5
