Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000283284	ENSBTAE00000283284_SE_1	2_1	43517112	43517380	7	43517381	43517834	1	1	1	0	1.0	1	SRR594473	1	0	ENSBTAT00000036098	ENSBTAE00000283283	ENSBTAE00000283283_SE_2	1_0	43517835	43518867
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000283282	ENSBTAE00000283282_SE_3	8_0	43521754	43521899	7	43521900	43521983	1	1	5	0	1.25	4	SRR594473,SRR594481,SRR594491,SRR636934	1,1,1,2	0,0,0,0	ENSBTAT00000036098	ENSBTAE00000199573	ENSBTAE00000199573_SE_4	9_0	43521984	43522099
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000199573	ENSBTAE00000199573_SE_4	9_0	43521984	43522099	7	43522100	43522201	1	1	85	0	14.166666666666664	6	SRR594473,SRR594476,SRR594481,SRR594490,SRR594499,SRR636934	2,2,65,2,12,2	0,0,0,0,0,0	ENSBTAT00000036098	ENSBTAE00000283281	ENSBTAE00000283281_SE_5	7_0	43522202	43522353
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000199573	ENSBTAE00000199573_SE_4	9_0	43521984	43522099	7	43522100	43522262	1	1	5	0	5.0	1	SRR594481	5	0						
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000283281	ENSBTAE00000283281_SE_5	7_0	43522202	43522353	7	43522354	43522594	1	1	10	0	5.0	2	SRR594481,SRR594499	8,2	0,0						
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000283281	ENSBTAE00000283281_SE_5	7_0	43522202	43522353	7	43522354	43522657	1	1	268	0	33.5	8	SRR594473,SRR594476,SRR594481,SRR594482,SRR594490,SRR594497,SRR594499,SRR636934	4,2,193,2,18,4,44,1	0,0,0,0,0,0,0,0	ENSBTAT00000036098	ENSBTAE00000283280	ENSBTAE00000283280_SE_6	5_0	43522658	43522822
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000283280	ENSBTAE00000283280_SE_6	5_0	43522658	43522822	7	43522823	43522924	1	1	335	0	37.22222222222222	9	SRR594473,SRR594481,SRR594482,SRR594488,SRR594490,SRR594497,SRR594499,SRR636934,SRR636935	1,273,1,1,16,1,38,2,2	0,0,0,0,0,0,0,0,0	ENSBTAT00000036098	ENSBTAE00000283279	ENSBTAE00000283279_SE_7	10_0	43522925	43522983
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000283279	ENSBTAE00000283279_SE_7	10_0	43522925	43522983	7	43522984	43523133	1	1	2	0	2.0	1	SRR594481	2	0						
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000283279	ENSBTAE00000283279_SE_7	10_0	43522925	43522983	7	43522984	43523149	1	1	237	0	39.5	6	SRR594473,SRR594476,SRR594478,SRR594481,SRR594490,SRR594499	3,2,1,152,45,34	0,0,0,0,0,0	ENSBTAT00000036098	ENSBTAE00000283278	ENSBTAE00000283278_SE_8	3_0	43523150	43523552
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000323322	ENSBTAE00000323322_SE_0	4_1	43514892	43515032	7																	
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000283283	ENSBTAE00000283283_SE_2	1_0	43517835	43518867	7																	
bos_taurus	ENSBTAG00000025597	ENSBTAT00000036098	ENSBTAE00000283278	ENSBTAE00000283278_SE_8	3_0	43523150	43523552	7																	
bos_taurus	ENSBTAG00000025597							7												ENSBTAT00000036098	ENSBTAE00000323322	ENSBTAE00000323322_SE_0	4_0	43514607	43514891
bos_taurus	ENSBTAG00000025597							7												ENSBTAT00000036098	ENSBTAE00000283284	ENSBTAE00000283284_SE_1	2_0	43516788	43517111
bos_taurus	ENSBTAG00000025597							7												ENSBTAT00000036098	ENSBTAE00000283282	ENSBTAE00000283282_SE_3	8_0	43521754	43521899
gorilla_gorilla									790126	790910	1	1	1	0	1.0	1	SRR649366	1	0						
gorilla_gorilla									790207	790332	1	3	0	1	0.0	1	SRR306810	0	1						
gorilla_gorilla									792081	793489	1	1	1	0	1.0	1	SRR649366	1	0						
homo_sapiens	ENSG00000116032	ENST00000234389	ENSE00000769054	ENSE00000769054_SE_0	4_1	1000723	1000863	19	1000864	1003129	1	1	8	0	1.6	5	ERR030879,ERR030896,SRR306852,SRR306857,SRR943359	1,4,1,1,1	0,0,0,0,0	ENST00000234389	ENSE00000769056	ENSE00000769056_SE_1	2_0	1003130	1003453
homo_sapiens	ENSG00000116032	ENST00000234389	ENSE00000769056	ENSE00000769056_SE_1	2_1	1003454	1003722	19	1003723	1004520	1	1	18	0	3.6	5	ERR030879,ERR030896,ERR030901,SRR1721306,SRR306852	9,6,1,1,1	0,0,0,0,0	ENST00000234389	ENSE00000769058	ENSE00000769058_SE_2	1_0	1004521	1005553
homo_sapiens	ENSG00000116032	ENST00000234389	ENSE00000769058	ENSE00000769058_SE_2	1_0	1004521	1005553	19	1005554	1007532	1	1	1	0	1.0	1	ERR030879	1	0						
homo_sapiens	ENSG00000116032	ENST00000234389	ENSE00000769058	ENSE00000769058_SE_2	1_0	1004521	1005553	19	1005554	1007627	1	1	17	0	2.4285714285714284	7	ERR030859,ERR030873,ERR030874,ERR030879,ERR030896,ERR030901,ERR030902	2,2,2,4,2,4,1	0,0,0,0,0,0,0	ENST00000234389	ENSE00000769060	ENSE00000769060_SE_3	8_0	1007628	1007773
homo_sapiens	ENSG00000116032	ENST00000234389	ENSE00000769060	ENSE00000769060_SE_3	8_0	1007628	1007773	19	1007774	1007855	1	1	34	0	2.2666666666666666	15	ERR030858,ERR030860,ERR030861,ERR030864,ERR030866,ERR030867,ERR030874,ERR030879,ERR030896,ERR030901,ERR030902,SRR306852,SRR306858,SRR649362,SRR649364	1,1,1,1,2,1,8,2,2,7,2,3,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENST00000234389	ENSE00000769062	ENSE00000769062_SE_4	9_0	1007856	1007971
homo_sapiens	ENSG00000116032	ENST00000234389	ENSE00000769062	ENSE00000769062_SE_4	9_0	1007856	1007971	19	1007972	1008139	1	1	68	0	2.72	25	ERR030856,ERR030857,ERR030858,ERR030859,ERR030860,ERR030864,ERR030865,ERR030866,ERR030873,ERR030874,ERR030879,ERR030882,ERR030889,ERR030896,ERR030901,ERR030902,ERR030903,SRR1721303,SRR1721305,SRR1721310,SRR306852,SRR306853,SRR306857,SRR306858,SRR649362	1,1,1,1,1,2,1,3,4,6,5,4,3,3,9,3,2,1,2,1,2,4,1,6,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENST00000234389	ENSE00000769063	ENSE00000769063_SE_5	7_0	1008140	1008291
homo_sapiens	ENSG00000116032	ENST00000234389	ENSE00000769063	ENSE00000769063_SE_5	7_0	1008140	1008291	19	1008292	1008617	1	1	62	0	3.6470588235294112	17	ERR030864,ERR030865,ERR030866,ERR030873,ERR030874,ERR030879,ERR030881,ERR030882,ERR030890,ERR030896,ERR030901,ERR030902,SRR1721298,SRR1721303,SRR1721311,SRR306852,SRR306858	1,1,1,3,15,11,1,1,1,7,9,3,1,1,1,2,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENST00000234389	ENSE00000769064	ENSE00000769064_SE_6	5_0	1008618	1008782
homo_sapiens	ENSG00000116032	ENST00000234389	ENSE00000769063	ENSE00000769063_SE_5	7_0	1008140	1008291	19	1008292	1008856	1	1	4	0	1.0	4	ERR030867,ERR030872,ERR030873,SRR306850	1,1,1,1	0,0,0,0	ENST00000234389	ENSE00000769065	ENSE00000769065_SE_7	10_0	1008857	1008927
homo_sapiens	ENSG00000116032	ENST00000234389	ENSE00000769064	ENSE00000769064_SE_6	5_0	1008618	1008782	19	1008783	1008856	1	1	27	0	1.8	15	ERR030857,ERR030858,ERR030860,ERR030866,ERR030871,ERR030873,ERR030874,ERR030879,ERR030885,ERR030893,ERR030896,ERR030901,ERR030902,SRR306852,SRR306858	1,1,1,1,1,1,1,5,2,3,1,4,1,3,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENST00000234389	ENSE00000769065	ENSE00000769065_SE_7	10_0	1008857	1008927
homo_sapiens	ENSG00000116032	ENST00000234389	ENSE00000769065	ENSE00000769065_SE_7	10_0	1008857	1008927	19	1008928	1009172	1	1	29	0	1.8125	16	ERR030857,ERR030866,ERR030869,ERR030871,ERR030873,ERR030874,ERR030879,ERR030896,ERR030901,ERR030902,SRR1721305,SRR1721306,SRR1721313,SRR306839,SRR306852,SRR306858	1,1,1,1,2,2,5,2,1,4,1,2,1,1,1,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENST00000234389	ENSE00001492453	ENSE00001492453_SE_8	3_0	1009173	1009602
homo_sapiens									1005013	1005121	1	1	1	0	1.0	1	ERR030874	1	0						
homo_sapiens									1005013	1005356	1	1	3	0	1.5	2	ERR030873,SRR306857	2,1	0,0						
macaca_mulatta	ENSMMUG00000048135	ENSMMUT00000061210	ENSMMUE00000416220	ENSMMUE00000416220_SE_0	4_1	773401	773552	19																	
macaca_mulatta	ENSMMUG00000048135	ENSMMUT00000061210	ENSMMUE00000428356	ENSMMUE00000428356_SE_1	6_0	775997	776175	19																	
macaca_mulatta	ENSMMUG00000048135	ENSMMUT00000061210	ENSMMUE00000412855	ENSMMUE00000412855_SE_2	2_0	776208	776294	19																	
macaca_mulatta	ENSMMUG00000048135	ENSMMUT00000061210	ENSMMUE00000383570	ENSMMUE00000383570_SE_3	2_1	776319	776580	19																	
macaca_mulatta	ENSMMUG00000048135	ENSMMUT00000061210	ENSMMUE00000359556	ENSMMUE00000359556_SE_4	1_0	777288	778320	19																	
macaca_mulatta	ENSMMUG00000048135	ENSMMUT00000061210	ENSMMUE00000397208	ENSMMUE00000397208_SE_5	8_0	780679	780824	19																	
macaca_mulatta	ENSMMUG00000048135	ENSMMUT00000061210	ENSMMUE00000399483	ENSMMUE00000399483_SE_6	9_0	780923	781038	19																	
macaca_mulatta	ENSMMUG00000048135	ENSMMUT00000061210	ENSMMUE00000373322	ENSMMUE00000373322_SE_7	7_0	781207	781358	19																	
macaca_mulatta	ENSMMUG00000048135	ENSMMUT00000061210	ENSMMUE00000358163	ENSMMUE00000358163_SE_8	5_0	781671	781882	19																	
macaca_mulatta	ENSMMUG00000048135	ENSMMUT00000061210	ENSMMUE00000384603	ENSMMUE00000384603_SE_9	4_2	781910	781919	19																	
macaca_mulatta	ENSMMUG00000048135	ENSMMUT00000061210	ENSMMUE00000376882	ENSMMUE00000376882_SE_10	3_0	782221	782667	19																	
macaca_mulatta	ENSMMUG00000048135							19												ENSMMUT00000061210	ENSMMUE00000416220	ENSMMUE00000416220_SE_0	4_0	773116	773400
macaca_mulatta	ENSMMUG00000048135							19												ENSMMUT00000061210	ENSMMUE00000428356	ENSMMUE00000428356_SE_1	6_0	775997	776175
macaca_mulatta	ENSMMUG00000048135							19												ENSMMUT00000061210	ENSMMUE00000412855	ENSMMUE00000412855_SE_2	2_0	776208	776294
macaca_mulatta	ENSMMUG00000048135							19												ENSMMUT00000061210	ENSMMUE00000383570	ENSMMUE00000383570_SE_3	2_1	776319	776580
macaca_mulatta	ENSMMUG00000048135							19												ENSMMUT00000061210	ENSMMUE00000359556	ENSMMUE00000359556_SE_4	1_0	777288	778320
macaca_mulatta	ENSMMUG00000048135							19												ENSMMUT00000061210	ENSMMUE00000397208	ENSMMUE00000397208_SE_5	8_0	780679	780824
macaca_mulatta	ENSMMUG00000048135							19												ENSMMUT00000061210	ENSMMUE00000399483	ENSMMUE00000399483_SE_6	9_0	780923	781038
macaca_mulatta	ENSMMUG00000048135							19												ENSMMUT00000061210	ENSMMUE00000373322	ENSMMUE00000373322_SE_7	7_0	781207	781358
macaca_mulatta	ENSMMUG00000048135							19												ENSMMUT00000061210	ENSMMUE00000358163	ENSMMUE00000358163_SE_8	5_0	781671	781882
macaca_mulatta	ENSMMUG00000048135							19												ENSMMUT00000061210	ENSMMUE00000384603	ENSMMUE00000384603_SE_9	4_2	781910	781919
macaca_mulatta	ENSMMUG00000048135							19												ENSMMUT00000061210	ENSMMUE00000376882	ENSMMUE00000376882_SE_10	3_0	782221	782667
macaca_mulatta									774615	777161	1	1	20	0	1.8181818181818181	11	SRR1051662,SRR1051663,SRR306777,SRR594453,SRR594455,SRR594456,SRR594457,SRR594458,SRR594459,SRR594462,SRR649368	1,1,1,1,1,1,2,6,1,1,4	0,0,0,0,0,0,0,0,0,0,0						
macaca_mulatta									777755	778534	1	1	15	0	1.25	12	SRR1051572,SRR1051626,SRR306779,SRR306783,SRR594453,SRR594456,SRR594457,SRR594458,SRR594462,SRR594463,SRR594471,SRR649370	1,1,1,1,1,2,2,1,1,2,1,1	0,0,0,0,0,0,0,0,0,0,0,0						
macaca_mulatta									779027	779135	1	1	2	0	2.0	1	SRR594470	2	0						
macaca_mulatta									779027	779370	1	1	1	0	1.0	1	SRR594463	1	0						
macaca_mulatta									779568	780478	1	1	1	0	1.0	1	SRR594455	1	0						
macaca_mulatta									779568	780773	1	1	2	0	2.0	1	SRR594455	2	0						
macaca_mulatta									779568	781094	1	1	1	0	1.0	1	SRR306790	1	0						
macaca_mulatta									779568	781832	1	1	1	0	1.0	1	SRR594455	1	0						
macaca_mulatta									779568	781927	1	1	48	0	2.8235294117647056	17	SRR1051573,SRR1051640,SRR1051663,SRR306782,SRR306784,SRR306789,SRR594446,SRR594449,SRR594455,SRR594456,SRR594457,SRR594458,SRR594460,SRR594461,SRR594462,SRR594463,SRR594467	1,1,1,2,2,1,1,1,6,2,1,17,2,2,1,5,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0						
macaca_mulatta									780895	781927	1	1	1	0	1.0	1	SRR594455	1	0						
macaca_mulatta									782074	782149	1	1	61	0	2.652173913043478	23	SRR1051541,SRR1051571,SRR1051664,SRR306782,SRR306783,SRR306789,SRR594446,SRR594454,SRR594455,SRR594456,SRR594457,SRR594458,SRR594459,SRR594460,SRR594461,SRR594462,SRR594463,SRR594464,SRR594465,SRR594467,SRR649368,SRR649369,SRR649370	1,1,1,1,1,2,1,2,6,6,2,12,1,3,2,2,6,1,1,2,2,4,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0						
macaca_mulatta									782266	782433	1	1	30	0	2.0	15	SRR1051540,SRR306783,SRR306784,SRR306789,SRR306790,SRR594454,SRR594456,SRR594457,SRR594458,SRR594460,SRR594461,SRR594462,SRR594463,SRR594469,SRR649369	1,1,2,1,3,2,1,1,3,1,1,1,8,2,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0						
macaca_mulatta									782266	782494	1	1	1	0	1.0	1	SRR594463	1	0						
mus_musculus	ENSMUSG00000035745	ENSMUST00000045085	ENSMUSE00000400749	ENSMUSE00000400749_SE_0	4_1	79971185	79971325	10	79971326	79971729	1	1	1	0	1.0	1	SRR306765	1	0						
mus_musculus	ENSMUSG00000035745	ENSMUST00000045085	ENSMUSE00000400749	ENSMUSE00000400749_SE_0	4_1	79971185	79971325	10	79971326	79972843	1	1	22	0	2.0	11	ERR032227,ERR032231,SRR306764,SRR579545,SRR579546,SRR594397,SRR594399,SRR594413,SRR636869,SRR636962,SRR850576	2,1,2,5,5,1,2,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0	ENSMUST00000045085	ENSMUSE00000314256	ENSMUSE00000314256_SE_1	2_0	79972844	79973167
mus_musculus	ENSMUSG00000035745	ENSMUST00000045085	ENSMUSE00000314256	ENSMUSE00000314256_SE_1	2_1	79973168	79973436	10	79973437	79973680	1	1	35	0	1.6666666666666667	21	ERR032227,ERR032233,SRR306763,SRR306764,SRR306765,SRR306767,SRR306770,SRR306771,SRR496232,SRR579545,SRR579546,SRR579549,SRR594396,SRR594399,SRR594401,SRR594402,SRR594404,SRR594415,SRR636868,SRR636963,SRR649372	1,1,1,1,2,1,1,1,1,7,6,1,2,1,1,1,2,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSMUST00000045085	ENSMUSE00000314250	ENSMUSE00000314250_SE_2	1_0	79973681	79974713
mus_musculus	ENSMUSG00000035745	ENSMUST00000045085	ENSMUSE00000314250	ENSMUSE00000314250_SE_2	1_0	79973681	79974713	10	79974714	79974958	1	1	16	0	3.2	5	SRR594396,SRR594401,SRR594409,SRR652252,SRR652254	1,3,10,1,1	0,0,0,0,0						
mus_musculus	ENSMUSG00000035745	ENSMUST00000045085	ENSMUSE00000314250	ENSMUSE00000314250_SE_2	1_0	79973681	79974713	10	79974714	79974962	1	1	50	0	5.5555555555555545	9	ERR032225,SRR594396,SRR594397,SRR594401,SRR594405,SRR594409,SRR594418,SRR649375,SRR652252	1,1,1,14,1,28,1,2,1	0,0,0,0,0,0,0,0,0						
mus_musculus	ENSMUSG00000035745	ENSMUST00000045085	ENSMUSE00000314250	ENSMUSE00000314250_SE_2	1_0	79973681	79974713	10	79974714	79975633	1	1	143	0	6.809523809523809	21	ERR032230,ERR032231,SRR306762,SRR306764,SRR306767,SRR306775,SRR306776,SRR579545,SRR579546,SRR579548,SRR594393,SRR594396,SRR594399,SRR594401,SRR594402,SRR594404,SRR594405,SRR594409,SRR594418,SRR636870,SRR652253	2,1,1,1,1,3,10,22,12,8,3,2,2,32,2,1,1,28,7,1,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSMUST00000045085	ENSMUSE00000314246	ENSMUSE00000314246_SE_3	8_0	79975634	79975779
