Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000016773	ENSBTAT00000022306	ENSBTAE00000182237	ENSBTAE00000182237_SE_0	2_0	5658324	5658649	7	5658650	5662686	1	1	8	0	4.0	2	SRR594478,SRR594490	3,5	0,0	ENSBTAT00000022306	ENSBTAE00000182240	ENSBTAE00000182240_SE_1	1_0	5662687	5663017
bos_taurus	ENSBTAG00000016773	ENSBTAT00000022306	ENSBTAE00000182240	ENSBTAE00000182240_SE_1	1_0	5662687	5663017	7																	
bos_taurus	ENSBTAG00000016773							7												ENSBTAT00000022306	ENSBTAE00000182237	ENSBTAE00000182237_SE_0	2_0	5658324	5658649
danio_rerio	ENSDARG00000052035	ENSDART00000143829	ENSDARE00001071386	ENSDARE00001071386_SE_0	1_0	58006818	58006497	1																	
danio_rerio	ENSDARG00000052035							1												ENSDART00000143829	ENSDARE00001019948	ENSDARE00001019948_SE_1	2_0	58008736	58008411
gorilla_gorilla	ENSGGOG00000002347	ENSGGOT00000002359	ENSGGOE00000024595	ENSGGOE00000024595_SE_2	2_0	17303676	17303351	19																	
gorilla_gorilla	ENSGGOG00000002347	ENSGGOT00000002359	ENSGGOE00000234973	ENSGGOE00000234973_SE_1	1_0	17298761	17298623	19																	
gorilla_gorilla	ENSGGOG00000002347	ENSGGOT00000002359	ENSGGOE00000353335	ENSGGOE00000353335_SE_0	3_0	17294619	17294383	19																	
gorilla_gorilla	ENSGGOG00000002347							19												ENSGGOT00000002359	ENSGGOE00000024595	ENSGGOE00000024595_SE_2	2_0	17303676	17303351
gorilla_gorilla	ENSGGOG00000002347							19												ENSGGOT00000002359	ENSGGOE00000234973	ENSGGOE00000234973_SE_1	1_0	17298761	17298623
gorilla_gorilla	ENSGGOG00000002347							19												ENSGGOT00000002359	ENSGGOE00000353335	ENSGGOE00000353335_SE_0	3_0	17294619	17294383
rattus_norvegicus	ENSRNOG00000042658	ENSRNOT00000024434	ENSRNOE00000174832	ENSRNOE00000174832_SE_2/ENSRNOE00000530796_SE_2	2_0	19996716	19996391	16																	
rattus_norvegicus	ENSRNOG00000042658							16												ENSRNOT00000024434	ENSRNOE00000174874	ENSRNOE00000174874_SE_0	1_0	19993311	19992984
xenopus_tropicalis	ENSXETG00000020568	ENSXETT00000044438	ENSXETE00000249349	ENSXETE00000249349_SE_0	2_0	2261956	2262284	GL172785.1	2262285	2266158	1	1	23	0	2.5555555555555562	9	SRR489453,SRR489454,SRR489469,SRR489474,SRR489475,SRR489476,SRR489477,SRR489478,SRR943353	4,5,1,1,2,1,5,2,2	0,0,0,0,0,0,0,0,0	ENSXETT00000044438	ENSXETE00000249350	ENSXETE00000249350_SE_1	1_0	2266159	2266477
xenopus_tropicalis	ENSXETG00000020568	ENSXETT00000044438	ENSXETE00000249349	ENSXETE00000249349_SE_0	2_0	2261956	2262284	GL172785.1	2262285	2266213	1	1	1	0	1.0	1	SRR489477	1	0						
xenopus_tropicalis	ENSXETG00000020568							GL172785.1	2262318	2266158	1	1	1	0	1.0	1	SRR489454	1	0	ENSXETT00000044438	ENSXETE00000249350	ENSXETE00000249350_SE_1	1_0	2266159	2266477
xenopus_tropicalis	ENSXETG00000020568							GL172785.1	2266058	2266158	1	1	3	0	3.0	1	SRR943353	3	0	ENSXETT00000044438	ENSXETE00000249350	ENSXETE00000249350_SE_1	1_0	2266159	2266477
xenopus_tropicalis	ENSXETG00000020568	ENSXETT00000044438	ENSXETE00000249350	ENSXETE00000249350_SE_1	1_0	2266159	2266477	GL172785.1																	
xenopus_tropicalis	ENSXETG00000020568							GL172785.1												ENSXETT00000044438	ENSXETE00000249349	ENSXETE00000249349_SE_0	2_0	2261956	2262284
homo_sapiens	ENSG00000171773							19	17455960	17460081	2	2	1	0	1.0	1	ERR030880	1	0	ENST00000301944	ENSE00001255300	ENSE00001255300_SE_0	1_0	17455959	17455647
homo_sapiens	ENSG00000171773	ENST00000301944	ENSE00001128044	ENSE00001128044_SE_1	2_0	17460869	17460544	19	17455960	17460543	2	2	45	0	1.6071428571428572	28	ERR030859,ERR030866,ERR030871,ERR030872,ERR030880,ERR030881,ERR030882,ERR030883,ERR030888,ERR030890,ERR030891,ERR030902,SRR1272186,SRR1377191,SRR1424735,SRR1424738,SRR1424742,SRR1424750,SRR306840,SRR306841,SRR306842,SRR306844,SRR306849,SRR306850,SRR306858,SRR649362,SRR943357,SRR943358	1,4,1,1,2,2,6,3,2,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENST00000301944	ENSE00001255300	ENSE00001255300_SE_0	1_0	17455959	17455647
monodelphis_domestica	ENSMODG00000004441							3	431767870	431768286	2	2	1	0	1.0	1	SRR649379	1	0	ENSMODT00000005590	ENSMODE00000047135	ENSMODE00000047135_SE_1	1_0	431767869	431767595
monodelphis_domestica	ENSMODG00000004441	ENSMODT00000005590	ENSMODE00000047131	ENSMODE00000047131_SE_2	2_0	431768850	431768525	3	431767870	431768524	2	2	41	0	10.25	4	SRR306755,SRR306756,SRR649379,SRR649380	7,8,9,17	0,0,0,0	ENSMODT00000005590	ENSMODE00000047135	ENSMODE00000047135_SE_1	1_0	431767869	431767595
monodelphis_domestica	ENSMODG00000004441							3	431752255	431761001	2	2	5	0	1.6666666666666667	3	SRR306755,SRR306756,SRR649379	3,1,1	0,0,0	ENSMODT00000005590	ENSMODE00000299632	ENSMODE00000299632_SE_0	4_0	431752254	431752181
monodelphis_domestica	ENSMODG00000004441	ENSMODT00000005590	ENSMODE00000047135	ENSMODE00000047135_SE_1	1_0	431767869	431767595	3	431752255	431767594	2	2	1	0	1.0	1	SRR306756	1	0	ENSMODT00000005590	ENSMODE00000299632	ENSMODE00000299632_SE_0	4_0	431752254	431752181
monodelphis_domestica	ENSMODG00000004441	ENSMODT00000005590	ENSMODE00000047131	ENSMODE00000047131_SE_2	2_0	431768850	431768525	3	431752255	431768524	2	2	1	0	1.0	1	SRR649380	1	0	ENSMODT00000005590	ENSMODE00000299632	ENSMODE00000299632_SE_0	4_0	431752254	431752181
monodelphis_domestica	ENSMODG00000004441	ENSMODT00000005590	ENSMODE00000047131	ENSMODE00000047131_SE_2	2_0	431768850	431768525	3	431761102	431768524	2	2	4	0	2.0	2	SRR306756,SRR649379	3,1	0,0						
monodelphis_domestica	ENSMODG00000004441	ENSMODT00000005590	ENSMODE00000047131	ENSMODE00000047131_SE_2	2_0	431768850	431768525	3	431764877	431768524	2	2	1	0	1.0	1	SRR306756	1	0						
monodelphis_domestica									431761907	431762615	2	2	1	0	1.0	1	SRR649380	1	0						
monodelphis_domestica									431768917	431769069	2	2	2	0	2.0	1	SRR649380	2	0						
mus_musculus	ENSMUSG00000034829							8	71562937	71564209	2	2	1	0	1.0	1	SRR649375	1	0	ENSMUST00000048243/ENSMUST00000163659	ENSMUSE00000914521	ENSMUSE00000914521_SE_0	1_0	71562936	71562609
mus_musculus	ENSMUSG00000034829	ENSMUST00000048243/ENSMUST00000163659	ENSMUSE00000330668	ENSMUSE00000330668_SE_1	2_0	71566579	71566254	8	71562937	71566253	2	2	9	0	1.0	9	SRR594399,SRR594401,SRR594409,SRR594418,SRR649371,SRR850576,SRR850578,SRR850585,SRR850586	1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0	ENSMUST00000048243/ENSMUST00000163659	ENSMUSE00000914521	ENSMUSE00000914521_SE_0	1_0	71562936	71562609
mus_musculus	ENSMUSG00000034829	ENSMUST00000048243/ENSMUST00000163659	ENSMUSE00000330668	ENSMUSE00000330668_SE_1	2_0	71566579	71566254	8	71564479	71566253	2	2	1	0	1.0	1	SRR306776	1	0						
mus_musculus	ENSMUSG00000034829	ENSMUST00000048243/ENSMUST00000163659	ENSMUSE00000330668	ENSMUSE00000330668_SE_1	2_0	71566579	71566254	8	71565067	71566253	2	2	10	0	3.3333333333333326	3	SRR594401,SRR594418,SRR649375	7,1,2	0,0,0						
mus_musculus									71562520	71562565	2	2	2	0	2.0	1	SRR594396	2	0						
rattus_norvegicus	ENSRNOG00000042658							16	19993312	19994888	2	2	25	0	25.0	1	SRR594436	25	0	ENSRNOT00000024434	ENSRNOE00000174874	ENSRNOE00000174874_SE_0	1_0	19993311	19992984
rattus_norvegicus	ENSRNOG00000042658	ENSRNOT00000024434	ENSRNOE00000174832	ENSRNOE00000174832_SE_2/ENSRNOE00000530796_SE_2	2_0	19996716	19996391	16	19993312	19996390	2	2	35	0	5.833333333333332	6	SRR594419,SRR594427,SRR594428,SRR594431,SRR594436,SRR594445	6,6,5,3,11,4	0,0,0,0,0,0	ENSRNOT00000024434	ENSRNOE00000174874	ENSRNOE00000174874_SE_0	1_0	19993311	19992984
rattus_norvegicus	ENSRNOG00000042658	ENSRNOT00000080706	ENSRNOE00000530796	ENSRNOE00000174832_SE_2/ENSRNOE00000530796_SE_2	2_0	19996716	19996391	16	19993312	19996390	2	2	35	0	5.833333333333332	6	SRR594419,SRR594427,SRR594428,SRR594431,SRR594436,SRR594445	6,6,5,3,11,4	0,0,0,0,0,0	ENSRNOT00000024434	ENSRNOE00000174874	ENSRNOE00000174874_SE_0	1_0	19993311	19992984
