Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000011851	ENSBTAT00000015730	ENSBTAE00000127886	ENSBTAE00000127886_SE_0	1_1	38728271.0	38728277.0	9	38728278.0	38730075.0	1.0	1.0	3136.0	4.0	98.0	32.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	489,253,173,107,77,441,1,756,143,41,27,5,7,8,23,7,82,19,47,25,28,6,63,10,128,11,5,7,9,13,82,43	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1	ENSBTAT00000015730	ENSBTAE00000127896	ENSBTAE00000127896_SE_1	10_0	38730076.0	38730172.0	7.495328694375269e-05	2.5449080985284843e-07
bos_taurus	ENSBTAG00000011851	ENSBTAT00000015730	ENSBTAE00000127896	ENSBTAE00000127896_SE_1	10_0	38730076.0	38730172.0	9	38730173.0	38737384.0	1.0	1.0	3171.0	0.0	96.09090909090908	33.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	336,180,153,66,40,315,3,1188,79,73,6,11,13,6,30,3,103,12,102,19,23,6,15,59,6,177,12,5,7,5,16,73,29	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015730	ENSBTAE00000127908	ENSBTAE00000127908_SE_2	9_0	38737385.0	38737483.0	8.110783642392447e-05	0.0
bos_taurus	ENSBTAG00000011851	ENSBTAT00000015730	ENSBTAE00000127896	ENSBTAE00000127896_SE_1	10_0	38730076.0	38730172.0	9	38730173.0	38740174.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594478	1	0	ENSBTAT00000015730	ENSBTAE00000127921	ENSBTAE00000127921_SE_3	8_0	38740175.0	38740241.0	1.3212827414523973e-08	0.0
bos_taurus	ENSBTAG00000011851	ENSBTAT00000015730	ENSBTAE00000127908	ENSBTAE00000127908_SE_2	9_0	38737385.0	38737483.0	9	38737484.0	38740174.0	1.0	1.0	3267.0	0.0	99.0	33.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	342,161,139,66,47,378,29,1380,98,49,30,3,4,8,27,2,61,31,62,16,17,4,6,30,2,127,9,2,5,5,18,74,35	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015730	ENSBTAE00000127921	ENSBTAE00000127921_SE_3	8_0	38740175.0	38740241.0	7.328660250400489e-05	0.0
bos_taurus	ENSBTAG00000011851	ENSBTAT00000015730	ENSBTAE00000127921	ENSBTAE00000127921_SE_3	8_2	38740245.0	38740278.0	9	38740279.0	38741280.0	1.0	1.0	2755.0	5.0	88.87096774193549	31.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	286,138,117,92,35,344,34,1052,83,37,8,7,25,4,54,1,31,20,24,8,3,36,6,111,3,5,6,9,24,93,59	0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015730	ENSBTAE00000404092	ENSBTAE00000404092_SE_4	6_0	38741281.0	38741430.0	6.429914979371437e-05	6.455978060727228e-08
bos_taurus	ENSBTAG00000011851	ENSBTAT00000015730	ENSBTAE00000404092	ENSBTAE00000404092_SE_4	6_0	38741281.0	38741430.0	9	38741431.0	38744022.0	1.0	1.0	1208.0	1.0	37.75	32.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	286,59,94,35,24,172,17,141,57,22,2,4,4,1,8,4,22,12,34,7,15,6,4,18,3,26,5,4,9,10,67,36	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015730	ENSBTAE00000428504	ENSBTAE00000428504_SE_5	4_0	38744023.0	38744042.0	3.1905883575939045e-05	1.3212827414523973e-08
bos_taurus	ENSBTAG00000011851	ENSBTAT00000015730	ENSBTAE00000404092	ENSBTAE00000404092_SE_4	6_0	38741281.0	38741430.0	9	38741431.0	38744558.0	1.0	1.0	910.0	1.0	50.55555555555557	18.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594489,SRR594492,SRR594495,SRR594496,SRR594498,SRR636840,SRR636934	1,81,8,18,16,138,1,553,9,1,1,24,1,1,7,48,1,1	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0							1.5797155073330358e-05	1.3212827414523973e-08
bos_taurus	ENSBTAG00000011851	ENSBTAT00000015730	ENSBTAE00000404092	ENSBTAE00000404092_SE_4	6_0	38741281.0	38741430.0	9	38741431.0	38747427.0	1.0	1.0	27.0	0.0	3.8571428571428568	7.0	SRR594475,SRR594478,SRR594480,SRR594489,SRR594492,SRR594493,SRR594496	6,15,2,1,1,1,1	0,0,0,0,0,0,0	ENSBTAT00000015730	ENSBTAE00000479374	ENSBTAE00000479374_SE_6	3_0	38747428.0	38747474.0	5.176556424203266e-07	0.0
bos_taurus	ENSBTAG00000011851	ENSBTAT00000015730	ENSBTAE00000404092	ENSBTAE00000404092_SE_4	6_0	38741281.0	38741430.0	9	38741431.0	38768284.0	1.0	1.0	2.0	0.0	2.0	1.0	SRR594480	2	0	ENSBTAT00000015730	ENSBTAE00000474907	ENSBTAE00000474907_SE_9	7_0	38768285.0	38768416.0	2.582391224290891e-08	0.0
bos_taurus	ENSBTAG00000011851	ENSBTAT00000015730	ENSBTAE00000428504	ENSBTAE00000428504_SE_5	4_1	38744043.0	38744187.0	9	38744188.0	38744558.0	1.0	1.0	2.0	0.0	2.0	1.0	SRR594481	2	0							2.4401875562318345e-08	0.0
