Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAE00000354780	ENSBTAE00000354780_SE_27/ENSBTAE00000535893_SE_27	15_0	22213988.0	22213908.0	13																		0.0	0.0
bos_taurus	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAE00000535893	ENSBTAE00000354780_SE_27/ENSBTAE00000535893_SE_27	15_0	22213988.0	22213908.0	13																		0.0	0.0
bos_taurus	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAE00000535893	ENSBTAE00000354780_SE_27/ENSBTAE00000535893_SE_27	15_0	22213988.0	22213908.0	13																		0.0	0.0
bos_taurus	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAE00000535893	ENSBTAE00000354780_SE_27/ENSBTAE00000535893_SE_27	15_0	22213988.0	22213908.0	13																		0.0	0.0
bos_taurus	ENSBTAG00000013339							13												ENSBTAT00000061339	ENSBTAE00000438064	ENSBTAE00000438064_SE_0	2_2	22100382.0	22100371.0	0.0	0.0
bos_taurus	ENSBTAG00000013339							13												ENSBTAT00000067562	ENSBTAE00000438064	ENSBTAE00000438064_SE_0	2_2	22100382.0	22100371.0	0.0	0.0
bos_taurus	ENSBTAG00000013339							13												ENSBTAT00000075769	ENSBTAE00000438064	ENSBTAE00000438064_SE_0	2_2	22100382.0	22100371.0	0.0	0.0
bos_taurus	ENSBTAG00000013339							13												ENSBTAT00000085898	ENSBTAE00000438064	ENSBTAE00000438064_SE_0	2_2	22100382.0	22100371.0	0.0	0.0
gorilla_gorilla	ENSGGOG00000005437	ENSGGOT00000005469	ENSGGOE00000349045	ENSGGOE00000349045_SE_25	15_0	23700245.0	23700165.0	10																		0.0	0.0
gorilla_gorilla	ENSGGOG00000005437	ENSGGOT00000049274	ENSGGOE00000347691	ENSGGOE00000347691_SE_29	18_0	23979043.0	23978975.0	10																		0.0	0.0
