Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAE00000502085	ENSBTAE00000502085_SE_0	1_0	66295502.0	66295928.0	13	66295929.0	66316993.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594473	1	0							1.338723265244574e-08	0.0
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAE00000502085	ENSBTAE00000502085_SE_0	1_0	66295502.0	66295928.0	13	66295929.0	66317007.0	1.0	1.0	508.0	0.0	22.086956521739136	23.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594481,SRR594482,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594492,SRR594494,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	107,103,1,100,6,42,46,1,10,1,4,2,28,22,6,4,1,1,1,5,12,4,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0							1.125273825682496e-05	0.0
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAE00000502085	ENSBTAE00000502085_SE_0	1_0	66295502.0	66295928.0	13	66295929.0	66328154.0	1.0	1.0	29.0	0.0	4.142857142857143	7.0	SRR594473,SRR594474,SRR594476,SRR594478,SRR594481,SRR594496,SRR636890	1,9,5,2,7,3,2	0,0,0,0,0,0,0							5.454841178082865e-07	0.0
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAE00000502085	ENSBTAE00000502085_SE_0	1_0	66295502.0	66295928.0	13	66295929.0	66329732.0	1.0	1.0	87.0	1.0	4.578947368421051	19.0	SRR594473,SRR594474,SRR594476,SRR594477,SRR594478,SRR594481,SRR594482,SRR594484,SRR594485,SRR594487,SRR594490,SRR594492,SRR594493,SRR594494,SRR594496,SRR594499,SRR636890,SRR636934,SRR636935	19,11,20,1,2,6,2,1,2,3,6,2,1,3,1,1,1,4,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	ENSBTAT00000011767	ENSBTAE00000095456	ENSBTAE00000095456_SE_1	2_0	66329733.0	66329743.0	2.4533784123516065e-06	5.3642520237177185e-08
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAE00000502085	ENSBTAE00000502085_SE_0	1_0	66295502.0	66295928.0	13	66295929.0	66331651.0	1.0	1.0	2.0	0.0	1.0	2.0	SRR594473,SRR594474	1,1	0,0	ENSBTAT00000011767	ENSBTAE00000095457	ENSBTAE00000095457_SE_2	12_0	66331652.0	66331751.0	2.4853936440654804e-08	0.0
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAE00000502085	ENSBTAE00000502085_SE_0	1_0	66295502.0	66295928.0	13	66295929.0	66339077.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594473	1	0	ENSBTAT00000011767	ENSBTAE00000095458	ENSBTAE00000095458_SE_3	13_0	66339078.0	66339081.0	1.338723265244574e-08	0.0
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAE00000095456	ENSBTAE00000095456_SE_1	2_1	66329744.0	66330011.0	13	66330012.0	66331651.0	1.0	1.0	938.0	0.0	40.78260869565217	23.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594483,SRR594485,SRR594487,SRR594489,SRR594490,SRR594491,SRR594492,SRR594494,SRR594496,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	191,277,9,139,11,54,10,4,98,9,15,3,5,23,2,27,8,15,2,9,11,10,6	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000011767	ENSBTAE00000095457	ENSBTAE00000095457_SE_2	12_0	66331652.0	66331751.0	1.878453878750446e-05	0.0
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAE00000095457	ENSBTAE00000095457_SE_2	12_0	66331652.0	66331751.0	13	66331752.0	66332696.0	1.0	1.0	156.0	0.0	39.0	4.0	SRR594473,SRR594482,SRR594491,SRR636934	123,11,8,14	0,0,0,0							3.6117072800367856e-06	0.0
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAE00000095457	ENSBTAE00000095457_SE_2	12_0	66331652.0	66331751.0	13	66331752.0	66336208.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594476	1	0							1.1611225156564598e-08	0.0
bos_taurus	ENSBTAG00000008938	ENSBTAT00000011767	ENSBTAE00000095457	ENSBTAE00000095457_SE_2	12_0	66331652.0	66331751.0	13	66331752.0	66339077.0	1.0	1.0	1095.0	0.0	34.21875	32.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	58,325,11,170,6,62,9,20,106,13,51,1,18,1,7,3,5,46,6,71,3,16,2,28,1,2,10,2,13,21,4,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000011767	ENSBTAE00000095458	ENSBTAE00000095458_SE_3	13_0	66339078.0	66339081.0	2.999811523932706e-05	0.0
