Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000026266	ENSBTAT00000037254	ENSBTAE00000290896	ENSBTAE00000290896_SE_0	1_0	37428288	37428468	24	37428469	37431101	1	1	31	1	4.428571428571429	7	SRR594473,SRR594474,SRR594476,SRR594477,SRR594480,SRR594481,SRR594492	1,11,3,2,10,3,1	0,0,0,0,0,0,1						
bos_taurus	ENSBTAG00000026266	ENSBTAT00000037254	ENSBTAE00000290896	ENSBTAE00000290896_SE_0	1_0	37428288	37428468	24	37428469	37433115	1	1	5882	548	178.24242424242425	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	830,1113,85,782,255,325,72,724,510,90,72,3,52,16,25,11,30,38,107,107,37,25,32,51,1,44,51,34,33,99,109,89,30	79,148,2,50,18,21,0,12,109,1,3,0,5,3,0,1,1,3,2,16,0,0,0,0,1,3,1,4,3,18,27,11,6	ENSBTAT00000037254	ENSBTAE00000456974	ENSBTAE00000456974_SE_1	3_0	37433116	37433277
bos_taurus	ENSBTAG00000026266	ENSBTAT00000037254	ENSBTAE00000456974	ENSBTAE00000456974_SE_1	3_0	37433116	37433277	24	37433278	37434119	1	1	8701	6593	263.6666666666667	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	1178,1877,139,1114,416,474,69,1026,787,103,42,3,88,26,50,11,67,64,123,221,38,47,30,43,11,73,48,48,40,136,152,108,49	31,189,162,233,55,644,139,159,42,60,217,63,214,104,389,210,214,119,131,507,354,98,220,471,173,725,65,50,57,186,212,61,39	ENSBTAT00000037254	ENSBTAE00000407216	ENSBTAE00000407216_SE_2	2_0	37434120	37434292
bos_taurus	ENSBTAG00000026266	ENSBTAT00000037254	ENSBTAE00000456974	ENSBTAE00000456974_SE_1	3_0	37433116	37433277	24	37433278	37434130	1	1	0	1	0.0	1	SRR594496	0	1						
bos_taurus	ENSBTAG00000026266							24	37417878	37433115	1	1	1	0	1.0	1	SRR594476	1	0	ENSBTAT00000037254	ENSBTAE00000456974	ENSBTAE00000456974_SE_1	3_0	37433116	37433277
bos_taurus	ENSBTAG00000026266							24	37432977	37433115	1	1	7	0	2.3333333333333326	3	SRR594476,SRR594478,SRR594480	1,5,1	0,0,0	ENSBTAT00000037254	ENSBTAE00000456974	ENSBTAE00000456974_SE_1	3_0	37433116	37433277
bos_taurus									37418209	37425028	1	1	1	0	1.0	1	SRR594481	1	0						
bos_taurus									37421639	37424919	1	1	3	0	1.0	3	SRR594476,SRR594477,SRR594480	1,1,1	0,0,0						
bos_taurus									37431192	37433120	1	1	46	0	5.1111111111111125	9	SRR594473,SRR594474,SRR594476,SRR594477,SRR594480,SRR594481,SRR594486,SRR594495,SRR594496	1,18,8,2,12,2,1,1,1	0,0,0,0,0,0,0,0,0						
homo_sapiens	ENSG00000118680	ENST00000237500/ENST00000400175/ENST00000581193/ENST00000584539/ENST00000648965	ENSE00000800184	ENSE00000800184_SE_0	1_0	3272899	3273082	18	3273083	3274461	1	1	23	0	23.0	1	SRR649362	23	0						
