event_id	gene	s_exonID	type	paths	alt_paths	tr_path	tr_alt_path	E_path_species	E_alt_path_species	path_species	alt_path_species	path_values	alt_path_values	Ec_path	Ec_alt_path	Rc_path	Rc_alt_path	diff_path	diff_alt_path
1	PAX6	5_1	I	9_1,5_1,3_0	9_1,3_0	ENSBTAT00000080697,ENSGGOT00000024041,ENSMMUT00000023620,ENSMODT00000035985,ENSMUST00000090391/ENSMUST00000111086,ENSSSCT00000014546,ENSSSCT00000055747,ENST00000419022/ENST00000638903/ENST00000639409/ENST00000640975/ENST00000645710	ENSBTAT00000005994,ENSGGOT00000010287,ENSGGOT00000068490,ENSMUST00000111082/ENSMUST00000111087,ENSRNOT00000005882/ENSRNOT00000006302,ENSSSCT00000054342,ENST00000241001/ENST00000379109/ENST00000638914/ENST00000639916/ENST00000640610/ENST00000643871	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,mus_musculus,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,rattus_norvegicus,sus_scrofa	[1.3427189871533763e-06, 4.907393411402814e-06, 5.254989881028508e-07, 9.46198928092056e-07, 3.516166103570996e-06, 6.325963749814103e-06, 6.169953466601926e-06]	[5.6114316429206185e-06, 1.7303658937830451e-06, 1.5748880048148737e-06, 1.0898673549547447e-05, 2.534090578502049e-06, 1.0328188268735339e-05, 1.7711315863390287e-05]	6	6	7	7	1	1
2	FMR1	7_1	I	10_1,7_1,14_0	10_1,14_0	ENSBTAT00000016665,ENSGGOT00000022424,ENSMMUT00000022215,ENSMMUT00000061414,ENSRNOT00000087893,ENSSSCT00000013914,ENSSSCT00000035645,ENSSSCT00000036178,ENST00000218200,ENST00000439526,ENST00000440235	ENSDART00000123434,ENSGGOT00000054980,ENSMMUT00000022213,ENST00000621453,ENSXETT00000042153,ENSXETT00000042520	bos_taurus,gorilla_gorilla,homo_sapiens,rattus_norvegicus,sus_scrofa	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,sus_scrofa	homo_sapiens,monodelphis_domestica,ornithorhynchus_anatinus	[8.319039745624534e-06, 2.6964591297537055e-05, 1.490296671904583e-06, 1.5951664141621683e-05, 0.00014168416127068194, 1.5110846901426988e-05, 0.00014368341969835796]	[8.301015437627189e-06, 7.992317190947021e-06, 9.478070022389244e-07]	5	3	7	3	2	0
2	FMR1	7_1	I	10_1,7_1,22_0,14_0	10_1,14_0	ENSBTAT00000073017,ENSBTAT00000074884,ENSGGOT00000010418,ENSGGOT00000063696,ENSMMUT00000047747,ENSMMUT00000055789,ENSMODT00000007006,ENSMUST00000088546,ENSMUST00000114653,ENSOANT00000001744,ENSRNOT00000089743,ENSSSCT00000034989,ENSSSCT00000036460,ENST00000370475	ENSDART00000123434,ENSGGOT00000054980,ENSMMUT00000022213,ENST00000621453,ENSXETT00000042153,ENSXETT00000042520	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,rattus_norvegicus,sus_scrofa	gorilla_gorilla,homo_sapiens,xenopus_tropicalis	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,sus_scrofa	homo_sapiens,monodelphis_domestica,ornithorhynchus_anatinus	[2.2353073381075553e-05, 1.9042694618212746e-05, 5.088095396424247e-06, 9.608448804127117e-06, 0.00010225087204994513, 6.697790062539981e-06, 6.466746032023215e-05]	[8.301015437627189e-06, 7.992317190947021e-06, 9.478070022389244e-07]	8	3	7	3	-1	0
2	FMR1	7_1	I	10_1,7_1,22_0	10_1,22_0					bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,sus_scrofa	monodelphis_domestica,ornithorhynchus_anatinus	[1.5589558903353336e-05, 2.148194625247471e-05, 3.5525336898019513e-06, 1.2594830551535467e-05, 0.00012691646246823317, 9.356697801837226e-06, 8.940264465107709e-05]	[9.011308602731012e-06, 1.10785160204786e-05]	0	0	7	2	7	2
3	FMR1	22_0	I	7_1,22_0,14_0	7_1,14_0	ENSBTAT00000073017,ENSBTAT00000074884,ENSGGOT00000010418,ENSGGOT00000063696,ENSMMUT00000047747,ENSMMUT00000055789,ENSMODT00000007006,ENSMUST00000088546,ENSMUST00000114653,ENSOANT00000001744,ENSRNOT00000089743,ENSSSCT00000034989,ENSSSCT00000036460,ENST00000370475	ENSBTAT00000016665,ENSGGOT00000022424,ENSMMUT00000022215,ENSMMUT00000061414,ENSRNOT00000087893,ENSSSCT00000013914,ENSSSCT00000035645,ENSSSCT00000036178,ENST00000218200,ENST00000439526,ENST00000440235	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,rattus_norvegicus,sus_scrofa	[2.6472165916215683e-05, 1.2387000597975904e-05, 6.3275289551607415e-06, 5.176011657985054e-06, 9.171589079953268e-06, 5.590903723057864e-05, 9.894403584573614e-07, 1.5110154390069125e-05]	[2.5231911804537793e-06, 2.157509993638768e-05, 3.7136506485790796e-07, 1.3430005186832124e-05, 2.812958542715411e-05, 8.843378085268579e-05, 1.2107204332148752e-05, 0.00012358476721615773]	8	5	8	8	0	3
3	FMR1	22_0	I	10_1,22_0,14_0	10_1,14_0					monodelphis_domestica,ornithorhynchus_anatinus	homo_sapiens,monodelphis_domestica,ornithorhynchus_anatinus	[8.585263706199924e-06, 2.3479309178499294e-05]	[8.301015437627189e-06, 7.992317190947021e-06, 9.478070022389244e-07]	0	0	2	3	2	3
4	FMR1	2_0	I	1_2,2_0,2_1,2_2,2_3	1_2,2_3	ENSBTAT00000016665,ENSBTAT00000073017,ENSBTAT00000074884,ENSDART00000123434,ENSGGOT00000010418,ENSGGOT00000022424,ENSMMUT00000055789,ENSMMUT00000061414,ENSMODT00000007006,ENSMUST00000088546,ENSOANT00000001744,ENSRNOT00000089743,ENSSSCT00000034989,ENSSSCT00000035645,ENSSSCT00000036178,ENSSSCT00000036460,ENST00000218200,ENST00000370475,ENST00000439526,ENST00000463120,ENST00000621453,ENSXETT00000042520	ENSMMUT00000022215,ENSMUST00000114653,ENSSSCT00000013914,ENST00000440235	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,rattus_norvegicus,sus_scrofa,xenopus_tropicalis	homo_sapiens,mus_musculus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,mus_musculus,ornithorhynchus_anatinus,sus_scrofa	homo_sapiens,mus_musculus,sus_scrofa	[6.795324905274732e-05, 1.814259382186959e-05, 1.9411523464869454e-05, 8.900751708848682e-06, 7.661031121680494e-05, 2.0457657910417857e-05, 0.00013653693973817016]	[5.252592142051004e-06, 3.3879537469751314e-05, 3.276298319071056e-05]	9	3	7	3	-2	0
4	FMR1	2_0	I	14_0,2_0,2_1,2_2,2_3	14_0,2_3					homo_sapiens,mus_musculus	homo_sapiens,mus_musculus,sus_scrofa	[4.55163891866766e-07, 9.80588463614375e-07]	[1.670306865477207e-07, 4.233712454548879e-06, 2.837858711063252e-06]	0	0	2	3	2	3
5	FMR1	4_0	I	15_0,4_0,4_1	15_0,4_1	ENSBTAT00000016665,ENSBTAT00000073017,ENSBTAT00000074884,ENSGGOT00000010418,ENSGGOT00000054980,ENSMMUT00000022213,ENSMMUT00000055789,ENSMMUT00000061414,ENSMODT00000007006,ENSSSCT00000013914,ENSSSCT00000034989,ENSSSCT00000035645,ENST00000218200,ENST00000370475,ENST00000440235,ENSXETT00000042153,ENSXETT00000042520	ENSGGOT00000022424,ENSMUST00000088546,ENSMUST00000114653,ENSOANT00000001744,ENSRNOT00000087893,ENSRNOT00000089743,ENSSSCT00000036460,ENST00000439526	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,sus_scrofa,xenopus_tropicalis	gorilla_gorilla,homo_sapiens,mus_musculus,ornithorhynchus_anatinus,rattus_norvegicus,sus_scrofa	bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,sus_scrofa	gorilla_gorilla,homo_sapiens,mus_musculus,ornithorhynchus_anatinus,sus_scrofa	[2.1691280014269265e-05, 3.1780854933481245e-05, 6.8542979290509255e-06, 1.2971646895980056e-05, 0.00011935202665326447]	[7.599671342032784e-05, 7.4034860813046525e-06, 0.00022161052005840152, 2.594666221138887e-05, 0.00013612985413054374]	6	6	5	5	-1	-1
5	FMR1	4_0	I	15_0,4_0,4_1,4_2	15_0,4_2					bos_taurus,gorilla_gorilla,homo_sapiens,monodelphis_domestica,sus_scrofa	gorilla_gorilla,mus_musculus,ornithorhynchus_anatinus,sus_scrofa	[2.1691280014269265e-05, 3.1780854933481245e-05, 6.8542979290509255e-06, 1.2971646895980056e-05, 0.00011935202665326447]	[7.599671342032784e-05, 0.00022161052005840152, 2.594666221138887e-05, 7.4034860813046525e-06]	0	0	5	4	5	4
