Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000020087	ENSBTAT00000066579	ENSBTAE00000490702	ENSBTAE00000277201_SE_26/ENSBTAE00000490702_SE_26	20_0	61640007	61639946	7																	
bos_taurus	ENSBTAG00000020087	ENSBTAT00000066579	ENSBTAE00000511858	ENSBTAE00000511858_SE_8	6_0	61592361	61592324	7																	
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073457	ENSBTAE00000515345	ENSBTAE00000515345_SE_25	1_0	61627377	61627353	7																	
bos_taurus	ENSBTAG00000020087	ENSBTAT00000086523	ENSBTAE00000515345	ENSBTAE00000515345_SE_25	1_0	61627377	61627353	7																	
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073457	ENSBTAE00000502818	ENSBTAE00000466282_SE_23/ENSBTAE00000502818_SE_23	13_1	61624060	61623971	7																	
bos_taurus	ENSBTAG00000020087	ENSBTAT00000086523	ENSBTAE00000502818	ENSBTAE00000466282_SE_23/ENSBTAE00000502818_SE_23	13_1	61624060	61623971	7																	
bos_taurus	ENSBTAG00000020087	ENSBTAT00000073457	ENSBTAE00000543682	ENSBTAE00000543682_SE_6	4_0	61584667	61584661	7																	
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000066579	ENSBTAE00000518852	ENSBTAE00000518852_SE_13	19_1	61602025	61602001
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000066579	ENSBTAE00000518825	ENSBTAE00000518825_SE_1	0_3	61577763	61577760
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000073457	ENSBTAE00000518825	ENSBTAE00000518825_SE_1	0_4	61577763	61577760
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000086523	ENSBTAE00000518825	ENSBTAE00000518825_SE_1	0_5	61577763	61577760
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000073457	ENSBTAE00000515345	ENSBTAE00000515345_SE_25	1_0	61627377	61627353
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000086523	ENSBTAE00000515345	ENSBTAE00000515345_SE_25	1_0	61627377	61627353
bos_taurus	ENSBTAG00000020087							7												ENSBTAT00000073457	ENSBTAE00000493309	ENSBTAE00000493309_SE_11	15_1	61600491	61600488
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000713928	ENSDARE00000713928_SE_15	13_0	43949208	43949202	21																	
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000948113	ENSDARE00000948113_SE_14	21_0	43931824	43931765	21																	
danio_rerio	ENSDARG00000053617	ENSDART00000039571	ENSDARE00000976853	ENSDARE00000976853_SE_13	23_0	43931180	43931126	21																	
