Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
danio_rerio															18955201	18957919	2	2	6	0	2.0	3	SRR1524240,SRR1524246,SRR850589	3,2,1	0,0,0															23
danio_rerio															18963729	18972039	2	2	3	0	3.0	1	SRR1524249	3	0															23
danio_rerio															18978709	18978730	2	2	0	1	0.0	1	SRR2145845	0	1															23
danio_rerio															18979144	18979238	2	2	1	0	1.0	1	SRR1524246	1	0															23
danio_rerio															18979144	18981681	2	2	282	1386	5.035714285714286	56	SRR1524238,SRR1524239,SRR1524240,SRR1524241,SRR1524242,SRR1524243,SRR1524244,SRR1524245,SRR1524246,SRR1524249,SRR1647682,SRR1648854,SRR1648855,SRR1648856,SRR2013982,SRR2013983,SRR2013984,SRR2145843,SRR2145844,SRR2145845,SRR2146366,SRR2146367,SRR2146368,SRR2146369,SRR527832,SRR527833,SRR527834,SRR527836,SRR527837,SRR527838,SRR527839,SRR527840,SRR527841,SRR527842,SRR527843,SRR527844,SRR527845,SRR527846,SRR527847,SRR630463,SRR630465,SRR630467,SRR630469,SRR850589,SRR850590,SRR850592,SRR850593,SRR850595,SRR850597,SRR850598,SRR850599,SRR850600,SRR850601,SRR850603,SRR850604,SRR850607	11,7,5,2,1,11,3,4,105,25,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,4,4,3,3,4,4,2,2,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0	26,19,32,13,1,12,23,3,273,105,8,11,11,26,3,7,11,51,65,50,3,4,5,4,2,3,1,53,53,40,40,62,62,58,58,17,17,25,25,16,32,7,16,1,6,1,4,1,2,1,6,4,4,1,1,1															23
danio_rerio															18979271	18981681	2	2	1	0	1.0	1	SRR1524246	1	0															23
danio_rerio															18980293	18981681	2	2	0	2	0.0	2	SRR527836,SRR527837	0,0	1,1															23
danio_rerio	ENSDARG00000008434	ENSDART00000012507	ENSDARP00000027919	-1	ENSDARE00000277726	18953870	18954976	3	919	1062	18954833	18954976	0	-1																										23
danio_rerio	ENSDARG00000008434	ENSDART00000147617	ENSDARP00000119990	-1	ENSDARE00000277726	18953870	18954976	3	873	1016	18954833	18954976	0	-1																										23
danio_rerio	ENSDARG00000008434	ENSDART00000012507	ENSDARP00000027919	-1	ENSDARE00000043240	18979267	18979965	2	346	918	18979267	18979839	-1	0																										23
danio_rerio	ENSDARG00000008434	ENSDART00000147617	ENSDARP00000119990	-1	ENSDARE00000043240	18979267	18979965	2	300	872	18979267	18979839	-1	0																										23
danio_rerio	ENSDARG00000008434	ENSDART00000012507	ENSDARP00000027919	-1	ENSDARE00000923715	18982281	18982499	1					-1	-1																										23
danio_rerio	ENSDARG00000008434	ENSDART00000147617	ENSDARP00000119990	-1	ENSDARE00000990164	18981423	18981595	1					-1	-1																										23
danio_rerio																										ENSDARG00000008434	ENSDART00000012507	ENSDARP00000027919	-1	ENSDARE00000277726	18953870	18954976	3	919	1062	18954833	18954976	0	-1	23
danio_rerio																										ENSDARG00000008434	ENSDART00000147617	ENSDARP00000119990	-1	ENSDARE00000277726	18953870	18954976	3	873	1016	18954833	18954976	0	-1	23
danio_rerio																										ENSDARG00000008434	ENSDART00000012507	ENSDARP00000027919	-1	ENSDARE00000043240	18979267	18979965	2	346	918	18979267	18979839	-1	0	23
danio_rerio																										ENSDARG00000008434	ENSDART00000147617	ENSDARP00000119990	-1	ENSDARE00000043240	18979267	18979965	2	300	872	18979267	18979839	-1	0	23
danio_rerio																										ENSDARG00000008434	ENSDART00000012507	ENSDARP00000027919	-1	ENSDARE00000923715	18982281	18982499	1					-1	-1	23
danio_rerio																										ENSDARG00000008434	ENSDART00000147617	ENSDARP00000119990	-1	ENSDARE00000990164	18981423	18981595	1					-1	-1	23
homo_sapiens	ENSG00000171552	ENST00000376062	ENSP00000365230	-1	ENSE00001469296	31664452	31666086	2	944	1081	31665949	31666086	0	-1	31666087	31666347	2	2	4	0	2.0	2	ERR030886,SRR1272186	3,1	0,0															20
homo_sapiens	ENSG00000171552	ENST00000376055	ENSP00000365223	-1	ENSE00001469296	31664452	31666086	3	749	886	31665949	31666086	0	-1	31666087	31666347	2	2	4	0	2.0	2	ERR030886,SRR1272186	3,1	0,0															20
homo_sapiens	ENSG00000171552	ENST00000307677	ENSP00000302564	-1	ENSE00003844866	31664458	31666086	3	946	1083	31665949	31666086	0	-1	31666087	31666347	2	2	4	0	2.0	2	ERR030886,SRR1272186	3,1	0,0															20
