Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
gorilla_gorilla	ENSGGOG00000015801	ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	ENSGGOE00000161915_SE_0/ENSGGOE00000377813_SE_0	5_0	20715396	20715452	15	20715453	20716520	1	1	380	0	27.142857142857146	14	SRR306800,SRR306801,SRR306802,SRR306803,SRR306804,SRR306805,SRR306806,SRR306807,SRR306808,SRR306809,SRR306810,SRR649365,SRR649366,SRR649367	15,11,5,5,11,13,26,23,34,22,43,20,64,88	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSGGOT00000015855	ENSGGOE00000161919	ENSGGOE00000161919_SE_1	2_0	20716521	20716562
gorilla_gorilla	ENSGGOG00000015801	ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	ENSGGOE00000161915_SE_0/ENSGGOE00000377813_SE_0	5_0	20715396	20715452	15	20715453	20716520	1	1	380	0	27.142857142857146	14	SRR306800,SRR306801,SRR306802,SRR306803,SRR306804,SRR306805,SRR306806,SRR306807,SRR306808,SRR306809,SRR306810,SRR649365,SRR649366,SRR649367	15,11,5,5,11,13,26,23,34,22,43,20,64,88	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSGGOT00000043438	ENSGGOE00000161919	ENSGGOE00000161919_SE_1	2_0	20716521	20716562
gorilla_gorilla	ENSGGOG00000015801	ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	ENSGGOE00000161915_SE_0/ENSGGOE00000377813_SE_0	5_0	20715396	20715452	15	20715453	20716520	1	1	380	0	27.142857142857146	14	SRR306800,SRR306801,SRR306802,SRR306803,SRR306804,SRR306805,SRR306806,SRR306807,SRR306808,SRR306809,SRR306810,SRR649365,SRR649366,SRR649367	15,11,5,5,11,13,26,23,34,22,43,20,64,88	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSGGOT00000045060	ENSGGOE00000161919	ENSGGOE00000161919_SE_1	2_0	20716521	20716562
gorilla_gorilla	ENSGGOG00000015801	ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	ENSGGOE00000161915_SE_0/ENSGGOE00000377813_SE_0	5_0	20715396	20715452	15	20715453	20716520	1	1	380	0	27.142857142857146	14	SRR306800,SRR306801,SRR306802,SRR306803,SRR306804,SRR306805,SRR306806,SRR306807,SRR306808,SRR306809,SRR306810,SRR649365,SRR649366,SRR649367	15,11,5,5,11,13,26,23,34,22,43,20,64,88	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSGGOT00000049278	ENSGGOE00000161919	ENSGGOE00000161919_SE_1	2_0	20716521	20716562
gorilla_gorilla	ENSGGOG00000015801	ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	ENSGGOE00000161915_SE_0/ENSGGOE00000377813_SE_0	5_0	20715396	20715452	15	20715453	20716520	1	1	380	0	27.142857142857146	14	SRR306800,SRR306801,SRR306802,SRR306803,SRR306804,SRR306805,SRR306806,SRR306807,SRR306808,SRR306809,SRR306810,SRR649365,SRR649366,SRR649367	15,11,5,5,11,13,26,23,34,22,43,20,64,88	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSGGOT00000051779	ENSGGOE00000161919	ENSGGOE00000161919_SE_1	2_0	20716521	20716562
gorilla_gorilla	ENSGGOG00000015801	ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	ENSGGOE00000161915_SE_0/ENSGGOE00000377813_SE_0	5_0	20715396	20715452	15	20715453	20716520	1	1	380	0	27.142857142857146	14	SRR306800,SRR306801,SRR306802,SRR306803,SRR306804,SRR306805,SRR306806,SRR306807,SRR306808,SRR306809,SRR306810,SRR649365,SRR649366,SRR649367	15,11,5,5,11,13,26,23,34,22,43,20,64,88	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSGGOT00000054530	ENSGGOE00000161919	ENSGGOE00000161919_SE_1	2_0	20716521	20716562
gorilla_gorilla	ENSGGOG00000015801	ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	ENSGGOE00000161915_SE_0/ENSGGOE00000377813_SE_0	5_0	20715396	20715452	15	20715453	20716520	1	1	380	0	27.142857142857146	14	SRR306800,SRR306801,SRR306802,SRR306803,SRR306804,SRR306805,SRR306806,SRR306807,SRR306808,SRR306809,SRR306810,SRR649365,SRR649366,SRR649367	15,11,5,5,11,13,26,23,34,22,43,20,64,88	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSGGOT00000063004	ENSGGOE00000161919	ENSGGOE00000161919_SE_1	2_0	20716521	20716562
gorilla_gorilla	ENSGGOG00000015801	ENSGGOT00000051779	ENSGGOE00000161915/ENSGGOE00000339334	ENSGGOE00000161915_SE_0/ENSGGOE00000377813_SE_0	5_0	20715396	20715452	15	20715453	20716520	1	1	380	0	27.142857142857146	14	SRR306800,SRR306801,SRR306802,SRR306803,SRR306804,SRR306805,SRR306806,SRR306807,SRR306808,SRR306809,SRR306810,SRR649365,SRR649366,SRR649367	15,11,5,5,11,13,26,23,34,22,43,20,64,88	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSGGOT00000015855	ENSGGOE00000161919	ENSGGOE00000161919_SE_1	2_0	20716521	20716562
gorilla_gorilla	ENSGGOG00000015801	ENSGGOT00000051779	ENSGGOE00000161915/ENSGGOE00000339334	ENSGGOE00000161915_SE_0/ENSGGOE00000377813_SE_0	5_0	20715396	20715452	15	20715453	20716520	1	1	380	0	27.142857142857146	14	SRR306800,SRR306801,SRR306802,SRR306803,SRR306804,SRR306805,SRR306806,SRR306807,SRR306808,SRR306809,SRR306810,SRR649365,SRR649366,SRR649367	15,11,5,5,11,13,26,23,34,22,43,20,64,88	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSGGOT00000043438	ENSGGOE00000161919	ENSGGOE00000161919_SE_1	2_0	20716521	20716562
gorilla_gorilla	ENSGGOG00000015801	ENSGGOT00000051779	ENSGGOE00000161915/ENSGGOE00000339334	ENSGGOE00000161915_SE_0/ENSGGOE00000377813_SE_0	5_0	20715396	20715452	15	20715453	20716520	1	1	380	0	27.142857142857146	14	SRR306800,SRR306801,SRR306802,SRR306803,SRR306804,SRR306805,SRR306806,SRR306807,SRR306808,SRR306809,SRR306810,SRR649365,SRR649366,SRR649367	15,11,5,5,11,13,26,23,34,22,43,20,64,88	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSGGOT00000045060	ENSGGOE00000161919	ENSGGOE00000161919_SE_1	2_0	20716521	20716562
