Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122727	ENSBTAE00000122727_SE_0	3_0	56560667.0	56561065.0	19.0	56561066.0	56562989.0	1.0	1.0	2.0	0.0	1.0	2.0	SRR594476,SRR594478	1,1	0,0							2.4824052571088573e-08	0.0
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122727	ENSBTAE00000122727_SE_0	3_0	56560667.0	56561065.0	19.0	56561066.0	56563428.0	1.0	1.0	67.0	0.0	9.571428571428571	7.0	SRR594473,SRR594475,SRR594476,SRR594480,SRR594485,SRR594497,SRR636935	12,1,9,1,2,1,41	0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122728	ENSBTAE00000122728_SE_1	2_0	56563429.0	56564027.0	4.405146078123332e-06	0.0
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122728	ENSBTAE00000122728_SE_1	2_0	56563429.0	56564027.0	19.0	56564028.0	56564359.0	1.0	1.0	34.0	0.0	3.0909090909090917	11.0	SRR594473,SRR594475,SRR594476,SRR594478,SRR594485,SRR594486,SRR594494,SRR636889,SRR636890,SRR636934,SRR636935	2,1,5,1,5,1,2,3,1,1,12	0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122730	ENSBTAE00000122730_SE_2	12_0	56564360.0	56564474.0	2.1393178539814637e-06	0.0
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122730	ENSBTAE00000122730_SE_2	12_0	56564360.0	56564474.0	19.0	56564475.0	56565433.0	1.0	1.0	73.0	0.0	6.083333333333332	12.0	SRR594473,SRR594475,SRR594476,SRR594478,SRR594485,SRR594491,SRR594494,SRR594496,SRR636889,SRR636890,SRR636934,SRR636935	14,1,12,4,5,1,5,1,1,2,1,26	0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122731	ENSBTAE00000122731_SE_3	6_0	56565434.0	56565645.0	3.918746367284736e-06	0.0
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122731	ENSBTAE00000122731_SE_3	6_0	56565434.0	56565645.0	19.0	56565646.0	56565804.0	1.0	1.0	11.0	0.0	1.8333333333333328	6.0	SRR594473,SRR594475,SRR594477,SRR636889,SRR636934,SRR636935	3,1,2,1,1,3	0,0,0,0,0,0							5.028238019013823e-07	0.0
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122731	ENSBTAE00000122731_SE_3	6_0	56565434.0	56565645.0	19.0	56565646.0	56565807.0	1.0	1.0	61.0	0.0	4.357142857142857	14.0	SRR594473,SRR594475,SRR594476,SRR594479,SRR594480,SRR594485,SRR594486,SRR594487,SRR594494,SRR594496,SRR636889,SRR636890,SRR636934,SRR636935	8,3,8,1,1,4,1,2,3,1,3,4,3,19	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122732	ENSBTAE00000122732_SE_4	8_0	56565808.0	56565970.0	3.425665238756615e-06	0.0
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000122732	ENSBTAE00000122732_SE_4	8_0	56565808.0	56565970.0	19.0	56565971.0	56566256.0	1.0	1.0	140.0	0.0	9.33333333333333	15.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594478,SRR594480,SRR594481,SRR594482,SRR594485,SRR594489,SRR594491,SRR594494,SRR636889,SRR636890,SRR636935	17,3,5,17,3,16,3,1,9,1,1,5,5,3,51	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000451473	ENSBTAE00000451473_SE_5	10_0	56566257.0	56566410.0	7.412291324688224e-06	0.0
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000451473	ENSBTAE00000451473_SE_5	10_0	56566257.0	56566410.0	19.0	56566411.0	56566642.0	1.0	1.0	4.0	0.0	2.0	2.0	SRR594476,SRR636935	1,3	0,0							2.997117791643266e-07	0.0
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000451473	ENSBTAE00000451473_SE_5	10_0	56566257.0	56566410.0	19.0	56566411.0	56566712.0	1.0	1.0	66.0	0.0	5.0769230769230775	13.0	SRR594473,SRR594476,SRR594477,SRR594478,SRR594480,SRR594485,SRR594486,SRR594489,SRR594494,SRR636889,SRR636890,SRR636934,SRR636935	9,12,2,3,7,2,1,1,2,4,2,4,17	0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015137	ENSBTAE00000122736	ENSBTAE00000122736_SE_6	11_0	56566713.0	56566838.0	3.115250413318714e-06	0.0
bos_taurus	ENSBTAG00000040042	ENSBTAT00000015137	ENSBTAE00000451473	ENSBTAE00000451473_SE_5	10_0	56566257.0	56566410.0	19.0	56566411.0	56566714.0	1.0	1.0	2.0	0.0	2.0	1.0	SRR636935	2	0							1.9206703600517468e-07	0.0
