Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000006377	ENSBTAT00000008366	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76618880	1	1	644	0	32.2	20	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594492,SRR594494,SRR594495,SRR594496,SRR594498,SRR636840,SRR636890	106,3,8,30,178,4,189,4,3,3,18,27,1,3,2,3,40,19,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000008366	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_0	76618881	76619049
bos_taurus	ENSBTAG00000006377	ENSBTAT00000008366	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76618880	1	1	644	0	32.2	20	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594492,SRR594494,SRR594495,SRR594496,SRR594498,SRR636840,SRR636890	106,3,8,30,178,4,189,4,3,3,18,27,1,3,2,3,40,19,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000071978	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_0	76618881	76619049
bos_taurus	ENSBTAG00000006377	ENSBTAT00000008366	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76618880	1	1	644	0	32.2	20	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594492,SRR594494,SRR594495,SRR594496,SRR594498,SRR636840,SRR636890	106,3,8,30,178,4,189,4,3,3,18,27,1,3,2,3,40,19,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000082351	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_0	76618881	76619049
bos_taurus	ENSBTAG00000006377	ENSBTAT00000071978	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76618880	1	1	644	0	32.2	20	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594492,SRR594494,SRR594495,SRR594496,SRR594498,SRR636840,SRR636890	106,3,8,30,178,4,189,4,3,3,18,27,1,3,2,3,40,19,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000008366	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_0	76618881	76619049
bos_taurus	ENSBTAG00000006377	ENSBTAT00000071978	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76618880	1	1	644	0	32.2	20	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594492,SRR594494,SRR594495,SRR594496,SRR594498,SRR636840,SRR636890	106,3,8,30,178,4,189,4,3,3,18,27,1,3,2,3,40,19,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000071978	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_0	76618881	76619049
bos_taurus	ENSBTAG00000006377	ENSBTAT00000071978	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76618880	1	1	644	0	32.2	20	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594492,SRR594494,SRR594495,SRR594496,SRR594498,SRR636840,SRR636890	106,3,8,30,178,4,189,4,3,3,18,27,1,3,2,3,40,19,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000082351	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_0	76618881	76619049
bos_taurus	ENSBTAG00000006377	ENSBTAT00000082351	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76618880	1	1	644	0	32.2	20	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594492,SRR594494,SRR594495,SRR594496,SRR594498,SRR636840,SRR636890	106,3,8,30,178,4,189,4,3,3,18,27,1,3,2,3,40,19,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000008366	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_0	76618881	76619049
bos_taurus	ENSBTAG00000006377	ENSBTAT00000082351	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76618880	1	1	644	0	32.2	20	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594492,SRR594494,SRR594495,SRR594496,SRR594498,SRR636840,SRR636890	106,3,8,30,178,4,189,4,3,3,18,27,1,3,2,3,40,19,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000071978	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_0	76618881	76619049
bos_taurus	ENSBTAG00000006377	ENSBTAT00000082351	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76618880	1	1	644	0	32.2	20	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594492,SRR594494,SRR594495,SRR594496,SRR594498,SRR636840,SRR636890	106,3,8,30,178,4,189,4,3,3,18,27,1,3,2,3,40,19,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000082351	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_0	76618881	76619049
bos_taurus	ENSBTAG00000006377	ENSBTAT00000008366	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76619259	1	1	1	0	1.0	1	SRR594480	1	0	ENSBTAT00000008366	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000008366	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76619259	1	1	1	0	1.0	1	SRR594480	1	0	ENSBTAT00000071978	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000008366	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76619259	1	1	1	0	1.0	1	SRR594480	1	0	ENSBTAT00000082351	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000071978	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76619259	1	1	1	0	1.0	1	SRR594480	1	0	ENSBTAT00000008366	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000071978	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76619259	1	1	1	0	1.0	1	SRR594480	1	0	ENSBTAT00000071978	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000071978	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76619259	1	1	1	0	1.0	1	SRR594480	1	0	ENSBTAT00000082351	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000082351	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76619259	1	1	1	0	1.0	1	SRR594480	1	0	ENSBTAT00000008366	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000082351	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76619259	1	1	1	0	1.0	1	SRR594480	1	0	ENSBTAT00000071978	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000082351	ENSBTAE00000067520	ENSBTAE00000067520_SE_0	25_0	76617317	76617411	4	76617412	76619259	1	1	1	0	1.0	1	SRR594480	1	0	ENSBTAT00000082351	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000008366	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_1	76619050	76619089	4	76619090	76619259	1	1	925	0	37.0	25	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636890	124,10,22,45,277,1,191,5,2,3,8,7,48,3,48,1,7,1,1,1,86,27,2,2,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000008366	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000008366	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_1	76619050	76619089	4	76619090	76619259	1	1	925	0	37.0	25	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636890	124,10,22,45,277,1,191,5,2,3,8,7,48,3,48,1,7,1,1,1,86,27,2,2,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000071978	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000008366	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_1	76619050	76619089	4	76619090	76619259	1	1	925	0	37.0	25	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636890	124,10,22,45,277,1,191,5,2,3,8,7,48,3,48,1,7,1,1,1,86,27,2,2,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000082351	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000071978	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_1	76619050	76619089	4	76619090	76619259	1	1	925	0	37.0	25	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636890	124,10,22,45,277,1,191,5,2,3,8,7,48,3,48,1,7,1,1,1,86,27,2,2,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000008366	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000071978	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_1	76619050	76619089	4	76619090	76619259	1	1	925	0	37.0	25	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636890	124,10,22,45,277,1,191,5,2,3,8,7,48,3,48,1,7,1,1,1,86,27,2,2,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000071978	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000071978	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_1	76619050	76619089	4	76619090	76619259	1	1	925	0	37.0	25	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636890	124,10,22,45,277,1,191,5,2,3,8,7,48,3,48,1,7,1,1,1,86,27,2,2,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000082351	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
bos_taurus	ENSBTAG00000006377	ENSBTAT00000082351	ENSBTAE00000067522	ENSBTAE00000067522_SE_1	12_1	76619050	76619089	4	76619090	76619259	1	1	925	0	37.0	25	SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636890	124,10,22,45,277,1,191,5,2,3,8,7,48,3,48,1,7,1,1,1,86,27,2,2,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000008366	ENSBTAE00000067523	ENSBTAE00000067523_SE_2	1_0	76619260	76619353
