Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000012667	ENSBTAT00000016830	ENSBTAE00000504719	ENSBTAE00000504518_SE_30/ENSBTAE00000504719_SE_30	23_0	29760825.0	29760761.0	28																		0.0	0.0
bos_taurus	ENSBTAG00000012667	ENSBTAT00000031316	ENSBTAE00000504719	ENSBTAE00000504518_SE_30/ENSBTAE00000504719_SE_30	23_0	29760825.0	29760761.0	28																		0.0	0.0
bos_taurus	ENSBTAG00000012667	ENSBTAT00000077892	ENSBTAE00000504719	ENSBTAE00000504518_SE_30/ENSBTAE00000504719_SE_30	23_0	29760825.0	29760761.0	28																		0.0	0.0
bos_taurus	ENSBTAG00000012667	ENSBTAT00000031316	ENSBTAE00000491765	ENSBTAE00000491765_SE_23	2_2	29740009.0	29739998.0	28																		0.0	0.0
bos_taurus	ENSBTAG00000012667	ENSBTAT00000077892	ENSBTAE00000491765	ENSBTAE00000491765_SE_23	2_2	29740009.0	29739998.0	28																		0.0	0.0
bos_taurus	ENSBTAG00000012667	ENSBTAT00000071058	ENSBTAE00000519166	ENSBTAE00000519166_SE_29	20_0	29759782.0	29759712.0	28																		0.0	0.0
bos_taurus	ENSBTAG00000012667	ENSBTAT00000071649	ENSBTAE00000504518	ENSBTAE00000504518_SE_30/ENSBTAE00000504719_SE_30	23_0	29760825.0	29760761.0	28																		0.0	0.0
bos_taurus	ENSBTAG00000012667							28												ENSBTAT00000031316	ENSBTAE00000491765	ENSBTAE00000491765_SE_23	2_2	29740009.0	29739998.0	0.0	0.0
bos_taurus	ENSBTAG00000012667							28												ENSBTAT00000077892	ENSBTAE00000491765	ENSBTAE00000491765_SE_23	2_2	29740009.0	29739998.0	0.0	0.0
bos_taurus	ENSBTAG00000012667							28												ENSBTAT00000077892	ENSBTAE00000506370	ENSBTAE00000487287_SE_15/ENSBTAE00000506370_SE_15	5_3	29731916.0	29731894.0	0.0	0.0
