Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000008323	ENSBTAT00000010961	ENSBTAE00000089042	ENSBTAE00000089042_SE_0/ENSBTAE00000502060_SE_0	4_1	3529291.0	3529344.0	13	3529345.0	3531286.0	1.0	1.0	22012.0	201.0	1375.75	16.0	SRR594473,SRR594474,SRR594476,SRR594477,SRR594480,SRR594481,SRR594482,SRR594485,SRR594489,SRR594490,SRR594491,SRR594492,SRR594498,SRR594499,SRR636934,SRR636935	16439,83,7,1,5,31,1267,1,1,2,2706,1,3,5,828,632	166,1,0,0,0,0,3,0,0,0,9,0,0,0,11,11	ENSBTAT00000010961	ENSBTAE00000089043	ENSBTAE00000089043_SE_2	7_0	3531287.0	3531328.0	0.0005882726017474908	4.647950240696747e-06
bos_taurus	ENSBTAG00000008323	ENSBTAT00000010961	ENSBTAE00000089042	ENSBTAE00000089042_SE_0/ENSBTAE00000502060_SE_0	4_1	3529291.0	3529344.0	13	3529345.0	3531286.0	1.0	1.0	22012.0	201.0	1375.75	16.0	SRR594473,SRR594474,SRR594476,SRR594477,SRR594480,SRR594481,SRR594482,SRR594485,SRR594489,SRR594490,SRR594491,SRR594492,SRR594498,SRR594499,SRR636934,SRR636935	16439,83,7,1,5,31,1267,1,1,2,2706,1,3,5,828,632	166,1,0,0,0,0,3,0,0,0,9,0,0,0,11,11	ENSBTAT00000068441	ENSBTAE00000089043	ENSBTAE00000089043_SE_2	7_0	3531287.0	3531328.0	0.0005882726017474908	4.647950240696747e-06
bos_taurus	ENSBTAG00000008323	ENSBTAT00000068441	ENSBTAE00000089042	ENSBTAE00000089042_SE_0/ENSBTAE00000502060_SE_0	4_1	3529291.0	3529344.0	13	3529345.0	3531286.0	1.0	1.0	22012.0	201.0	1375.75	16.0	SRR594473,SRR594474,SRR594476,SRR594477,SRR594480,SRR594481,SRR594482,SRR594485,SRR594489,SRR594490,SRR594491,SRR594492,SRR594498,SRR594499,SRR636934,SRR636935	16439,83,7,1,5,31,1267,1,1,2,2706,1,3,5,828,632	166,1,0,0,0,0,3,0,0,0,9,0,0,0,11,11	ENSBTAT00000010961	ENSBTAE00000089043	ENSBTAE00000089043_SE_2	7_0	3531287.0	3531328.0	0.0005882726017474908	4.647950240696747e-06
bos_taurus	ENSBTAG00000008323	ENSBTAT00000068441	ENSBTAE00000089042	ENSBTAE00000089042_SE_0/ENSBTAE00000502060_SE_0	4_1	3529291.0	3529344.0	13	3529345.0	3531286.0	1.0	1.0	22012.0	201.0	1375.75	16.0	SRR594473,SRR594474,SRR594476,SRR594477,SRR594480,SRR594481,SRR594482,SRR594485,SRR594489,SRR594490,SRR594491,SRR594492,SRR594498,SRR594499,SRR636934,SRR636935	16439,83,7,1,5,31,1267,1,1,2,2706,1,3,5,828,632	166,1,0,0,0,0,3,0,0,0,9,0,0,0,11,11	ENSBTAT00000068441	ENSBTAE00000089043	ENSBTAE00000089043_SE_2	7_0	3531287.0	3531328.0	0.0005882726017474908	4.647950240696747e-06
bos_taurus	ENSBTAG00000008323	ENSBTAT00000010961	ENSBTAE00000089043	ENSBTAE00000089043_SE_2	7_0	3531287.0	3531328.0	13	3531329.0	3531429.0	1.0	1.0	10.0	0.0	3.3333333333333326	3.0	SRR594473,SRR594482,SRR594490	8,1,1	0,0,0							2.2462303969028852e-07	0.0
bos_taurus	ENSBTAG00000008323	ENSBTAT00000068441	ENSBTAE00000089043	ENSBTAE00000089043_SE_2	7_0	3531287.0	3531328.0	13	3531329.0	3531429.0	1.0	1.0	10.0	0.0	3.3333333333333326	3.0	SRR594473,SRR594482,SRR594490	8,1,1	0,0,0							2.2462303969028852e-07	0.0
bos_taurus	ENSBTAG00000008323	ENSBTAT00000010961	ENSBTAE00000089043	ENSBTAE00000089043_SE_2	7_0	3531287.0	3531328.0	13	3531329.0	3538175.0	1.0	1.0	19153.0	828.0	1276.8666666666666	15.0	SRR594473,SRR594474,SRR594476,SRR594480,SRR594481,SRR594482,SRR594489,SRR594490,SRR594491,SRR594494,SRR594498,SRR594499,SRR636890,SRR636934,SRR636935	16134,79,6,3,5,330,1,1,450,1,1,1,2,1247,892	802,3,0,0,0,0,0,0,0,0,0,0,0,17,6	ENSBTAT00000010961	ENSBTAE00000089044	ENSBTAE00000089044_SE_3	6_0	3538176.0	3538224.0	0.00041844308954959485	1.2217090080032048e-05
bos_taurus	ENSBTAG00000008323	ENSBTAT00000010961	ENSBTAE00000089043	ENSBTAE00000089043_SE_2	7_0	3531287.0	3531328.0	13	3531329.0	3538175.0	1.0	1.0	19153.0	828.0	1276.8666666666666	15.0	SRR594473,SRR594474,SRR594476,SRR594480,SRR594481,SRR594482,SRR594489,SRR594490,SRR594491,SRR594494,SRR594498,SRR594499,SRR636890,SRR636934,SRR636935	16134,79,6,3,5,330,1,1,450,1,1,1,2,1247,892	802,3,0,0,0,0,0,0,0,0,0,0,0,17,6	ENSBTAT00000068441	ENSBTAE00000089044	ENSBTAE00000089044_SE_3	6_0	3538176.0	3538224.0	0.00041844308954959485	1.2217090080032048e-05
bos_taurus	ENSBTAG00000008323	ENSBTAT00000010961	ENSBTAE00000089043	ENSBTAE00000089043_SE_2	7_0	3531287.0	3531328.0	13	3531329.0	3538175.0	1.0	1.0	19153.0	828.0	1276.8666666666666	15.0	SRR594473,SRR594474,SRR594476,SRR594480,SRR594481,SRR594482,SRR594489,SRR594490,SRR594491,SRR594494,SRR594498,SRR594499,SRR636890,SRR636934,SRR636935	16134,79,6,3,5,330,1,1,450,1,1,1,2,1247,892	802,3,0,0,0,0,0,0,0,0,0,0,0,17,6	ENSBTAT00000071478	ENSBTAE00000089044	ENSBTAE00000089044_SE_3	6_0	3538176.0	3538224.0	0.00041844308954959485	1.2217090080032048e-05
bos_taurus	ENSBTAG00000008323	ENSBTAT00000068441	ENSBTAE00000089043	ENSBTAE00000089043_SE_2	7_0	3531287.0	3531328.0	13	3531329.0	3538175.0	1.0	1.0	19153.0	828.0	1276.8666666666666	15.0	SRR594473,SRR594474,SRR594476,SRR594480,SRR594481,SRR594482,SRR594489,SRR594490,SRR594491,SRR594494,SRR594498,SRR594499,SRR636890,SRR636934,SRR636935	16134,79,6,3,5,330,1,1,450,1,1,1,2,1247,892	802,3,0,0,0,0,0,0,0,0,0,0,0,17,6	ENSBTAT00000010961	ENSBTAE00000089044	ENSBTAE00000089044_SE_3	6_0	3538176.0	3538224.0	0.00041844308954959485	1.2217090080032048e-05
