Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081956	17119429	17120505	28	3335	3411	17120429	17120505	1	-1	17120506	17120793	2	2	2	0	1.0	2	SRR594476,SRR594480	1,1	0,0															7
bos_taurus	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081956	17119429	17120505	28	3335	3411	17120429	17120505	1	-1	17120506	17121041	2	2	1	0	1.0	1	SRR594478	1	0															7
bos_taurus	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081956	17119429	17120505	28	3335	3411	17120429	17120505	1	-1	17120506	17121043	2	2	1480	0	47.74193548387097	31	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	33,189,21,21,81,305,11,609,14,1,11,2,6,24,30,5,2,14,2,2,3,36,1,24,2,3,4,2,7,14,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081955	17121044	17121213	27	3165	3334	17121044	17121213	2	1	7
bos_taurus	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081955	17121044	17121213	27	3165	3334	17121044	17121213	2	1	17121214	17121293	2	2	899	0	33.2962962962963	27	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594493,SRR594494,SRR594496,SRR594497,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	36,178,21,31,101,213,1,121,17,3,3,4,3,30,38,1,1,4,48,3,4,4,4,4,11,10,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081954	17121294	17121489	26	2969	3164	17121294	17121489	1	2	7
bos_taurus	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081954	17121294	17121489	26	2969	3164	17121294	17121489	1	2	17121490	17122064	2	2	653	0	23.32142857142857	28	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594491,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	26,147,11,10,40,170,6,117,13,1,1,1,23,24,3,1,1,2,3,24,1,2,2,4,1,6,10,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081953	17122065	17122148	25	2885	2968	17122065	17122148	1	1	7
bos_taurus	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081953	17122065	17122148	25	2885	2968	17122065	17122148	1	1	17122149	17122528	2	2	1	0	1.0	1	SRR594481	1	0															7
bos_taurus	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081953	17122065	17122148	25	2885	2968	17122065	17122148	1	1	17122149	17122794	2	2	1	0	1.0	1	SRR594480	1	0															7
bos_taurus	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081953	17122065	17122148	25	2885	2968	17122065	17122148	1	1	17122149	17122798	2	2	1390	0	47.93103448275862	29	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	38,328,17,35,81,318,9,382,17,1,2,6,4,31,1,33,5,3,1,2,7,41,1,4,1,1,4,12,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081952	17122799	17122947	24	2736	2884	17122799	17122947	2	1	7
bos_taurus	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081952	17122799	17122947	24	2736	2884	17122799	17122947	2	1	17122948	17123138	2	2	1502	0	46.9375	32	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636889,SRR636890,SRR636934,SRR636935	52,310,19,40,108,335,12,352,15,1,1,4,5,3,45,2,41,10,2,12,2,5,6,58,1,21,3,3,2,2,20,10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081951	17123139	17123285	23	2589	2735	17123139	17123285	2	2	7
bos_taurus	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081952	17122799	17122947	24	2736	2884	17122799	17122947	2	1	17122948	17123616	2	2	1	0	1.0	1	SRR594476	1	0	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAP00000010081	-1	ENSBTAE00000081950	17123617	17123762	22	2443	2588	17123617	17123762	0	2	7
