Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000378603	ENSDARE00000378603_SE_26	11_0	20279181	20279050	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000804306	ENSDARE00000804306_SE_25	20_0	20277546	20277457	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000963497	ENSDARE00000963497_SE_24	18_0	20277348	20277254	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000974452	ENSDARE00000974452_SE_23	21_0	20275975	20275888	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000873406	ENSDARE00000873406_SE_22	19_0	20274608	20274519	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000838148	ENSDARE00000838148_SE_21	14_0	20274430	20274299	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000799649	ENSDARE00000799649_SE_20	13_0	20273932	20273798	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000855956	ENSDARE00000855956_SE_19	12_0	20271495	20271363	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000804291	ENSDARE00000804291_SE_18	2_0	20271286	20271090	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000832469	ENSDARE00000832469_SE_17	26_0	20269422	20269342	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000825120	ENSDARE00000825120_SE_16	24_0	20268553	20268467	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000893578	ENSDARE00000893578_SE_15	23_0	20268371	20268285	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000870013	ENSDARE00000870013_SE_14	6_0	20268195	20268028	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000847517	ENSDARE00000847517_SE_13	22_0	20264809	20264724	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000813271	ENSDARE00000813271_SE_12	25_0	20264454	20264373	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000851763	ENSDARE00000851763_SE_11	16_0	20264288	20264182	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00001032836	ENSDARE00001032836_SE_10	17_0	20264099	20264001	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000783163	ENSDARE00000783163_SE_9	10_0	20260320	20260176	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000800441	ENSDARE00000800441_SE_8	15_0	20260038	20259924	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000865341	ENSDARE00000865341_SE_7	5_0	20259393	20259224	8																	
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000796285	ENSDARE00000796285_SE_6	9_0	20258173	20258028	8																	
