Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000007887	ENSBTAT00000010376	ENSBTAE00000492373	ENSBTAE00000492373_SE_19	0_1	8687352.0	8687347.0	25																		0.0	0.0
bos_taurus	ENSBTAG00000007887	ENSBTAT00000010376	ENSBTAE00000486876	ENSBTAE00000486876_SE_18	16_0	8687295.0	8687233.0	25																		0.0	0.0
bos_taurus	ENSBTAG00000007887	ENSBTAT00000075975	ENSBTAE00000534839	ENSBTAE00000534839_SE_17	11_0	8686824.0	8686688.0	25																		0.0	0.0
bos_taurus	ENSBTAG00000007887	ENSBTAT00000075975	ENSBTAE00000532358	ENSBTAE00000084368_SE_0/ENSBTAE00000532358_SE_0	1_6	8497097.0	8496962.0	25																		0.0	0.0
bos_taurus	ENSBTAG00000007887	ENSBTAT00000078028	ENSBTAE00000525825	ENSBTAE00000525825_SE_15	18_0	8685681.0	8685626.0	25																		0.0	0.0
bos_taurus	ENSBTAG00000007887	ENSBTAT00000085184	ENSBTAE00000523123	ENSBTAE00000523123_SE_16	0_2	8686165.0	8686158.0	25																		0.0	0.0
bos_taurus	ENSBTAG00000007887	ENSBTAT00000085184	ENSBTAE00000523030	ENSBTAE00000523030_SE_14	0_3	8683762.0	8683748.0	25																		0.0	0.0
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000010376	ENSBTAE00000492373	ENSBTAE00000492373_SE_19	0_1	8687352.0	8687347.0	0.0	0.0
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000010376	ENSBTAE00000486876	ENSBTAE00000486876_SE_18	16_0	8687295.0	8687233.0	0.0	0.0
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000075975	ENSBTAE00000534839	ENSBTAE00000534839_SE_17	11_0	8686824.0	8686688.0	0.0	0.0
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000075975	ENSBTAE00000484398	ENSBTAE00000084368_SE_2/ENSBTAE00000484398_SE_2	1_4	8497165.0	8497131.0	0.0	0.0
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000075975	ENSBTAE00000532358	ENSBTAE00000084368_SE_0/ENSBTAE00000532358_SE_0	1_6	8497097.0	8496962.0	0.0	0.0
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000078028	ENSBTAE00000525825	ENSBTAE00000525825_SE_15	18_0	8685681.0	8685626.0	0.0	0.0
bos_taurus	ENSBTAG00000007887							25												ENSBTAT00000085184	ENSBTAE00000523123	ENSBTAE00000523123_SE_16	0_2	8686165.0	8686158.0	0.0	0.0
gorilla_gorilla	ENSGGOG00000008796	ENSGGOT00000008839	ENSGGOE00000090228	ENSGGOE00000090228_SE_15	3_0	10487891.0	10487484.0	16																		0.0	0.0
gorilla_gorilla	ENSGGOG00000008796	ENSGGOT00000056715	ENSGGOE00000376688	ENSGGOE00000090233_SE_13/ENSGGOE00000376688_SE_13	2_2	10244127.0	10243592.0	16																		0.0	0.0
gorilla_gorilla	ENSGGOG00000008796	ENSGGOT00000063011	ENSGGOE00000376688	ENSGGOE00000090233_SE_13/ENSGGOE00000376688_SE_13	2_2	10244127.0	10243592.0	16																		0.0	0.0
gorilla_gorilla	ENSGGOG00000008796							16												ENSGGOT00000008839	ENSGGOE00000090300	ENSGGOE00000090300_SE_0/ENSGGOE00000310084_SE_0	1_6	10068100.0	10067966.0	0.0	0.0
gorilla_gorilla	ENSGGOG00000008796							16												ENSGGOT00000056715	ENSGGOE00000310084	ENSGGOE00000090300_SE_0/ENSGGOE00000310084_SE_0	1_6	10068100.0	10067966.0	0.0	0.0
gorilla_gorilla	ENSGGOG00000008796							16												ENSGGOT00000063011	ENSGGOE00000343440	ENSGGOE00000343440_SE_1	15_0	10068245.0	10068172.0	0.0	0.0
homo_sapiens	ENSG00000183454	ENST00000637393	ENSE00003798867	ENSE00001525515_SE_15/ENSE00003798867_SE_15	3_1	10180003.0	10179998.0	16																		0.0	0.0
