gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
CAMK2D	10_0	I	12_0,10_0,10_1	12_0,10_1	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[4.296858265769954e-06, 0.0001922057269772472]	[1.8403963720561347e-06, 1.5447770005187036e-05]		ENSDART00000142259,ENSDART00000166198,ENST00000511664,ENSGGOT00000033104
CAMK2D	10_0	E	12_0,10_0,3_0	12_0,10_1,3_0	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[7.4337900677871904e-06, 0.00033419372922462913]	[1.513780462202143e-06, 1.420908419317606e-05]	ENSDART00000056466,ENST00000379773,ENST00000394522,ENST00000394524,ENST00000508738,ENSGGOT00000026985,ENSGGOT00000052788,ENSGGOT00000052903,ENSGGOT00000058329	ENSDART00000142259,ENSDART00000166198,ENST00000511664,ENSGGOT00000033104
CAMK2D	10_1	I	10_0,10_1,3_0	10_0,3_0	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[7.319297671284932e-07, 7.558832111699066e-06]	[6.550558585943307e-06, 0.00028612327033699687]		ENSDART00000056466,ENST00000379773,ENST00000394522,ENST00000394524,ENST00000508738,ENSGGOT00000026985,ENSGGOT00000052788,ENSGGOT00000052903,ENSGGOT00000058329
CAMK2D	10_1	E	12_0,10_1,3_0	12_0,10_0,3_0	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[1.513780462202143e-06, 1.420908419317606e-05]	[7.4337900677871904e-06, 0.00033419372922462913]	ENSDART00000142259,ENSDART00000166198,ENST00000511664,ENSGGOT00000033104	ENSDART00000056466,ENST00000379773,ENST00000394522,ENST00000394524,ENST00000508738,ENSGGOT00000026985,ENSGGOT00000052788,ENSGGOT00000052903,ENSGGOT00000058329
CAMK2D	14_0	I	7_1,14_0,17_0	7_1,17_0	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[2.1055757517139777e-06, 8.87124460263857e-06]	[2.908422914700963e-06, 0.00026094725545909933]		ENSDART00000142259,ENST00000379773,ENST00000394524,ENSGGOT00000026985,ENSGGOT00000052788
CAMK2D	14_0	I	7_1,14_0,19_0,17_0	7_1,17_0	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[6.254375690995106e-06, 0.00011565689682742824]	[2.908422914700963e-06, 0.00026094725545909933]	ENST00000511664,ENSGGOT00000033104	ENSDART00000142259,ENST00000379773,ENST00000394524,ENSGGOT00000026985,ENSGGOT00000052788
CAMK2D	14_0	I	7_1,14_0,19_0	7_1,19_0	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[4.264734045544089e-06, 1.8008275759484652e-05]	[1.9403999892265677e-06, 0.00018718237908462847]	ENST00000511664,ENSGGOT00000033104	ENSDART00000056466,ENSDART00000136175,ENSDART00000166198,ENST00000394522,ENSGGOT00000052903
CAMK2D	14_0	E	7_1,14_0,17_0	7_1,19_0,17_0	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[2.1055757517139777e-06, 8.87124460263857e-06]	[6.087029485561853e-06, 0.00024906825902397194]		ENSDART00000056466,ENSDART00000136175,ENSDART00000166198,ENST00000394522,ENSGGOT00000052903
CAMK2D	14_0	E	7_1,14_0,17_0	7_1,20_0,17_0	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[2.1055757517139777e-06, 8.87124460263857e-06]	[5.219485356422863e-07, 4.320359783878396e-05]		ENST00000508738,ENSGGOT00000058329
CAMK2D	14_0	E	7_1,14_0,19_0	7_1,20_0,19_0	gorilla_gorilla,homo_sapiens	gorilla_gorilla,homo_sapiens	[4.264734045544089e-06, 1.8008275759484652e-05]	[3.261678178204803e-07, 2.5820581037268338e-05]	ENST00000511664,ENSGGOT00000033104	
