Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000007661	ENSBTAT00000010081	ENSBTAE00000468555	ENSBTAE00000468555_SE_27	0_1	17157610.0	17157608.0	7																		0.0	0.0
bos_taurus	ENSBTAG00000007661							7												ENSBTAT00000010081	ENSBTAE00000081956	ENSBTAE00000081956_SE_0	27_0	17120505.0	17120429.0	0.0	0.0
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00001326514	ENSDARE00001326514_SE_27	0_2	20291907.0	20291905.0	8																		0.0	0.0
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000378603	ENSDARE00000378603_SE_26	11_0	20279181.0	20279050.0	8																		0.0	0.0
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000804306	ENSDARE00000804306_SE_25	20_0	20277546.0	20277457.0	8																		0.0	0.0
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000963497	ENSDARE00000963497_SE_24	18_0	20277348.0	20277254.0	8																		0.0	0.0
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000974452	ENSDARE00000974452_SE_23	21_0	20275975.0	20275888.0	8																		0.0	0.0
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000873406	ENSDARE00000873406_SE_22	19_0	20274608.0	20274519.0	8																		0.0	0.0
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000838148	ENSDARE00000838148_SE_21	14_0	20274430.0	20274299.0	8																		0.0	0.0
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000799649	ENSDARE00000799649_SE_20	13_0	20273932.0	20273798.0	8																		0.0	0.0
danio_rerio	ENSDARG00000078734	ENSDART00000148304	ENSDARE00000855956	ENSDARE00000855956_SE_19	12_0	20271495.0	20271363.0	8																		0.0	0.0
